panel,rows,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,IS_Calmar,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross,TO
broad,459,9.71445146547012e-17,2.220446049250313e-16,9.71445146547012e-17,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,9.71445146547012e-17,9.71445146547012e-17,2.220446049250313e-16,9.71445146547012e-17,2.220446049250313e-16,9.71445146547012e-17,5.551115123125783e-17,3.552713678800501e-15
small,306,9.71445146547012e-17,9.71445146547012e-17,8.326672684688674e-17,1.1102230246251565e-16,9.71445146547012e-17,9.71445146547012e-17,9.71445146547012e-17,8.326672684688674e-17,9.71445146547012e-17,9.71445146547012e-17,8.326672684688674e-17,8.326672684688674e-17,5.551115123125783e-17,3.552713678800501e-15
u56,459,9.71445146547012e-17,2.220446049250313e-16,9.71445146547012e-17,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,9.8879238130678e-17,9.71445146547012e-17,2.220446049250313e-16,9.71445146547012e-17,2.220446049250313e-16,9.71445146547012e-17,5.551115123125783e-17,3.552713678800501e-15
