panel,book,gross,q,H,cost_bps,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,dturn
U56,CAP2,0.75,0.1,63,0.0,-0.06427273000879441,-0.08061477828367791,0.06088053656057346,0.037690945997733705,-0.4574519546023992
U56,CAP2,0.75,0.1,63,10.0,-0.06356681933369801,-0.10940047639692851,0.05703023523869322,0.007649950720116427,-0.4574519546023992
U56,CAP2,0.75,0.1,63,25.0,-0.0625150463185069,-0.15273882119038684,0.051291250146421774,-0.03768010596531535,-0.4574519546023992
U56,CAP2,0.75,0.1,63,50.0,-0.06078087166801849,-0.22513213804992072,0.041822802311220264,-0.11366542514129918,-0.4574519546023992
U56,CAP2,0.75,0.1,126,0.0,-0.07193093480106394,-0.10369706594757222,0.07543978616383362,-0.051830754781862165,-0.7570690251065346
U56,CAP2,0.75,0.1,126,10.0,-0.07088845154953538,-0.13401709838114773,0.07235769276331105,-0.08507258427814768,-0.7570690251065346
U56,CAP2,0.75,0.1,126,25.0,-0.06933518619843193,-0.17966855652818792,0.06775874287727168,-0.13519985002092128,-0.7570690251065346
U56,CAP2,0.75,0.1,126,50.0,-0.06677410970494058,-0.25592918862129477,0.060157946589570854,-0.2191206785413219,-0.7570690251065346
U56,CAP2,0.75,0.1,252,0.0,-0.08638706056238954,-0.18493142173746446,0.0840702704209415,-0.15545589378323266,-1.5043437785564868
U56,CAP2,0.75,0.1,252,10.0,-0.08453428062648816,-0.21295787910372455,0.08310352933757237,-0.18754154179495997,-1.5043437785564868
U56,CAP2,0.75,0.1,252,25.0,-0.08177239813980841,-0.25519036600460043,0.08165701515690338,-0.23598326458176788,-1.5043437785564868
U56,CAP2,0.75,0.1,252,50.0,-0.07721506787638499,-0.32576074813147105,0.07697677335492548,-0.31718545113142294,-1.5043437785564868
U56,CAP2,0.75,0.15,63,0.0,-0.032679968678194005,-0.03530221946221612,0.044909219600728356,0.018853997820439172,-0.18800831270328322
U56,CAP2,0.75,0.15,63,10.0,-0.03236147780964127,-0.045224213865631135,0.0447653411102662,0.008017968862321867,-0.18800831270328322
U56,CAP2,0.75,0.15,63,25.0,-0.0318869334271199,-0.06017471598875823,0.04145543737198343,-0.008341184654010236,-0.18800831270328322
U56,CAP2,0.75,0.15,63,50.0,-0.03110447650546222,-0.0852173179847715,0.031957188703943595,-0.03583141828247771,-0.18800831270328322
U56,CAP2,0.75,0.15,126,0.0,-0.03659154557580879,-0.03771624232712134,0.053661244545320064,0.017684969026928288,-0.28299401542142766
U56,CAP2,0.75,0.15,126,10.0,-0.03615741157961283,-0.048295703356102226,0.05354111716272314,0.006172677160705575,-0.28299401542142766
U56,CAP2,0.75,0.15,126,25.0,-0.03551067234465699,-0.06424022801236329,0.04909568705400902,-0.011204913935980887,-0.28299401542142766
U56,CAP2,0.75,0.15,126,50.0,-0.03444458551360974,-0.09095728176480544,0.03961716689606165,-0.040402440839416354,-0.28299401542142766
U56,CAP2,0.75,0.15,252,0.0,-0.06244061939104939,-0.19699953209733811,0.05610552050725681,-0.20796554509872123,-0.8103322106182027
U56,CAP2,0.75,0.15,252,10.0,-0.061367726157406155,-0.21006883223791273,0.05464745520725656,-0.222414391691367,-0.8103322106182027
U56,CAP2,0.75,0.15,252,25.0,-0.059769288836158285,-0.22974380005640305,0.05047989829634647,-0.24420759346775522,-0.8103322106182027
U56,CAP2,0.75,0.15,252,50.0,-0.057134098698431446,-0.2626328757245133,0.04358906398014495,-0.2807666569153453,-0.8103322106182027
U56,CAP2,0.75,0.2,63,0.0,-0.022055498771757387,-0.06531490864367462,0.011305180963204431,-0.02488249718522262,-0.11220728335016528
U56,CAP2,0.75,0.2,63,10.0,-0.02185569446119784,-0.06997085548131432,0.01130732744279761,-0.029767507459919074,-0.11220728335016528
U56,CAP2,0.75,0.2,63,25.0,-0.02155800645193251,-0.07697408437035591,0.011310541746937464,-0.03712759868627802,-0.11220728335016528
U56,CAP2,0.75,0.2,63,50.0,-0.02106720285465058,-0.08867229137088017,0.011315884482790195,-0.0494564400908013,-0.11220728335016528
U56,CAP2,0.75,0.2,126,0.0,-0.024559451621722905,-0.07494356964104631,0.011305180963204653,-0.02480152206178543,-0.1471060309964347
U56,CAP2,0.75,0.2,126,10.0,-0.02431304009393398,-0.07989524243820911,0.011307327442797388,-0.02968254541691273,-0.1471060309964347
U56,CAP2,0.75,0.2,126,25.0,-0.02394594709291109,-0.0873421664641898,0.011310541746937353,-0.03703370135089168,-0.1471060309964347
U56,CAP2,0.75,0.2,126,50.0,-0.023340807454276913,-0.09977899760803388,0.011315884482790417,-0.0493400802696049,-0.1471060309964347
U56,CAP2,0.75,0.2,252,0.0,-0.04857808343733261,-0.19631507384685398,0.02441912644658839,-0.20920183275983417,-0.5669171720555233
U56,CAP2,0.75,0.2,252,10.0,-0.0478032224508822,-0.20329811888653726,0.02444678871720629,-0.21671440805262798,-0.5669171720555233
U56,CAP2,0.75,0.2,252,25.0,-0.04664904170516748,-0.21378019758369715,0.024488255184517027,-0.22801574553650394,-0.5669171720555233
U56,CAP2,0.75,0.2,252,50.0,-0.04474688093639889,-0.2312243459089821,0.018730777226733997,-0.24689604614919036,-0.5669171720555233
U56,CAP2,0.75,0.25,63,0.0,-0.01570503045203897,-0.06944993705938263,0.009228685882781806,-0.028487991677409674,-0.04628196064003465
U56,CAP2,0.75,0.25,63,10.0,-0.015598935153452231,-0.07206701823662054,0.009205893362421613,-0.03164579651570709,-0.04628196064003465
U56,CAP2,0.75,0.25,63,25.0,-0.015440783711599293,-0.0760063696373805,0.009171711250371972,-0.036413818789861496,-0.04628196064003465
U56,CAP2,0.75,0.25,63,50.0,-0.015179823200895504,-0.08259518031617885,0.009114758846213156,-0.04442887403643958,-0.04628196064003465
U56,CAP2,0.75,0.25,126,0.0,-0.015980016553336363,-0.0665687872949352,0.009228685882781917,-0.02607383924528195,-0.07537521751259613
U56,CAP2,0.75,0.25,126,10.0,-0.01584100037738856,-0.06905248442857737,0.009205893362421502,-0.0288483282445815,-0.07537521751259613
U56,CAP2,0.75,0.25,126,25.0,-0.015633861937415894,-0.07278963707133879,0.009171711250372416,-0.03303620687521125,-0.07537521751259613
U56,CAP2,0.75,0.25,126,50.0,-0.01529229980682123,-0.07903691889498576,0.009114758846213156,-0.040072512289061946,-0.07537521751259613
U56,CAP2,0.75,0.25,252,0.0,-0.034833590497268974,-0.11960027631396808,0.01824459507628884,-0.10613806680248405,-0.4168879384442259
U56,CAP2,0.75,0.25,252,10.0,-0.034261125620485,-0.12412265464684813,0.018225514919573693,-0.11088923055611466,-0.4168879384442259
U56,CAP2,0.75,0.25,252,25.0,-0.03340855729165493,-0.13091735503092772,0.018196889972141972,-0.11805003312974982,-0.4168879384442259
U56,CAP2,0.75,0.25,252,50.0,-0.03200383447227684,-0.14224411306537088,0.014743279127177433,-0.13005149449688602,-0.4168879384442259
U56,CAP2,0.75,0.3,63,0.0,-0.008097486899127038,-0.031837018400656,-2.220446049250313e-16,-0.04874528505109921,-0.003008021140415984
U56,CAP2,0.75,0.3,63,10.0,-0.008065606590252017,-0.033444500495009244,1.1102230246251565e-16,-0.05086425426404673,-0.003008021140415984
U56,CAP2,0.75,0.3,63,25.0,-0.008018027232936431,-0.03586852091064241,0.0,-0.05406547271962725,-0.003008021140415984
U56,CAP2,0.75,0.3,63,50.0,-0.007939367112788087,-0.03993376977354579,-3.3306690738754696e-16,-0.05944973935880715,-0.003008021140415984
U56,CAP2,0.75,0.3,126,0.0,-0.009075064842372083,-0.03099248793893139,0.006185614962538888,-0.05118889505890212,-0.02209895004596385
U56,CAP2,0.75,0.3,126,10.0,-0.009018589327749682,-0.032751414283664904,0.00618469746410355,-0.05350967074121149,-0.02209895004596385
