family,cost,cells,keep4b_full,keep4b_oos,keep4b,keep4a
ASYMG,0,210,105,128,104,36
ASYMG,10,210,104,122,103,34
ASYMG,25,210,101,102,100,27
ASYMG,50,210,79,89,75,16
ASYMH,0,270,146,177,146,43
ASYMH,10,270,144,172,144,41
ASYMH,25,270,135,137,135,26
ASYMH,50,270,98,123,98,11
CAL,0,120,41,44,41,6
CAL,10,120,35,43,35,6
CAL,25,120,33,34,32,3
CAL,50,120,21,26,21,0
FIXH,0,300,176,186,176,35
FIXH,10,300,152,182,152,34
FIXH,25,300,133,152,133,23
FIXH,50,300,107,127,107,6
FRACG,0,240,122,144,119,29
FRACG,10,240,111,139,108,26
FRACG,25,240,106,117,103,16
FRACG,50,240,85,94,83,10
SDMULT,0,240,82,91,82,14
SDMULT,10,240,62,85,62,14
SDMULT,25,240,59,66,59,7
SDMULT,50,240,44,52,44,0
