panel,kind,etf_share,width,seed,theta,cad,family,window,ident_max_err,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,CAGR_rs0,CAGR_dg0
U56,anchor,0.6363636363636364,55,-1,0.3,W,MA-THRESH,FULL,3.469446951953614e-18,0.04243563041903711,0.03875019143663788,-28.80321090602378,-28.655117421032884,-0.1480934849908948,0.29946090239685463,0.011428793336616838
U56,anchor,0.6363636363636364,55,-1,0.3,W,MA-THRESH,IS,3.469446951953614e-18,0.03445797562720986,0.03341905268448963,-32.873842985167116,-32.99691461480745,0.1230716296403358,0.3413377716357999,0.012599341784128804
U56,anchor,0.6363636363636364,55,-1,0.3,W,MA-THRESH,OOS,3.469446951953614e-18,0.04901645786137057,0.041517457013631076,-25.543802098713986,-25.203700145827913,-0.3401019528860729,0.2659022386649572,0.010464217677817356
U56,anchor,0.6363636363636364,55,-1,0.3,W,QUANTILE-F,FULL,1.3010426069826053e-18,0.04272339072046604,0.000979171906566,-37.135395448052954,-37.12478714661967,-0.010608301433286726,0.3869712781404715,0.01561732365994195
U56,anchor,0.6363636363636364,55,-1,0.3,W,QUANTILE-F,IS,1.3010426069826053e-18,0.04269428812060477,0.000890006043993721,-41.030391126278396,-41.03844506062006,0.008053934341667457,0.427043540239882,0.01673962897709802
U56,anchor,0.6363636363636364,55,-1,0.3,W,QUANTILE-F,OOS,1.3010426069826053e-18,0.04274739767398909,0.0010465988174522592,-34.007127659997295,-33.98125144456539,-0.025876215431907212,0.35476373467852973,0.014692458078556792
U56,anchor,0.6363636363636364,55,-1,0.3,M,MA-THRESH,FULL,2.6020852139652106e-18,0.040648161011179684,0.03894656108959824,-26.09361535459822,-26.06381804196596,-0.029797312632261708,0.27220937230171693,0.011273218755734726
U56,anchor,0.6363636363636364,55,-1,0.3,M,MA-THRESH,IS,2.6020852139652106e-18,0.03318278495778934,0.03268818003625551,-30.73820071289639,-30.874805803242023,0.13660509034563262,0.3191420917893908,0.011760084660426884
U56,anchor,0.6363636363636364,55,-1,0.3,M,MA-THRESH,OOS,2.6020852139652106e-18,0.04680640586903188,0.042465449896312304,-22.388190914831352,-22.25398567318555,-0.13420524164580172,0.23475368490485038,0.010871775756536861
U56,anchor,0.6363636363636364,55,-1,0.3,M,QUANTILE-F,FULL,1.734723475976807e-18,0.043188936641844936,0.0024017493973727457,-35.690172733433286,-35.66497169813423,-0.025201035299055263,0.3721565382404699,0.015254810906137006
U56,anchor,0.6363636363636364,55,-1,0.3,M,QUANTILE-F,IS,1.734723475976807e-18,0.04311594826206798,0.0022651050431128383,-37.087431011183256,-37.08430302405312,-0.003127987130135068,0.38647197903689645,0.015597668925063868
U56,anchor,0.6363636363636364,55,-1,0.3,M,QUANTILE-F,OOS,1.734723475976807e-18,0.04324914530531075,0.002507737262263673,-34.548687253491295,-34.50532683778476,-0.04336041570653748,0.3604589444051618,0.014972071870248849
U56,anchor,0.6363636363636364,55,-1,0.3,Q,MA-THRESH,FULL,2.6020852139652106e-18,0.04096952557267593,0.039001675213784476,-26.23884182741849,-26.307246666527064,0.06840483910857387,0.2748937715598221,0.012505353285637177
U56,anchor,0.6363636363636364,55,-1,0.3,Q,MA-THRESH,IS,2.6020852139652106e-18,0.032468927819992575,0.03327684743459623,-37.390985664775926,-37.66356107213347,0.27257540735754304,0.3886580767824146,0.014748220134655377
U56,anchor,0.6363636363636364,55,-1,0.3,Q,MA-THRESH,OOS,2.6020852139652106e-18,0.047981732596776024,0.04188358364679231,-17.74392759839374,-17.749644497589756,0.005716899196016811,0.18809820335749894,0.010658927373561555
U56,anchor,0.6363636363636364,55,-1,0.3,Q,QUANTILE-F,FULL,1.734723475976807e-18,0.04450516046327143,0.004467881813855637,-33.0640525124444,-33.03326917911746,-0.030783333326937168,0.3454939460017912,0.014853420877347201
U56,anchor,0.6363636363636364,55,-1,0.3,Q,QUANTILE-F,IS,1.734723475976807e-18,0.04461391242250087,0.0045705620853445416,-41.196631960182195,-41.22053054791659,0.023898587734393573,0.42981709496686604,0.01785077536504409
U56,anchor,0.6363636363636364,55,-1,0.3,Q,QUANTILE-F,OOS,1.734723475976807e-18,0.04441545015411667,0.004380280757426756,-26.73038150519027,-26.653822574926945,-0.0765589302633245,0.27969134048313693,0.012387525431234225
U56,anchor,0.6363636363636364,55,-1,0.2,W,MA-THRESH,FULL,6.938893903907228e-18,0.10251725294219617,0.08392865522187279,-19.908804638681723,-19.56775675920841,-0.3410478794733116,0.21865319325805066,0.019565146871233452
U56,anchor,0.6363636363636364,55,-1,0.2,W,MA-THRESH,IS,6.938893903907228e-18,0.08770445213893412,0.0845476527515755,-24.581798612093042,-24.030500890200578,-0.551297721892464,0.26299062073358415,0.017172634612653725
U56,anchor,0.6363636363636364,55,-1,0.2,W,MA-THRESH,OOS,6.938893903907228e-18,0.1147364437404481,0.081427584595494,-16.17098975722402,-16.082299182161197,-0.08869057506282374,0.1832528809649443,0.021542983392704107
U56,anchor,0.6363636363636364,55,-1,0.2,W,QUANTILE-F,FULL,2.6020852139652106e-18,0.10244350622032783,0.0015211945713417654,-22.03652645620282,-22.023258654717214,-0.013267801485607578,0.24472348167792113,0.02435821711589292
U56,anchor,0.6363636363636364,55,-1,0.2,W,QUANTILE-F,IS,2.6020852139652106e-18,0.10239566751518431,0.00132688274760952,-21.89878790137527,-21.891359082833752,-0.007428818541519888,0.24286936539120818,0.023881486377455463
U56,anchor,0.6363636363636364,55,-1,0.2,W,QUANTILE-F,OOS,2.6020852139652106e-18,0.10248296872802326,0.0016637350479947913,-22.150339493138937,-22.13221679576578,-0.018122697373158303,0.24625503789013936,0.024751642958749986
U56,anchor,0.6363636363636364,55,-1,0.2,M,MA-THRESH,FULL,8.673617379884035e-18,0.09839414713162457,0.07850455135883122,-27.451806227368223,-26.9318316772885,-0.5199745500797235,0.2979640230918519,0.02344596081816963
U56,anchor,0.6363636363636364,55,-1,0.2,M,MA-THRESH,IS,8.673617379884035e-18,0.08368156707317054,0.07719138717573208,-35.30203598181385,-34.72425575296645,-0.5777802288474021,0.37681200864129183,0.023791648823153322
