panel,theta,cad,family,split,window,n,c_bar,gap0_pp,pred0_pp,resid0_pp
U56,0.3,W,MA-THRESH,2012-12-31,IS,999,0.03428648809508155,-11.76291887992107,-11.666192839352485,-0.09672604056858525
U56,0.3,W,MA-THRESH,2012-12-31,OOS,3443,0.044797505703695194,-34.52166191483994,-34.306960150531715,-0.21470176430822363
U56,0.3,W,MA-THRESH,2014-12-31,IS,1503,0.03492470245138102,-29.637716436840943,-29.719343985505287,0.08162754866434341
U56,0.3,W,MA-THRESH,2014-12-31,OOS,2939,0.0462736257095554,-28.674663342043118,-28.40732821262972,-0.26733512941339654
U56,0.3,W,MA-THRESH,2016-12-31,IS,2007,0.03445797628170067,-32.87392291724256,-32.99699224667387,0.12306932943130988
U56,0.3,W,MA-THRESH,2016-12-31,OOS,2435,0.049007332791554725,-25.895602057056433,-25.552477743064728,-0.34312431399170507
U56,0.3,W,MA-THRESH,2018-12-31,IS,2509,0.033183455032803504,-30.64229317131668,-30.676775893354492,0.03448272203781144
U56,0.3,W,MA-THRESH,2018-12-31,OOS,1933,0.05444010608769013,-26.895653472669267,-26.535152787480953,-0.36050068518831324
U56,0.3,W,MA-THRESH,2020-12-31,IS,3014,0.035056394251183357,-30.316470102246186,-30.399678092702164,0.08320799045597838
U56,0.3,W,MA-THRESH,2020-12-31,OOS,1428,0.058004230722508654,-26.266320188210223,-25.6756124025477,-0.5907077856625236
U56,0.3,W,QUANTILE-M,2012-12-31,IS,999,0.05935714906937228,-17.819947903806433,-17.82259586373773,0.002647959931298516
U56,0.3,W,QUANTILE-M,2012-12-31,OOS,3443,0.05593835346888062,-38.477005372208396,-38.4689799007903,-0.008025471418093844
U56,0.3,W,QUANTILE-M,2014-12-31,IS,1503,0.05886598575597681,-31.02565917000153,-31.018657488980296,-0.007001681021232997
U56,0.3,W,QUANTILE-M,2014-12-31,OOS,2939,0.055603254958293886,-34.804583327661945,-34.78774919177747,-0.0168341358844728
U56,0.3,W,QUANTILE-M,2016-12-31,IS,2007,0.05843939442880123,-37.59788972522389,-37.584998175506755,-0.012891549717132023
U56,0.3,W,QUANTILE-M,2016-12-31,OOS,2435,0.05527953934088495,-30.245921069010095,-30.219798964355114,-0.02612210465498066
U56,0.3,W,QUANTILE-M,2018-12-31,IS,2509,0.058049949221297956,-33.22640809645936,-33.218013204978305,-0.008394891481053435
U56,0.3,W,QUANTILE-M,2018-12-31,OOS,1933,0.054964418167316266,-33.886652921781725,-33.8630853340671,-0.023567587714623528
U56,0.3,W,QUANTILE-M,2020-12-31,IS,3014,0.05766034572444227,-36.82715358880808,-36.80931889520074,-0.017834693607341023
U56,0.3,W,QUANTILE-M,2020-12-31,OOS,1428,0.05469556085447471,-26.80166561780468,-26.77347520132085,-0.028190416483830916
U56,0.3,W,QUANTILE-F,2012-12-31,IS,999,0.04264990510303417,-16.229693912011346,-16.23117019283036,0.001476280819012743
U56,0.3,W,QUANTILE-F,2012-12-31,OOS,3443,0.04274177730831096,-44.13354621547369,-44.11906166307422,-0.014484552399473216
U56,0.3,W,QUANTILE-F,2014-12-31,IS,1503,0.042685985898208635,-32.95589306903233,-32.96643269712662,0.010539628094292652
U56,0.3,W,QUANTILE-F,2014-12-31,OOS,2939,0.04273908052583811,-39.566939441891805,-39.54556267360636,-0.021376768285442438
