rule,pos,stat,level,med_b_gap,med_b_sd,med_b_ratio,sig_MAXDD,sig_ULCER,cell_share_sig,n_cells
QUANT,0,Q0500,p=0.5,0.036731665433176415,-0.6251324137607168,0.702017563743787,False,True,0.0,16
QUANT,1,Q0750,p=0.75,-0.012436196856319769,-0.3221184264978161,0.31220147151855826,False,True,0.0,16
QUANT,2,Q0900,p=0.9,-0.32520784199603414,-0.09256006935403563,-0.23057286498503923,False,True,0.0,16
QUANT,3,Q0950,p=0.95,-0.20991934018585673,0.032594666617396836,-0.21835374311120712,False,False,0.0625,16
QUANT,4,Q0990,p=0.99,-0.021911925115058378,0.12227102383284522,-0.16124641592013392,False,False,0.5,16
QUANT,5,Q0999,p=0.999,0.10826956112406262,0.13529036380642057,-0.01809288925335132,True,False,0.5625,16
QUANT,6,MAXDD,p=1.0,0.1418738996475815,0.16543404296538777,0.11423224171735423,True,False,0.6875,16
KDAY,0,K0021,k=21,0.3974463873892769,0.5286963178395121,0.017715653002069856,True,False,0.875,16
KDAY,1,K0063,k=63,0.24674983740312972,0.20825596446207578,0.17703540805344511,True,False,0.625,16
KDAY,2,K0126,k=126,0.194496667589599,0.15902642998541078,0.18532247207688896,True,False,0.5625,16
KDAY,3,K0252,k=252,0.1924159284375895,0.13970123748185928,0.16340440862998404,True,False,0.5625,16
KDAY,4,K0504,k=504,0.1418738996475815,0.15805107097262036,0.13607425924728866,True,False,0.6875,16
KDAY,5,MAXDD,k=INF,0.1418738996475815,0.16543404296538777,0.11423224171735423,True,False,0.6875,16
