panel,family,base,mech,pick,IS,oCAGR,oSharpe,oMaxDD,keep4b_oos,nothing_oSharpe,d_vs_nothing,spy_oSharpe,live_oSharpe
U56,CAP,1.0,CONVICTION,0.05,1.2613237691272092,0.19904800862864813,1.1393650199387702,-0.24150707297217688,False,1.1404720195825675,-0.0011069996437973462,0.8738401470547136,1.2768823974588255
U56,CAP,1.0,PRORATA,0.05,1.0755695636237868,0.17221719947442904,1.1842690604817805,-0.23405935609327544,False,1.1404720195825675,0.04379704089921299,0.8738401470547136,1.2768823974588255
U56,CAP,126.0,CONVICTION,0.05,1.1567820304103327,0.17956496268592348,1.1830504902462682,-0.2142952538139774,False,1.1844878745613627,-0.0014373843150945476,0.8738401470547136,1.2768823974588255
U56,CAP,126.0,PRORATA,0.05,1.1217903119149037,0.17050988678851398,1.1544917105469994,-0.21018781483825166,False,1.1844878745613627,-0.029996164014363336,0.8738401470547136,1.2768823974588255
U56,H(control),,NONE,756.0,1.4591924788918305,0.17840563275715726,1.1382990645268467,-0.24238039992605398,False,1.1844878745613627,-0.046188810034516026,0.8738401470547136,1.2768823974588255
B136,CAP,1.0,CONVICTION,0.1,1.2667713989881482,0.18483318990506414,1.0050575910391706,-0.2804315874617659,False,0.8703699820209291,0.1346876090182415,0.8738511437360154,1.1019125044197382
B136,CAP,1.0,PRORATA,0.1,1.1522078491801484,0.15326610307688893,0.9718509988300592,-0.25701860204576543,False,0.8703699820209291,0.10148101680913013,0.8738511437360154,1.1019125044197382
B136,CAP,126.0,CONVICTION,0.25,1.16138606416675,0.15917478774096727,0.976134767988266,-0.26666028343854653,False,1.01677880363408,-0.04064403564581387,0.8738511437360154,1.1019125044197382
B136,CAP,126.0,PRORATA,inf,1.1378790765091829,0.16165642564817517,1.01677880363408,-0.20745319536191875,False,1.01677880363408,0.0,0.8738511437360154,1.1019125044197382
B136,H(control),,NONE,756.0,1.2870700997440017,0.19973319924031885,1.0634326538678631,-0.2535585812081027,False,1.01677880363408,0.04665385023378321,0.8738511437360154,1.1019125044197382
SMALL,CAP,1.0,CONVICTION,0.1,0.8538520903803721,0.11520206283878998,0.5947759380670873,-0.3495252205832289,False,0.5251969513551181,0.06957898671196916,0.8738401470547136,0.6473415936678043
SMALL,CAP,1.0,PRORATA,0.15,0.7775600483524363,0.07508894450179193,0.5036811769147782,-0.36036191155595765,False,0.5251969513551181,-0.02151577444033992,0.8738401470547136,0.6473415936678043
SMALL,CAP,126.0,CONVICTION,0.05,0.6963336143348363,0.06883603728539178,0.42387748161829275,-0.3706602156982144,False,0.43859709487928555,-0.014719613260992803,0.8738401470547136,0.6473415936678043
SMALL,CAP,126.0,PRORATA,0.05,0.7277469947896205,0.08550831187954588,0.5334742783487433,-0.3563117340933788,False,0.43859709487928555,0.09487718346945773,0.8738401470547136,0.6473415936678043
SMALL,H(control),,NONE,252.0,1.0073265814125048,0.09342185004024839,0.5922122355090511,-0.3537773182333279,False,0.43859709487928555,0.15361514062976556,0.8738401470547136,0.6473415936678043
