dp,form,instances,files,rows,unique,ambig,miss,nokey,single,nonrow,unres,unique_share,all5_unique
dp6,STRICT,198,198,963128,116891,272323,144362,325432,93,103841,186,0.12136600742580425,33512
dp6,LOOSE,233,227,1085626,198018,287734,144986,325435,93,129078,282,0.18239983198633783,33636
dp6,VALUE,251,241,1089479,198018,287787,146047,327541,93,129690,303,0.1817547653511449,33636
dp8,STRICT,198,198,963128,117114,272100,144362,325432,93,103841,186,0.12159754466696016,33512
dp8,LOOSE,233,227,1085626,198245,287507,144986,325435,93,129078,282,0.1826089279365085,33636
dp8,VALUE,251,241,1089479,198245,287560,146047,327541,93,129690,303,0.1819631218224491,33636
dp10,STRICT,198,198,963128,117136,272078,144362,325432,93,103841,186,0.12162038690599795,33512
dp10,LOOSE,233,227,1085626,198267,287485,144986,325435,93,129078,282,0.18262919274225192,33636
dp10,VALUE,251,241,1089479,198267,287538,146047,327541,93,129690,303,0.18198331496063716,33636
dp12,STRICT,198,198,963128,117105,272070,144401,325432,93,103841,186,0.12158820011462651,33512
dp12,LOOSE,233,227,1085626,198165,287477,145096,325435,93,129078,282,0.1825352377338052,33636
dp12,VALUE,251,241,1089479,198165,287530,146157,327541,93,129690,303,0.18188969222903792,33636
FULL,STRICT,198,198,963128,33836,261264,238476,325432,93,103841,186,0.03513136364013921,33512
FULL,LOOSE,233,227,1085626,33960,261353,335425,325435,93,129078,282,0.0312814910475615,33636
FULL,VALUE,251,241,1089479,33960,261406,336486,327541,93,129690,303,0.031170862403038516,33636
