sector,mean_weight,A_sector,active
Utilities,0.01170822349100999,-0.012337966888514625,-0.024961155362643803
ETF-Index,0.004674745313370349,-0.004658420580209576,-0.009698484190588741
Materials,0.006458347733860921,-0.0001714389033289289,-0.0071344884845561205
ETF-Bond,0.00383303455437166,0.00012072431857809533,-0.004011851186564517
RealEstate,0.003668152131533914,0.0018748669922885848,-0.002079940988929491
ConsStap,0.03575236852836831,0.00703116457094656,-0.03151515175762791
Energy,0.020461013914806297,0.02836619427693269,0.006306209240201966
ETF-Cmdty,0.023220889165190335,0.030830772392840385,0.005795235558910674
Industrials,0.06455157486959823,0.05426350718180556,-0.015332593072555703
HealthCare,0.10575462432796459,0.05900729193750773,-0.05501176107490324
ConsDisc,0.056667781538790075,0.05903858318571516,-0.0020576272961039324
Financials,0.08420419010992032,0.06234937694015183,-0.028435135576634504
CommSvcs,0.03512344422903452,0.06733487676620593,0.029466633415359128
ETF-Sector,0.05039561337940734,0.0710111336493108,0.01667724376020277
InfoTech,0.23282514159184828,0.4873942237997626,0.23637444730793333
