panel,gate,realised,expect,ok
U56,G2_gross_linearity,0.0,0.0,
U56,G1_OFF_reproduces_engine,3.0878077872387166e-16,0.0,True
U56,G1b_OFF_live_cell_is_baseline_v2,3.0878077872387166e-16,0.0,True
U56,G3_ON_at_zero_rate_collapses_to_OFF,0.0,0.0,True
U56,G4_ON_credit_positive_at_live_cell,0.5616334895078227,>0 pp/yr,True
B136,G2_gross_linearity,0.0,0.0,
B136,G1_OFF_reproduces_engine,3.165870343657673e-16,0.0,True
B136,G1b_OFF_live_cell_is_baseline_v2,3.165870343657673e-16,0.0,True
B136,G3_ON_at_zero_rate_collapses_to_OFF,0.0,0.0,True
B136,G4_ON_credit_positive_at_live_cell,0.5774226178825235,>0 pp/yr,True
SMALL,G0_small_blowups_dropped,54.0,54,True
SMALL,G2_gross_linearity,0.0,0.0,
SMALL,G1_OFF_reproduces_engine,2.7929047963226594e-16,0.0,True
SMALL,G1b_OFF_live_cell_is_baseline_v2,2.7929047963226594e-16,0.0,True
SMALL,G3_ON_at_zero_rate_collapses_to_OFF,0.0,0.0,True
SMALL,G4_ON_credit_positive_at_live_cell,0.8035199431908798,>0 pp/yr,True
ALL,G5_no_negative_residual_below_g1,0.28945044031270856,>0,True
ALL,G5b_share_of_levered_rungs_with_idle_mean_lt_0,0.13333333333333333,"measured, not asserted",
ALL,G6_max_turnover_spread_across_arms_x_per_yr,0.0016364030904416627,"second-order, measured",
