corpus,panel,cost,selector,s,N,real_dOOS,real_n,null_mean,null_sd,null_p5,null_p95,null_mean_n,pct,degenerate
C159,broad,10.0,SCREEN 4bIS [AS165],35,98,0.0,14,0.05541223522295519,0.05899422598616339,0.0,0.1365050471534186,12.595,4.0,False
C159,broad,25.0,SCREEN 4bIS [AS165],0,98,0.0,14,0.0,0.0,0.0,0.0,14.0,0.0,True
C159,small,10.0,SCREEN 4bIS [AS165],0,98,0.0,21,0.0,0.0,0.0,0.0,21.0,0.0,True
C159,small,25.0,SCREEN 4bIS [AS165],0,98,0.0,7,0.0,0.0,0.0,0.0,7.0,0.0,True
C159,u56,10.0,SCREEN 4bIS [AS165],3,98,0.1129548392828078,6,0.08274061382050549,0.08426498736872277,-0.05174816428801354,0.2068243775360906,14.565,60.5,False
C159,u56,25.0,SCREEN 4bIS [AS165],0,98,0.0,4,0.0,0.0,0.0,0.0,4.0,0.0,True
C165,u56,10.0,SCREEN 4bIS [AS165],2,63,0.1129548392828078,6,0.07821167326906825,0.09792146671256163,-0.09733699227963921,0.21039337022459914,13.77,56.00000000000001,False
C168,broad,10.0,SCREEN 4bIS [AS165],23,88,0.08927905687142279,18,0.0826919594888122,0.05935232670752663,0.0,0.1574398055492553,11.48,39.5,False
C168,broad,25.0,SCREEN 4bIS [AS165],0,88,0.0,9,0.0,0.0,0.0,0.0,9.0,0.0,True
C168,u56,10.0,SCREEN 4bIS [AS165],0,88,0.0,4,0.0,0.0,0.0,0.0,4.0,0.0,True
C168,u56,25.0,SCREEN 4bIS [AS165],0,88,0.0,4,0.0,0.0,0.0,0.0,4.0,0.0,True
C159,broad,10.0,SCREEN 4bIS [PUB],27,98,0.11741741380300463,25,0.05712236172310493,0.05910086660546567,-0.009073724395980087,0.1365050471534186,13.13,82.0,False
C159,broad,25.0,SCREEN 4bIS [PUB],0,98,0.0,14,0.0,0.0,0.0,0.0,14.0,0.0,True
C159,small,10.0,SCREEN 4bIS [PUB],0,98,0.0,21,0.0,0.0,0.0,0.0,21.0,0.0,True
C159,small,25.0,SCREEN 4bIS [PUB],0,98,0.0,7,0.0,0.0,0.0,0.0,7.0,0.0,True
C159,u56,10.0,SCREEN 4bIS [PUB],1,98,0.06620128208717235,20,0.03811091130432902,0.15435046739602,-0.26955613895474684,0.20682313004697572,14.295,46.5,False
C159,u56,25.0,SCREEN 4bIS [PUB],0,98,0.0,4,0.0,0.0,0.0,0.0,4.0,0.0,True
C165,u56,10.0,SCREEN 4bIS [PUB],1,63,0.06620128208717235,20,0.04044502307256002,0.14958937409912462,-0.2673233129453767,0.2068243775360906,14.295,44.0,False
C168,broad,10.0,SCREEN 4bIS [PUB],12,88,-0.06116201501846685,25,0.08992100631893216,0.06574980319840565,-0.01696880546819779,0.1574398055492553,12.225,2.0,False
C168,broad,25.0,SCREEN 4bIS [PUB],0,88,0.0,9,0.0,0.0,0.0,0.0,9.0,0.0,True
C168,u56,10.0,SCREEN 4bIS [PUB],0,88,0.0,4,0.0,0.0,0.0,0.0,4.0,0.0,True
C168,u56,25.0,SCREEN 4bIS [PUB],0,88,0.0,4,0.0,0.0,0.0,0.0,4.0,0.0,True
C159,broad,10.0,SIZE n>=10,70,98,0.0,14,0.03149889069785348,0.05068021149325781,0.0,0.10909499154803792,14.585,0.5,False
C159,broad,25.0,SIZE n>=10,70,98,0.0,14,0.03130905701663824,0.048557494817916214,0.0,0.11572536065754113,14.685,0.0,False
C159,small,10.0,SIZE n>=10,84,98,0.0,21,0.008433028132335922,0.019614007593398704,0.0,0.0546883166677799,18.35,0.0,False
C159,small,25.0,SIZE n>=10,84,98,-0.14056109836708552,21,-0.012167306412440798,0.052811443356116296,-0.14056109836708552,0.0,8.56,0.0,False
C159,u56,10.0,SIZE n>=10,56,98,0.06620128208717235,20,0.025704334890018936,0.04882593413489377,-0.00222170438890211,0.1129548392828078,4.345,78.0,False
C159,u56,25.0,SIZE n>=10,56,98,0.08433046078258433,20,0.027718132833853257,0.04892273736429828,0.0,0.11440494586960714,4.355,79.0,False
C165,u56,10.0,SIZE n>=10,35,63,0.06620128208717235,20,0.03843075401059101,0.05161372348934295,0.0,0.1129548392828078,5.21,65.5,False
C168,broad,10.0,SIZE n>=10,66,88,0.10211299712462518,14,0.0310042290173757,0.05320304664391992,0.0,0.1574398055492553,10.365,73.5,False
C168,broad,25.0,SIZE n>=10,66,88,0.09826734354918287,14,0.024175730517552684,0.04670190194149054,0.0,0.12408571613274566,10.125,78.0,False
C168,u56,10.0,SIZE n>=10,44,88,0.1511029508355426,10,0.03604748624655124,0.04944240517017511,0.0,0.1511029508355426,5.695,88.5,False
C168,u56,25.0,SIZE n>=10,44,88,0.1693903842803577,10,0.051313829890080175,0.05808176145126637,0.0,0.1693903842803577,6.045,86.0,False
C159,broad,10.0,SIZE n>=15,63,98,0.10909499154803792,18,0.04047414658083065,0.05589094456083046,0.0,0.1365050471534186,13.69,67.0,False
C159,broad,25.0,SIZE n>=15,63,98,0.11572536065754113,18,0.03778179574232195,0.04963772027321812,0.0,0.11572536065754113,14.64,75.0,False
C159,small,10.0,SIZE n>=15,70,98,0.0,21,0.015191455543617156,0.02478169985825087,0.0,0.0546883166677799,16.45,0.0,False
C159,small,25.0,SIZE n>=15,70,98,-0.14056109836708552,21,-0.024922946003588575,0.07325497718955375,-0.14056109836708552,0.11750063479023662,10.09,2.5,False
C159,u56,10.0,SIZE n>=15,42,98,0.06620128208717235,20,0.03302886384598395,0.053579986867479126,-0.04443408777804314,0.1129548392828078,4.765,70.5,False
C159,u56,25.0,SIZE n>=15,42,98,0.08433046078258433,20,0.03727785990005395,0.05470656940529906,-0.04797035045289655,0.11440494586960714,5.165,70.5,False
C165,u56,10.0,SIZE n>=15,21,63,0.06620128208717235,20,0.05184893044461123,0.05020204866249887,0.0,0.1129548392828078,7.44,50.0,False
C168,broad,10.0,SIZE n>=15,55,88,0.1574398055492553,18,0.0366863347355351,0.05596541173806851,0.0,0.1574398055492553,10.47,94.0,False
