book,IS_lo,IS_hi,IS_width,IS_lower,IS_upper,OOS_lo,OOS_hi,OOS_width,OOS_lower,OOS_upper,g_isbest,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_CAGR_spy,OOS_Sharpe_spy,OOS_MaxDD_spy,OOS_CAGR_base,OOS_Sharpe_base,OOS_MaxDD_base
U56/EWALL/W,0.65,0.75,3,CAGR,DD,0.6,0.65,2,CAGR,DD,1.0,1.1115841688138408,0.1834403130268143,1.1290407836579774,-0.2917897943136256,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/EWALL/M,0.65,0.75,3,CAGR,DD,0.6,0.65,2,CAGR,DD,1.0,1.1127409453764099,0.18498421944088128,1.1446446580557799,-0.290013664712351,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/MA-DG/W,,,0,,,0.9,1.0,3,CAGR,GRID-HI,1.0,1.05521406503648,0.12121671507431775,1.2559661495766918,-0.15838542115080978,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/MA-DG/M,0.95,1.0,2,CAGR,GRID-HI,0.9,1.0,3,CAGR,GRID-HI,1.0,1.1358894526372814,0.12645666994169646,1.2692590432079591,-0.15485495397692006,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/MA-RS/W,0.75,0.9,4,CAGR,DD,0.7,0.8,3,CAGR,DD,1.0,1.0673573921391972,0.164946208249801,1.105930869612521,-0.24316405766836147,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/MA-RS/M,0.7,0.85,4,CAGR,DD,0.6,0.8,5,CAGR,DD,1.0,1.114542758739791,0.1819951945283138,1.1902379405677639,-0.23758083141938657,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/CAND20/W,,,0,,,0.8,0.85,2,CAGR,DD,1.0,0.9533084064015224,0.14025993675735293,1.0193195576442018,-0.22794312631141533,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/CAND20/M,0.75,0.85,3,CAGR,DD,0.75,0.8,2,CAGR,DD,1.0,1.1072232593287505,0.15296388828268115,1.0480968964415174,-0.23641369749552588,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/R620/W,0.6,0.8,5,CAGR,DD,0.55,0.65,3,CAGR,DD,1.0,1.176006540283651,0.21395830141104089,1.13373733909279,-0.28578772797029395,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
U56/R620/M,0.5,0.85,8,CAGR,DD,0.5,0.6,3,CAGR,DD,1.0,1.2955565488405492,0.22297617016989002,1.115236620626113,-0.30591861179128976,0.15331699963496637,0.876714419369064,-0.33717235283398306,0.09474682024310699,1.2782424661570655,-0.12054943679771168
