panel,window,family,mode,theta,gross,jaccard,book_len,spy_len,contained
U56,FULL,TREND,ROW,,0.25,0.7083333333333334,17,24,1.0
U56,FULL,TREND,ROW,,0.5,0.7083333333333334,17,24,1.0
U56,FULL,TREND,ROW,,0.75,0.7083333333333334,17,24,1.0
U56,FULL,TREND,ROW,,1.0,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.2,0.25,1.0,24,24,1.0
U56,FULL,TREND,AGG,0.2,0.5,1.0,24,24,1.0
U56,FULL,TREND,AGG,0.2,0.75,1.0,24,24,1.0
U56,FULL,TREND,AGG,0.2,1.0,1.0,24,24,1.0
U56,FULL,TREND,AGG,0.4,0.25,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.4,0.5,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.4,0.75,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.4,1.0,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.6,0.25,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.6,0.5,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.6,0.75,0.7083333333333334,17,24,1.0
U56,FULL,TREND,AGG,0.6,1.0,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.2,0.25,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.2,0.5,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.2,0.75,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.2,1.0,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.4,0.25,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.4,0.5,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.4,0.75,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.4,1.0,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.6,0.25,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.6,0.5,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.6,0.75,0.7083333333333334,17,24,1.0
U56,FULL,TREND,HYB,0.6,1.0,0.7083333333333334,17,24,1.0
U56,FULL,VOL,ROW,,0.25,0.7083333333333334,17,24,1.0
U56,FULL,VOL,ROW,,0.5,0.7083333333333334,17,24,1.0
U56,FULL,VOL,ROW,,0.75,0.7083333333333334,17,24,1.0
U56,FULL,VOL,ROW,,1.0,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.2,0.25,0.5454545454545454,44,24,0.0
U56,FULL,VOL,AGG,0.2,0.5,0.5454545454545454,44,24,0.0
U56,FULL,VOL,AGG,0.2,0.75,0.5454545454545454,44,24,0.0
U56,FULL,VOL,AGG,0.2,1.0,0.5454545454545454,44,24,0.0
U56,FULL,VOL,AGG,0.4,0.25,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.4,0.5,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.4,0.75,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.4,1.0,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.6,0.25,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.6,0.5,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.6,0.75,0.7083333333333334,17,24,1.0
U56,FULL,VOL,AGG,0.6,1.0,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.2,0.25,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.2,0.5,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.2,0.75,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.2,1.0,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.4,0.25,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.4,0.5,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.4,0.75,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.4,1.0,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.6,0.25,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.6,0.5,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.6,0.75,0.7083333333333334,17,24,1.0
U56,FULL,VOL,HYB,0.6,1.0,0.7083333333333334,17,24,1.0
U56,FULL,MOM,ROW,,0.25,1.0,24,24,1.0
