panel,ladder,null_type,object,correction,machinery_ratio,observed,null_median,null_mean,share_ge,share_le,ratio_obs_over_null,lo_0.8,hi_0.8,inside_0.8,lo_0.9,hi_0.9,inside_0.9,lo_0.95,hi_0.95,inside_0.95
U56,N,N_BLOCK,OBJ_MAXDD,R_NONE,1.0129622892033665,19.127561830465034,19.93265855871566,20.87506440015107,0.598,0.402,0.9596091647343955,15.838161978661491,26.485810927345465,True,14.976052469256821,28.62391593284929,True,13.902703687042894,30.89433795765591,True
U56,N,N_BLOCK,OBJ_MAXDD,R_CENTER,1.0129622892033665,19.127561830465034,19.89739354826785,20.693969282520403,0.662,0.338,0.9613099215263884,16.241061467149752,25.803378648539134,True,15.275154125509518,27.48312188381787,True,14.239138863361262,29.030338718401495,True
U56,N,N_BLOCK,OBJ_MAXDD,R_PERM,1.0129622892033665,19.127561830465034,20.337506450740122,21.21781369276466,0.671,0.329,0.9405067369883462,19.12756183046501,24.853135399727133,True,19.12756183046501,26.37326410653479,True,19.12756183046501,28.26715254232178,True
U56,N,N_BLOCK,OBJ_MAXDD,R_PIVOT,1.0129622892033665,19.127561830465034,18.32246510221441,20.87506440015107,0.402,0.598,1.0439404154276883,11.769312733584602,22.416961682268578,True,9.631207728080778,23.279071191673246,True,7.360785703274157,24.352419973887173,True
U56,N,N_BLOCK,OBJ_MAXDD,R_MACH,1.0129622892033665,19.127561830465034,19.677591921404584,20.607938343458024,0.557,0.443,0.9720478962498837,15.635490232432293,26.14688741095678,True,14.784412636954707,28.2576323303805,True,13.724798874770086,30.49900108517607,True
U56,N,N_BLOCK,OBJ_SPREAD,R_NONE,0.9994043399615178,6.726035227550565,9.271387639598021,10.123362237241993,0.735,0.265,0.7254615478295527,5.146684302910995,16.453868706715042,True,4.446859337140907,19.753111027378893,True,3.856635903370178,21.949033461636915,True
U56,N,N_BLOCK,OBJ_SPREAD,R_CENTER,0.9994043399615178,6.726035227550565,8.867389482604707,9.757935366211361,0.725,0.275,0.7585135671265066,4.97798313821041,15.825512272145511,True,4.300834889417043,18.470063113354843,True,3.812317145572623,20.360999774398305,True
U56,N,N_BLOCK,OBJ_SPREAD,R_PERM,0.9994043399615178,6.726035227550565,7.0933613432774685,8.195048767174283,0.646,0.355,0.9482155077190553,5.331209568887527,12.286030652794,True,4.831722814299941,14.290192873037679,True,4.385746304431875,15.884159281473067,True
U56,N,N_BLOCK,OBJ_SPREAD,R_PIVOT,0.9994043399615178,6.726035227550565,4.180682815503108,10.123362237241993,0.265,0.735,1.6088365284753483,-3.001798251613913,8.305386152190135,True,-6.301040572277763,9.005211117960222,True,-8.496963006535786,9.595434551730952,True
U56,N,N_BLOCK,OBJ_SPREAD,R_MACH,0.9994043399615178,6.726035227550565,9.276913526266075,10.12939591360169,0.742,0.258,0.7250294193760551,5.149751804268901,16.46367546027327,True,4.449509732279264,19.76488417904958,True,3.8589345164527487,21.96211541615085,True
U56,N,N_BLOCK,OBJ_ARGMAX,R_NONE,1.3383097051642936,1.041669434402614,0.7455719940091585,0.974480553054226,0.36,0.64,1.3971413126735797,0.1399873353129713,2.031144121683057,True,0.07659218608182669,2.622242860253895,True,0.03605153456253396,3.0833464431702566,True
U56,N,N_BLOCK,OBJ_ARGMAX,R_CENTER,1.3383097051642936,1.041669434402614,0.7291396338780505,0.9259196094334814,0.345,0.655,1.4286281886259862,0.12825799340287494,1.9153513671417108,True,0.05844916449472455,2.431534747835529,True,0.025558973965950596,2.8975211358165316,True
U56,N,N_BLOCK,OBJ_ARGMAX,R_PERM,1.3383097051642936,1.041669434402614,0.46793850112722346,0.699673141339299,0.217,0.783,2.2260819143826,0.14554113321964085,1.590924739545515,True,0.07574802413733099,2.0311441216830524,True,0.04698096875533691,2.1068843617719484,True
U56,N,N_BLOCK,OBJ_ARGMAX,R_PIVOT,1.3383097051642936,1.041669434402614,1.3377668747960696,0.974480553054226,0.64,0.36,0.7786629001121045,0.052194747122171314,1.9433515334922569,True,-0.5389039914486671,2.0067466827234015,True,-1.0000075743650285,2.0472873342426943,True
U56,N,N_BLOCK,OBJ_ARGMAX,R_MACH,1.3383097051642936,1.041669434402614,0.5570997439024254,0.7281427828654929,0.261,0.739,1.8698077782370328,0.10460010472373148,1.5176936353709765,True,0.057230539228902984,1.9593692327980117,True,0.026938110381638604,2.3039109940488243,True
U56,N,N_IID,OBJ_MAXDD,R_NONE,1.1078411756531672,19.127561830465034,22.363586979678043,23.201229937613377,0.765,0.235,0.855299368918161,17.269149550875902,30.32314812819288,True,15.917501834363238,33.62018965081363,True,14.790313603097703,36.181015286883834,True
U56,N,N_IID,OBJ_MAXDD,R_CENTER,1.1078411756531672,19.127561830465034,22.194677587983612,23.015328366932508,0.803,0.197,0.8618085013688533,17.68913410815152,29.577374857996936,True,16.675153737325278,31.713565445903754,True,15.881429257788332,33.17793537214759,True
U56,N,N_IID,OBJ_MAXDD,R_PERM,1.1078411756531672,19.127561830465034,22.476146915628647,23.09108733400369,0.783,0.217,0.8510160528077347,17.468209065532946,29.578846340206496,True,16.551978080160776,31.78994657528971,True,15.872301842934474,33.78046114155584,True
U56,N,N_IID,OBJ_MAXDD,R_PIVOT,1.1078411756531672,19.127561830465034,15.891536681252024,23.201229937613377,0.235,0.765,1.203631984377615,7.931975532737187,20.985974110054165,True,4.634934010116439,22.33762182656683,True,2.074108374046233,23.464810057832366,True
U56,N,N_IID,OBJ_MAXDD,R_MACH,1.1078411756531672,19.127561830465034,20.1866363799782,20.942740211776535,0.598,0.402,0.9475358583977075,15.588109496556905,27.371385713583706,True,14.368035946107986,30.34748156114675,True,13.35057220127023,32.6590273786782,True
U56,N,N_IID,OBJ_SPREAD,R_NONE,1.041542624091269,6.726035227550565,11.976564274498712,12.73843224265664,0.868,0.132,0.5615997270496081,6.192048652362133,19.955317653406375,True,5.1663435099608135,22.500729686018573,True,4.309574673032244,27.18552447316215,True
U56,N,N_IID,OBJ_SPREAD,R_CENTER,1.041542624091269,6.726035227550565,11.84411471833496,12.38366443277851,0.871,0.129,0.5678799460746955,6.134237518061575,19.120288698646085,True,5.07955177948996,21.360009226971606,True,4.180440845461379,23.278786016760993,True
U56,N,N_IID,OBJ_SPREAD,R_PERM,1.041542624091269,6.726035227550565,11.992211274782631,12.593058702834044,0.87,0.13,0.5608669721900376,6.165212684859007,20.06971486925842,True,4.763037533256109,22.82359216107118,True,3.977938110450943,24.95962032971132,True
U56,N,N_IID,OBJ_SPREAD,R_PIVOT,1.041542624091269,6.726035227550565,1.4755061806024177,12.73843224265664,0.132,0.868,4.558459541527958,-6.503247198305246,7.260021802738996,True,-9.048659230917444,8.285726945140315,True,-13.733454018061021,9.142495782068885,True
U56,N,N_IID,OBJ_SPREAD,R_MACH,1.041542624091269,6.726035227550565,11.498870999108743,12.230351353859126,0.847,0.153,0.5849300534001893,5.945074650943456,19.15938646372452,True,4.960280444084921,21.60327303517716,True,4.137684405179563,26.10121164928908,True
U56,N,N_IID,OBJ_ARGMAX,R_NONE,1.1607203212738382,1.041669434402614,1.032731987053218,1.2781366680338713,0.497,0.503,1.0086541788783925,0.1631598678164156,2.711413443038816,True,0.08245194094902927,3.186237467519607,True,0.037203906378590154,3.8128205934426274,True
U56,N,N_IID,OBJ_ARGMAX,R_CENTER,1.1607203212738382,1.041669434402614,1.0423047646830437,1.302470896523882,0.5,0.5,0.9993904563214553,0.17494008891026663,2.8087641235539658,True,0.10556048513429184,3.2751577342433302,True,0.05883066490389803,3.840861265355657,True
U56,N,N_IID,OBJ_ARGMAX,R_PERM,1.1607203212738382,1.041669434402614,1.0486744112508868,1.284466102056382,0.503,0.497,0.9933201604109735,0.1360693951358417,2.6862173206940336,True,0.06379409673988103,3.583452913283879,True,0.027610063146627364,4.117946754934263,True
U56,N,N_IID,OBJ_ARGMAX,R_PIVOT,1.1607203212738382,1.041669434402614,1.0506068817520102,1.2781366680338713,0.503,0.497,0.9914930622437083,-0.628074574233588,1.9201790009888124,True,-1.1028985987143787,2.000886927856199,True,-1.7294817246373992,2.046134962426638,True
U56,N,N_IID,OBJ_ARGMAX,R_MACH,1.1607203212738382,1.041669434402614,0.8897337008107526,1.1011581727380926,0.441,0.559,1.1707654025619272,0.14056777056970535,2.335974819552709,True,0.07103514898278165,2.7450518519593547,True,0.032052429596270485,3.2848745072871894,True
U56,N,N_STAT,OBJ_MAXDD,R_NONE,1.0553782087948738,19.127561830465034,19.476847147713492,20.750282296372326,0.567,0.433,0.98206663970819,16.095042124044795,26.002222264369827,True,15.769996334125977,28.064502236658377,True,14.436598207705012,29.83174402546147,True
U56,N,N_STAT,OBJ_MAXDD,R_CENTER,1.0553782087948738,19.127561830465034,19.563633933283995,20.614403566704222,0.683,0.317,0.9777100663247914,16.71775949608999,25.44731868650188,True,15.782510188729969,27.115988841244455,True,14.956870107079496,28.534657429996077,True
U56,N,N_STAT,OBJ_MAXDD,R_PERM,1.0553782087948738,19.127561830465034,19.442296990767574,20.777913113782823,0.548,0.452,0.9838118324983928,19.104401517865156,24.457808007284555,True,18.646677143838545,26.709039833079924,True,17.532414764289342,28.043538864755966,True
U56,N,N_STAT,OBJ_MAXDD,R_PIVOT,1.0553782087948738,19.127561830465034,18.778276513216575,20.750282296372326,0.433,0.567,1.0186004991993074,12.25290139656024,22.160081536885272,True,10.19062142427169,22.48512732680409,True,8.423379635468596,23.818525453225057,True
U56,N,N_STAT,OBJ_MAXDD,R_MACH,1.0553782087948738,19.127561830465034,18.45485057906769,19.661465551829874,0.436,0.564,1.03645173113243,15.250496921310862,24.637823718249322,True,14.942507058330856,26.591890947516305,True,13.679075508096785,28.26640134964133,True
U56,N,N_STAT,OBJ_SPREAD,R_NONE,1.017078417175707,6.726035227550565,8.476578761421017,9.277542609513024,0.68,0.32,0.7934846613072712,4.958699686228481,14.517197252426124,True,4.07126054563337,16.819879952199113,True,3.579416789235789,20.17916952508448,True
U56,N,N_STAT,OBJ_SPREAD,R_CENTER,1.017078417175707,6.726035227550565,8.468123565850016,9.133242585516848,0.662,0.338,0.7942769345826636,4.88635180394819,14.272474878764015,True,4.01712070718009,16.075115767399907,True,3.5462625648724213,18.59038269111508,True
U56,N,N_STAT,OBJ_SPREAD,R_PERM,1.017078417175707,6.726035227550565,7.115747465893195,8.147980005262244,0.607,0.393,0.9452324242519037,4.858295358847105,12.35336827950874,True,4.210221563989719,14.800089428722853,True,3.8105871656439714,16.960039861409182,True
U56,N,N_STAT,OBJ_SPREAD,R_PIVOT,1.017078417175707,6.726035227550565,4.975491693680112,9.277542609513024,0.32,0.68,1.3518332743061352,-1.0651267973249947,8.493370768872648,True,-3.3678094970979835,9.380809909467759,True,-6.72709906998335,9.87265366586534,True
U56,N,N_STAT,OBJ_SPREAD,R_MACH,1.017078417175707,6.726035227550565,8.334243081235922,9.12175743073532,0.64,0.36,0.8070361233756013,4.87543497383234,14.273429666061022,True,4.0028973940266335,16.53744654114843,True,3.5193125021523497,19.840328124471835,True
U56,N,N_STAT,OBJ_ARGMAX,R_NONE,1.114988124179453,1.041669434402614,0.7028752336039901,0.9381759674980026,0.345,0.655,1.4820118629894783,0.13776701554989507,2.0136205427351106,True,0.06314201003413789,2.5296565726959366,True,0.03996437666691738,2.998567748613148,True
U56,N,N_STAT,OBJ_ARGMAX,R_CENTER,1.114988124179453,1.041669434402614,0.706646121746072,0.9131154239413469,0.328,0.672,1.4741033769897773,0.13542596408797813,1.9441362342393373,True,0.0733051556924586,2.346002006473743,True,0.0366998686702715,2.8297616155304195,True
U56,N,N_STAT,OBJ_ARGMAX,R_PERM,1.114988124179453,1.041669434402614,0.5748789391461742,0.7267493633588513,0.25,0.75,1.8119805118443368,0.14193683592513365,1.5686554765180636,True,0.07441262817035968,1.9588502742450002,True,0.03946084441093617,2.1386074878355625,True
U56,N,N_STAT,OBJ_ARGMAX,R_PIVOT,1.114988124179453,1.041669434402614,1.380463635201238,0.9381759674980026,0.655,0.345,0.7545794092944462,0.06971832607011752,1.945571853255333,True,-0.44631770389070846,2.02019685877109,True,-0.9152288798079198,2.0433744921383106,True
U56,N,N_STAT,OBJ_ARGMAX,R_MACH,1.114988124179453,1.041669434402614,0.6303880896679981,0.841422385721309,0.293,0.707,1.6524256271263351,0.12355917750360003,1.8059569416642738,True,0.05663020857787668,2.2687744540396544,True,0.035842872045232,2.6893270731648977,True
