bin,n,cells,SMD_lo,SMD_hi,d_p50,d_p90,d_max
"[0.0, 0.1)",182,12,0.0011328098770068,0.09557573081624413,0.04102101619740273,0.11490619808212053,0.28602492613503233
"[0.1, 0.2)",101,9,0.1055789911345718,0.19941726138414714,0.03949426566697695,0.10387166709290313,0.15423943981868699
"[0.2, 0.4)",152,11,0.21017530389254216,0.39176538426399066,0.09144742374751491,0.18220733846935777,0.3630089362869308
"[0.4, 0.8)",42,5,0.419358798978609,0.7909495361980237,0.15177804468775283,0.26587758962406693,0.35364581269865225
"[0.8, 1.6)",47,7,0.8323054323338597,1.442505342603291,0.3622264058282352,0.4896352946425538,0.5883563630613677
