panel,theta,cad,family,ident_max_err,window,c_bar,c_sd,gap0_pp,pred0_pp,resid0_pp,share,CAGR_rs0,CAGR_dg0
U56,0.3,W,MA-THRESH,3.469446951953614e-18,FULL,0.04243563041903711,0.03875019143663788,-28.803210906023757,-28.655117421032863,-0.1480934849908948,0.9948584383361259,0.2994609023968544,0.011428793336616838
U56,0.3,W,MA-THRESH,3.469446951953614e-18,IS,0.03445797562720986,0.03341905268448963,-32.87384298516709,-32.99691461480742,0.1230716296403358,1.0037437554744015,0.3413377716357997,0.012599341784128804
U56,0.3,W,MA-THRESH,3.469446951953614e-18,OOS,0.04901645786137057,0.041517457013631076,-25.543802098713986,-25.203700145827913,-0.3401019528860729,0.9866855391545961,0.2659022386649572,0.010464217677817356
U56,0.3,W,QUANTILE-M,1.3010426069826053e-18,FULL,0.05670780910019023,0.002195123978795734,-33.4246688508111,-33.40830355802631,-0.016365292784790597,0.9995103827996671,0.3531436995848807,0.018897011076769665
U56,0.3,W,QUANTILE-M,1.3010426069826053e-18,IS,0.05843939423380523,0.0016281123829833995,-37.59798685022708,-37.58509572748516,-0.012891122741919503,0.9996571326333702,0.39703598753460945,0.021056119032338616
U56,0.3,W,QUANTILE-M,1.3010426069826053e-18,OOS,0.05527941149921805,0.0014467471419519968,-30.0857129061747,-30.059567112345565,-0.026145793829133623,0.9991309564805504,0.31797651266161764,0.01711938359987064
U56,0.3,W,QUANTILE-F,2.6020852139652106e-18,FULL,0.04272339072046605,0.0009791719065659998,-37.135395448052954,-37.12478714661967,-0.010608301433286726,0.999714334496636,0.3869712781404715,0.01561732365994195
U56,0.3,W,QUANTILE-F,2.6020852139652106e-18,IS,0.04269428812060477,0.0008900060439937214,-41.030391126278396,-41.03844506062006,0.008053934341667457,1.0001962919221725,0.427043540239882,0.01673962897709802
U56,0.3,W,QUANTILE-F,2.6020852139652106e-18,OOS,0.04274739767398909,0.0010465988174522588,-34.007127659997295,-33.98125144456539,-0.025876215431907212,0.9992390943542596,0.35476373467852973,0.014692458078556792
U56,0.3,M,MA-THRESH,3.469446951953614e-18,FULL,0.040648161011179684,0.03894656108959824,-26.09361535459822,-26.063818041965938,-0.029797312632283024,0.9988580611683221,0.27220937230171693,0.011273218755734726
U56,0.3,M,MA-THRESH,3.469446951953614e-18,IS,0.03318278495778934,0.03268818003625552,-30.73820071289639,-30.874805803242023,0.13660509034563262,1.0044441472557735,0.3191420917893908,0.011760084660426884
U56,0.3,M,MA-THRESH,3.469446951953614e-18,OOS,0.04680640586903188,0.042465449896312304,-22.38819091483142,-22.253985673185618,-0.13420524164580172,0.9940055343392263,0.23475368490485105,0.010871775756536861
