family,panel,cad,window,mean_resid0,sd_resid0,min_resid0,max_resid0,n_pos,n,mean_c_bar,mean_c_sd,mean_gap0,mean_pred0
MA-THRESH,U56,D,FULL,-0.2635611568980438,0.15291093145413723,-0.4996140697159257,-0.061409834115178086,0,9,0.5850831990203691,0.11203667204756543,-8.076545609624231,-7.81298445272619
MA-THRESH,U56,D,IS,-0.4506720748332422,0.40310458605297556,-0.8610224467547223,0.26113764427035946,1,9,0.575019079684881,0.11679092129429508,-8.683542571492795,-8.232870496659553
MA-THRESH,U56,D,OOS,-0.10643987949464723,0.22386343238620957,-0.4236170863281652,0.23353981311089456,4,9,0.5933851667582746,0.10602814087873536,-7.582560781581869,-7.4761209020872235
MA-THRESH,U56,W,FULL,-0.44385445993879213,0.37492647353478126,-1.281609381024417,-0.13173294241055622,0,9,0.5848587476884879,0.1120827600906203,-9.296489919652139,-8.852635459713346
MA-THRESH,U56,W,IS,-0.4924098856409336,0.44939315670977337,-1.200996917028819,0.1230716296403358,2,9,0.5747344618578432,0.11680972746403567,-10.188928135440413,-9.696518249799484
MA-THRESH,U56,W,OOS,-0.4003769386703612,0.4113685783074262,-1.386597631375075,-0.02776471556491522,0,9,0.5932103472207952,0.10607780478726014,-8.585482024664433,-8.185105085994074
MA-THRESH,U56,M,FULL,-0.2957138481532557,0.23352958097834284,-0.6358309260322095,-0.025891016070689332,0,9,0.5836808474549119,0.11135002700616425,-9.750632323337987,-9.45491847518473
MA-THRESH,U56,M,IS,-0.20655711935909032,0.284131062617148,-0.6355473142446222,0.13660509034563262,3,9,0.574074759893191,0.11825576001693637,-11.044150720172636,-10.837593600813547
MA-THRESH,U56,M,OOS,-0.3557462220390286,0.21455122245657832,-0.6165843719544633,-0.07038719596796916,0,9,0.591604981337515,0.10267916804838295,-8.739813137699725,-8.3840669156607
MA-THRESH,U56,Q,FULL,-0.2728392393844121,0.23946393326609078,-0.6317674515516245,0.06840483910857387,1,9,0.5770292658077334,0.12120942786536272,-9.538810665431432,-9.26597142604702
MA-THRESH,U56,Q,IS,-0.24952130654292157,0.3058860118368502,-0.6735419605480519,0.2725754073575217,1,9,0.5682116446069089,0.12385783881884589,-12.148344603285215,-11.898823296742295
MA-THRESH,U56,Q,OOS,-0.25708396156545177,0.3102469988163005,-0.9103800453860824,0.005716899196016811,1,9,0.5843029878587217,0.11733590938491312,-7.526035684764106,-7.268951723198656
MA-THRESH,U56,A,FULL,0.07265823770689216,0.3308914793933245,-0.19043386917487748,0.7654905603696989,4,9,0.5811634644796914,0.13709210922733717,-7.4808419882518695,-7.553500225958762
MA-THRESH,U56,A,IS,-0.10864639049699666,0.3096741797137627,-0.38671943013166565,0.5689324828285436,2,9,0.5553662347233143,0.14840436513064245,-7.573743740245991,-7.465097349748993
MA-THRESH,U56,A,OOS,0.19698061267213854,0.4582176471030065,-0.18538228198110573,0.9582474061869508,4,9,0.6024437933416102,0.11628990041018333,-7.417150613343612,-7.61413122601575
