cadence,panel,tag,window,chooser,CAGR,Sharpe,MaxDD,H1,H2,KEEP_4a,KEEP_4b
QUARTER,U56,IS-CHOSEN,L504,H_RUNNERUP,0.17455411232059137,1.188512837674466,-0.19127561830465023,1.2546848554963768,1.1234406691696077,False,True
QUARTER,U56,ANCHOR,EXPAND,CH_ANCHOR,0.1716196082191408,1.1759465345181017,-0.19127561830465023,1.2546848554963768,1.0977403373824588,False,True
QUARTER,B136,IS-CHOSEN,L252,H_RUNNERUP,0.1688903408094442,1.0517825377625158,-0.20740302267849475,1.1216513266695667,0.9983856031422572,False,False
QUARTER,B136,ANCHOR,EXPAND,CH_ANCHOR,0.1628665539757932,1.024015074035567,-0.20740302267849475,1.0532680576203537,1.0022981955476973,False,False
QUARTER,SMALL,IS-CHOSEN,L504,CH_RAW,0.052478714872682186,0.3563524774082443,-0.37411836270629695,0.8725336867532946,-0.13120265314192053,False,False
QUARTER,SMALL,ANCHOR,EXPAND,CH_ANCHOR,0.07086077006544778,0.4534302580652866,-0.3581405418032817,0.7916901384400528,0.10067776053947612,False,False
YEAR,U56,IS-CHOSEN,L252,H_RUNNERUP,0.1716196082191408,1.1759465345181017,-0.19127561830465023,1.2546848554963768,1.0977403373824588,False,True
YEAR,U56,ANCHOR,EXPAND,CH_ANCHOR,0.1716196082191408,1.1759465345181017,-0.19127561830465023,1.2546848554963768,1.0977403373824588,False,True
YEAR,B136,IS-CHOSEN,L252,CH_RAW,0.1646926603944836,1.0024401303710047,-0.24354358049436975,1.0641709268752189,0.951744156220058,False,False
YEAR,B136,ANCHOR,EXPAND,CH_ANCHOR,0.1628665539757932,1.024015074035567,-0.20740302267849475,1.0532680576203537,1.0022981955476973,False,False
YEAR,SMALL,IS-CHOSEN,L504,CH_RAW,0.07372263424975412,0.4666164345101588,-0.37411836270629695,1.0129162066610082,-0.08957686687314192,False,False
YEAR,SMALL,ANCHOR,EXPAND,CH_ANCHOR,0.07086077006544778,0.4534302580652866,-0.3581405418032817,0.7916901384400528,0.10067776053947612,False,False
