,K,null,oe,ie,ag,nag,rho_mean,rho_within,dIS,dRND,dORC,capIS,capRND
GROSS,7.0,0.2857142857142857,0.6111111111111112,0.5555555555555556,0.4444444444444444,0.14285714285714285,0.21428571428571433,-0.027777777777777804,0.00017102046294374055,-0.00020371390296660546,0.0010561003209978838,0.0,-0.6157159726906979
COUNT,5.0,0.4,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.2,0.9999999999999999,0.5333333333333332,0.03870885621123463,0.014870583163823222,0.18621957796544364,0.0,0.09676301547081267
CADENCE,4.0,0.5,0.0,0.3333333333333333,0.5555555555555556,0.25,0.39999999999999997,0.37777777777777777,0.04616036279252468,-0.05126525282025011,0.1155471885756845,1.0,-0.3230165351517145
VOLCAP,5.0,0.4,0.7222222222222222,0.5555555555555556,0.3333333333333333,0.2,0.9999999999999999,0.811111111111111,0.014207452320708278,-0.023911256621767775,0.07063464928983751,0.49511989335136036,-0.22117695339803375
VOLPOW,5.0,0.4,0.7222222222222222,0.5555555555555556,0.3888888888888889,0.2,-0.9999999999999999,-0.4555555555555555,0.04003463918653623,0.004338237706729146,0.0784509865884072,0.11174939080151933,-0.08622646786466642
