panel,N,cadence,order,build_ix,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,fail4b,IS_4b_margin,NULLGAP,null_is_mean,null_is_sd,null_is_max
U56,5,W,6,0,0.23413205274277216,1.1470590157315002,-0.2845403696314448,1.3211262251666225,1.0432305673552171,1.3272595749546612,0.23435263371395054,-0.18521791446964653,0.23395064540028998,1.0518622698535158,-0.2845403696314448,False,False,DD,-0.39922624629690673,0.3520066796273692,0.4175869167415083,0.19861050294740815,0.975252895327292
U56,10,W,7,1,0.16420266175104126,1.0666379946187294,-0.23324854350201485,1.15639580493196,1.0120599030503266,1.1064860289573943,0.15012568188994346,-0.13632616903110029,0.1759106067234395,1.050604105187121,-0.23324854350201474,False,False,DD,-0.02987421228460233,0.09404003050692622,0.5145295473915398,0.14213238822255464,1.0124459984504681
U56,15,W,8,2,0.16055050713895014,1.1695416068437865,-0.19692427256835332,1.2402304793886267,1.1288869819668503,1.1577239051561827,0.14072216329720844,-0.10964874010808923,0.1771182119912531,1.1869632192785269,-0.1969242725683531,False,True,-,0.17166006607978646,0.19651538828850335,0.5985361527021302,0.10961503903997714,0.9612085168676794
U56,20,W,9,3,0.14361575155749118,1.1557145327454466,-0.19089287982281422,1.2282589462150648,1.1095393988107913,1.135647253337462,0.12683070716481293,-0.11128229485087593,0.1576093833822998,1.1769075314489335,-0.190892879822814,False,True,-,0.15931939872363537,0.19500149942934952,0.6716151608405118,0.09260042797194902,0.9406457539081124
U56,30,W,10,4,0.12354216580101696,1.1604743162700586,-0.18287294834916146,1.1753677477616902,1.156999164988361,1.0619394353875125,0.10323701030547072,-0.10637174506326841,0.1405238079760427,1.2357893610280462,-0.18287294834916157,False,True,-,-0.01408155447543613,0.050281925841797914,0.8189402626049797,0.06121078932857238,1.0116575095457145
U56,40,W,11,5,0.10569821400442292,1.1708168733811442,-0.15277363813405764,1.2055222009070488,1.1482464070183414,1.0675166759014076,0.08942983405840033,-0.10239141840030463,0.11926155650032544,1.249933600883328,-0.15277363813405787,False,False,CAGR,-0.14594075596060313,0.0006792727613913474,0.9516370402020027,0.03848147468947266,1.0668374031400163
U56,5,M,0,6,0.24481320875828594,1.1633553627120952,-0.28727941869469265,1.5216652565913464,0.915935895446196,1.5743405598078908,0.3016681943986055,-0.1892091619354319,0.19991393373789856,0.9143004039834073,-0.28727941869469253,False,False,DD,-0.42937807165129566,-0.018973004625058243,0.7975669095160136,0.20144476368400832,1.593313564432949
U56,10,M,1,7,0.18064002386685618,1.1226115234162235,-0.24109009843747853,1.3273184940042972,0.9784119376031235,1.2963122206392117,0.18805071536859153,-0.15306535005748445,0.1745790879296989,1.0163653038098162,-0.2410900984374792,False,False,DD,-0.15633013044294167,-0.06797710189877626,0.9151075758321682,0.14343884578430932,1.364289322537988
U56,15,M,2,8,0.16837116413849085,1.168697434692182,-0.23783285635596096,1.2473664644569016,1.1252604579784231,1.1699825764672642,0.14808745830030245,-0.12683914331513446,0.1853236756479455,1.1785858166961318,-0.23783285635596063,False,False,DD,0.04179539602020615,-0.19512941090488622,0.9540378612476904,0.12530816952826837,1.3651119873721504
U56,20,M,3,9,0.15876406921173247,1.210958048661502,-0.21526501787941998,1.2866262060787275,1.1625095297094181,1.1843868066352272,0.13971283303689974,-0.11850971778182817,0.17467295870435606,1.2367538495294876,-0.21526501787942054,False,False,DD,0.10471992929848009,-0.08012717364017763,0.9839552390057358,0.09287774029397264,1.2645139802754048
U56,30,M,4,10,0.13497607878623596,1.2077263229514923,-0.1771116350680867,1.2824119304036965,1.1522422118234632,1.1847307042628121,0.12334063732697853,-0.1059627092676918,0.14463698670581815,1.2281109606348084,-0.1771116350680868,False,True,-,0.1779090566804186,-0.027339996791845733,1.0245971379186296,0.06574507596844387,1.2120707010546579
U56,40,M,5,11,0.11528031853886334,1.2147387362447937,-0.15146558390448617,1.268995427160881,1.1714709712225464,1.1466449074351404,0.10364238559852978,-0.09715222511518051,0.12494492551106995,1.2682211482716217,-0.15146558390448572,False,True,-,-0.010210200804845802,-0.04888922414122332,1.067674649448673,0.04235980952331071,1.1955341315763637
