panel,n,freq,cstar_bps,d0,to_yr,ew_to_yr
U56,3,D,,-0.06476699152991516,44.7645378938677,1.7451089336404098
U56,5,D,0.6925106048583984,0.012264368129238479,38.55546706217937,1.7451089336404098
U56,8,D,,-0.004892012262394108,34.08282660396462,1.7451089336404098
U56,10,D,,-0.004160991615289378,31.070961506318472,1.7451089336404098
U56,15,D,5.960988998413086,0.10854652300465384,25.923453450206033,1.7451089336404098
U56,20,D,8.325624465942383,0.14088280185723856,22.06115540642779,1.7451089336404098
U56,25,D,7.77592658996582,0.12637365020792202,19.56753161321467,1.7451089336404098
U56,30,D,10.912752151489258,0.15466881820220157,16.10072438049457,1.7451089336404098
U56,40,D,11.260652542114258,0.13142008533680039,11.596591922360593,1.7451089336404098
U56,50,D,12.65568733215332,0.11504734878996214,7.693536262977474,1.7451089336404098
U56,3,W,13.39421272277832,0.0848116156618759,17.492576903406757,0.8157204399523731
U56,5,W,17.353487014770508,0.11791755827899619,15.21716036036609,0.8157204399523731
U56,8,W,3.820466995239258,0.028069298872769766,13.444108881477906,0.8157204399523731
U56,10,W,7.982969284057617,0.06041470884087863,12.756640411073448,0.8157204399523731
U56,15,W,22.2257137298584,0.1571214006733137,10.46278077692253,0.8157204399523731
U56,20,W,20.791959762573242,0.1400933086183318,9.094550160346653,0.8157204399523731
U56,25,W,22.534894943237305,0.14396564280724755,7.985699377492115,0.8157204399523731
U56,30,W,23.603487014770508,0.13393437094709348,6.692357928216922,0.8157204399523731
U56,40,W,25.261449813842773,0.12116721206251335,4.927601475259211,0.8157204399523731
U56,50,W,28.845548629760742,0.11531101796974697,3.4746836458971573,0.8157204399523731
U56,3,M,27.587270736694336,0.0691440032944457,7.115082099969877,0.39738256790096577
U56,5,M,16.706037521362305,0.04699993751015441,6.623512486127446,0.39738256790096577
U56,8,M,18.376684188842773,0.056016472980061405,5.9806789767379565,0.39738256790096577
U56,10,M,9.860944747924805,0.030265481451402954,5.51911027602503,0.39738256790096577
U56,15,M,31.66813850402832,0.09057571335948156,4.584638334593291,0.39738256790096577
U56,20,M,46.90957069396973,0.1268163549880399,3.9341325379982113,0.39738256790096577
U56,25,M,55.93523979187012,0.1434529172332375,3.4389040450951134,0.39738256790096577
U56,30,M,50.64072608947754,0.11591977676095411,2.908481578053633,0.39738256790096577
U56,40,M,64.91045951843262,0.12680816062651368,2.166748372760486,0.39738256790096577
U56,50,M,64.34826850891113,0.11251078435554995,1.6319665735508353,0.39738256790096577
U56,3,Q,,-0.24980100489869672,3.8592868502230164,0.2463825275732685
U56,5,Q,,-0.22611227957062252,3.6763574175697147,0.2463825275732685
U56,8,Q,,-0.14688849526087333,3.4410129090021178,0.2463825275732685
U56,10,Q,,-0.1518197029015187,3.2049059197306744,0.2463825275732685
U56,15,Q,,-0.07286998153931767,2.793251131101672,0.2463825275732685
U56,20,Q,,-0.08735680954666569,2.3744177974800023,0.2463825275732685
U56,25,Q,,-0.08475954410873254,2.0763580214927155,0.2463825275732685
U56,30,Q,,-0.13029580090695203,1.7489410866502368,0.2463825275732685
U56,40,Q,,-0.12275682256838305,1.2749466495938333,0.2463825275732685
U56,50,Q,,-0.1444451666949088,0.9678571471076305,0.2463825275732685
B136,3,D,,-0.21864833245464343,53.22106598216785,1.8013317594397034
B136,5,D,,-0.1880069229715442,46.38767958718439,1.8013317594397034
B136,8,D,,-0.13523486187204536,42.434655391526455,1.8013317594397034
B136,10,D,,-0.09887438102392954,38.817418531356644,1.8013317594397034
B136,15,D,,-0.05726240127281512,34.076413513024,1.8013317594397034
B136,20,D,,-0.10938550072177611,31.202746755982115,1.8013317594397034
B136,25,D,,-0.08190194622004188,28.634565442896246,1.8013317594397034
B136,30,D,,-0.03050086664245799,27.07362607181355,1.8013317594397034
B136,40,D,1.2135028839111328,0.021439705676156384,23.006574382000455,1.8013317594397034
B136,50,D,2.106618881225586,0.034986258350445,20.40868085097851,1.8013317594397034
B136,3,W,,-0.15077149056668893,20.826334768326504,0.849821338846537
B136,5,W,,-0.08217340304335274,18.62470819927551,0.849821338846537
B136,8,W,,-0.05873982000173905,16.75550053563685,0.849821338846537
B136,10,W,,-0.06981844747507715,15.880530419509702,0.849821338846537
B136,15,W,,-0.026535139890728976,14.13245346938595,0.849821338846537
B136,20,W,,-0.03098109423528639,13.140228003573954,0.849821338846537
B136,25,W,0.7302761077880859,0.005742217890330359,11.865030714692926,0.849821338846537
B136,30,W,,-0.010974199651745176,11.210138400571475,0.849821338846537
B136,40,W,5.221033096313477,0.03799723213324557,9.813613009651387,0.849821338846537
B136,50,W,4.137563705444336,0.028158601986968845,8.687174134060783,0.849821338846537
B136,3,M,19.3692684173584,0.05827208636349068,8.691271084614963,0.41574827462103303
B136,5,M,18.54262351989746,0.058972981497912746,8.155604583532591,0.41574827462103303
B136,8,M,15.77610969543457,0.052487972143416606,7.385339289308786,0.41574827462103303
B136,10,M,3.4769535064697266,0.011841262986437506,7.065296742164812,0.41574827462103303
B136,15,M,1.2543201446533203,0.0043852920787816885,6.478550107526586,0.41574827462103303
B136,20,M,8.786630630493164,0.029985955017712396,5.829056464092109,0.41574827462103303
B136,25,M,7.242059707641602,0.024372402359849055,5.46381649871585,0.41574827462103303
B136,30,M,,-0.027926089082674466,5.189081564693238,0.41574827462103303
B136,40,M,3.2140254974365234,0.01003955408545898,4.533285005338937,0.41574827462103303
B136,50,M,13.168573379516602,0.03794890906031112,3.9584021720208473,0.41574827462103303
B136,3,Q,16.477537155151367,0.024727537178116155,4.418657771213593,0.25165155126304767
B136,5,Q,,-0.05216849056026818,4.281835087095227,0.25165155126304767
B136,8,Q,,-0.09685347801437483,4.177786429838541,0.25165155126304767
B136,10,Q,,-0.12883291016343656,4.040119162828322,0.25165155126304767
B136,15,Q,,-0.141215323633877,3.639432295585946,0.25165155126304767
B136,20,Q,,-0.17993899783648504,3.4497727106587073,0.25165155126304767
B136,25,Q,,-0.21019747776046394,3.2963189918613622,0.25165155126304767
B136,30,Q,,-0.2041826674358903,3.116506042154402,0.25165155126304767
B136,40,Q,,-0.16852917700032133,2.788564990685139,0.25165155126304767
B136,50,Q,,-0.12325447564724457,2.432832983539136,0.25165155126304767
SMALL439,3,D,,-0.2654618226428185,62.43206016123891,3.6852707339729305
SMALL439,5,D,,-0.13121189639056552,53.26713007993538,3.6852707339729305
SMALL439,8,D,,-0.09366276333118329,49.11015683722297,3.6852707339729305
SMALL439,10,D,3.383493423461914,0.056135705187912444,46.01775155022498,3.6852707339729305
SMALL439,15,D,1.9520282745361328,0.03160816945847378,40.20861608158323,3.6852707339729305
SMALL439,20,D,1.9948482513427734,0.033069703810328144,38.38634640252018,3.6852707339729305
SMALL439,25,D,0.33364295959472656,0.005530610244619427,36.43349617388168,3.6852707339729305
SMALL439,30,D,,-0.010764377053300467,35.150999018535884,3.6852707339729305
SMALL439,40,D,,-0.04134116279258182,32.463741468768546,3.6852707339729305
SMALL439,50,D,,-0.09331284027671904,30.422544022378776,3.6852707339729305
