panel,tradable,start,end,mean_elig,med_elig,p10_elig,p90_elig,mean_elig_IS,n_sat25,n_sat50,n_sat75,n_sat50_IS
U56,56,2008-01-02,2026-09-04,35.44,40.0,13.0,48.0,32.217021276595744,30,40,40,30
ETF36,36,2008-01-02,2026-09-04,23.016410256410257,26.0,7.0,32.0,21.040425531914895,15,25,30,20
ETF24,24,2008-01-02,2026-09-04,16.165128205128205,19.0,2.0,23.0,14.553191489361701,12,15,20,15
STK20,20,2008-01-02,2026-09-04,12.423589743589744,14.0,5.0,17.0,11.176595744680851,10,12,15,12
B136,136,2008-01-02,2026-09-04,86.47282051282052,98.0,31.400000000000006,116.0,80.1063829787234,60,80,100,80
BSTK100,100,2008-01-02,2026-09-04,63.459487179487176,71.0,24.0,86.0,59.07021276595745,50,60,80,60
SMALL,439,2010-01-04,2026-09-04,135.01954022988505,146.0,51.80000000000001,194.0,119.6986301369863,100,120,150,120
