panel,g,interp_Sharpe,true_Sharpe,dSharpe,max_abs_ret,gate,n,max_d_on,max_d_gap,max_d_geff
U56,0.70856,1.0461161773567746,1.0461161682426532,9.114121457542979e-09,9.128913638217773e-08,G4,,,,
U56,0.95494,1.0462662122031388,1.046266210481233,1.7219057291129047e-09,2.0653737464737532e-07,G4,,,,
U56,0.92937,1.0462538903210161,1.0462538891547633,1.1662528720535192e-09,4.815733111590559e-08,G4,,,,
U56,0.81704,1.0461908573270493,1.046190849218497,8.108552274066483e-09,1.6186588635419552e-07,G4,,,,
U56,0.60322,1.0460310497990806,1.046031025959826,2.3839254570390267e-08,1.54778206640227e-07,G4,,,,
U56,0.86742,1.046221007754851,1.046221002960012,4.7948389703122984e-09,1.520217890599307e-07,G4,,,,
B136,0.6967,1.0261132629106,1.02611326420135,-1.2907499513659104e-09,2.773822383450586e-07,G4,,,,
B136,0.96156,1.0261059597041124,1.0261059655005773,-5.7964648636499305e-09,1.893863692259412e-07,G4,,,,
B136,0.93408,1.0261106426756155,1.0261106525176757,-9.84206027787593e-09,3.4219646329047837e-07,G4,,,,
B136,0.81332,1.0261202512971954,1.026120257008904,-5.711708661593207e-09,2.9538368432474593e-07,G4,,,,
B136,0.58346,1.026091737083402,1.026091733779861,3.303540996313359e-09,2.6873524309328767e-07,G4,,,,
B136,0.86747,1.0261181457401156,1.0261181511913655,-5.451249895926935e-09,2.5840821066269726e-07,G4,,,,
SMALL439,0.36883,0.33641334323024696,0.3364132673376366,7.589261036278216e-08,1.7509887656128043e-07,G4,,,,
SMALL439,0.91086,0.33788655621235536,0.3378865246761849,3.15361704528172e-08,1.8913707393319878e-07,G4,,,,
SMALL439,0.85462,0.3377227522418094,0.3377226490841066,1.0315770282431913e-07,5.748344771711045e-07,G4,,,,
SMALL439,0.60749,0.33703563801498154,0.3370355440559638,9.395901773290305e-08,3.695956835997327e-07,G4,,,,
SMALL439,0.13708,0.33583871418109285,0.33583833989187245,3.742892203950632e-07,3.057756455156213e-07,G4,,,,
SMALL439,0.71831,0.3373377301292267,0.3373376675197222,6.260950446979052e-08,2.963646210801807e-07,G4,,,,
U56,,,,,,G5,2160.0,0.0,0.0,0.0
B136,,,,,,G5,2160.0,0.0,0.0,0.0
SMALL439,,,,,,G5,2160.0,0.0,0.0,0.0
