draw,start,end,SPY_H1,SPY_H2,SPY_MaxDD,kills
0,2010-07-28,2010-09-15,0.9753065514487554,0.816706721458999,-0.3371726770846235,0
1,2024-01-19,2024-03-08,0.9521403210319354,0.7979962530990854,-0.33717267708462395,0
2,2010-09-27,2010-11-12,0.9484517374230547,0.816706721458999,-0.33717267708462373,0
3,2021-05-13,2021-07-01,0.9521403210319354,0.8022136714217102,-0.33717267708462395,0
4,2012-11-27,2013-01-16,0.9468048370341651,0.816706721458999,-0.33717267708462384,0
5,2023-01-19,2023-03-09,0.9521403210319354,0.8427867859666097,-0.33717267708462395,0
6,2010-07-12,2010-08-27,0.9925115542826959,0.816706721458999,-0.33717267708462395,0
7,2016-03-14,2016-05-02,0.958242717293607,0.816706721458999,-0.3371726770846236,0
8,2020-12-22,2021-02-11,0.9521403210319354,0.8053642787770539,-0.33717267708462395,0
9,2016-08-30,2016-10-18,0.9923277478793369,0.816706721458999,-0.3371726770846236,0
10,2010-03-17,2010-05-05,0.9769883812485921,0.816706721458999,-0.33717267708462406,0
11,2013-02-20,2013-04-10,0.9532087244078127,0.816706721458999,-0.33717267708462384,0
12,2018-10-24,2018-12-13,0.9521403210319354,0.8645307572689208,-0.33717267708462384,0
13,2022-09-14,2022-11-01,0.9521403210319354,0.8592488992096438,-0.33717267708462395,0
14,2018-04-18,2018-06-06,0.9521403210319354,0.8247005789815971,-0.33717267708462384,0
15,2022-03-04,2022-04-22,0.9521403210319354,0.857575040956097,-0.33717267708462395,0
16,2019-07-12,2019-08-29,0.9521403210319354,0.8579055582204814,-0.3371726770846235,0
17,2020-04-22,2020-06-10,0.9521403210319354,0.7511452892228003,-0.33717267708462395,0
18,2024-02-22,2024-04-11,0.9521403210319354,0.8140868930726035,-0.33717267708462395,0
19,2010-05-26,2010-07-15,0.9766624757992783,0.816706721458999,-0.3371726770846236,0
