keying,tau,n,moved,med_adv,mean_adv,wins,med_advS
K_SE,0.0,36,36,-0.01954618783644746,-0.022417437666514373,13,-0.05019206587590541
K_SE,0.25,36,34,-0.01954618783644746,-0.02331054689697646,11,-0.05019206587590541
K_SE,0.5,36,31,-0.012569423489953602,-0.01913338707921337,10,-0.04236814683988244
K_SE,0.75,36,25,0.0,-0.011123645666701341,10,-0.004535882691720783
K_SE,1.0,36,13,0.0,-0.004707579456416971,6,0.0
K_SE,1.5,36,8,0.0,0.007961001080869827,4,0.0
K_SE,2.0,36,5,0.0,0.009005039444891345,4,0.0
K_SE,3.0,36,4,0.0,0.012891911581959077,4,0.0
K_SE,inf,36,0,0.0,0.0,0,0.0
K_FLOOR,0.0,36,36,-0.01954618783644746,-0.022417437666514373,13,-0.05019206587590541
K_FLOOR,0.25,36,18,0.0,-0.004761733405412592,9,0.0
K_FLOOR,0.5,36,16,0.0,-0.002753924637863987,9,0.0
K_FLOOR,0.75,36,12,0.0,-0.004398119034433299,6,0.0
K_FLOOR,1.0,36,10,0.0,0.008012321205051767,6,0.0
K_FLOOR,1.5,36,7,0.0,0.008450742191170011,4,0.0
K_FLOOR,2.0,36,6,0.0,0.012337614328237743,4,0.0
K_FLOOR,3.0,36,4,0.0,0.012891911581959077,4,0.0
K_FLOOR,inf,36,0,0.0,0.0,0,0.0
