test,n,agree,rate,pick,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,v2_OOS,spy_OOS,beat_v2,beat_spy,mae_model,mae_ismean,mae_zero,beats
WF-A majority-BOTH label,162.0,96.0,0.5925925925925926,,,,,,,,,,,,,
WF-A dominant leg,162.0,109.0,0.6728395061728395,,,,,,,,,,,,,
WF-A SELECTION sign,162.0,117.0,0.7222222222222222,,,,,,,,,,,,,
WF-B U56,,,,+0.30/W/QUANTILE-M/RESPREAD,1.5238506548556647,1.0897316298205413,0.29695538425198076,-0.32205533760018146,1.2816876607860581,0.878646168321868,False,True,,,,
WF-B B136,,,,+0.30/Q/QUANTILE-M/DEGROSS,1.6920626932734042,1.007014636118324,0.011973634580880077,-0.017856605567415196,1.2850848109016457,0.8820239235972316,False,True,,,,
WF-B SMALL439,,,,+0.30/M/MA-THRESH/RESPREAD,0.8874006931164304,1.1041600612175628,0.24022985785064388,-0.3077804460589927,1.2850848109016457,0.882010501050508,False,True,,,,
WF-C ALL,162.0,,,,,,,,,,,,1.2073987619192987,1.1557847394517151,1.056282474871982,False
WF-C U56,54.0,,,,,,,,,,,,1.2267540134828556,1.1994106473734898,1.1966019121256521,False
WF-C B136,54.0,,,,,,,,,,,,1.3570517816135226,1.3800748111656038,1.2831786834118566,False
WF-C SMALL439,54.0,,,,,,,,,,,,1.0117094465348426,1.0088866130069507,0.689066829078437,False
