assign,bar,acted,cells,picks,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,leg,CAGR,Sharpe,MaxDD,keep4a,fail4b,keep4b
POOLED,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
POOLED,2.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
MIN,1.0,6.0,6.0,U56/U56/U56/U56/U56/U56,0.13000863466229462,1.1567155016017368,-0.18404883377059167,WF-B_OOS,,,,,,
MIN,2.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
MEAN,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
MEAN,2.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
MAX,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
MAX,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
RSS,1.0,3.0,6.0,U56/STANDDOWN/U56/STANDDOWN/U56/STANDDOWN,0.10941238572889489,1.1966346767376148,-0.1505622576228276,WF-B_OOS,,,,,,
RSS,2.0,0.0,6.0,STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN/STANDDOWN,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
ALWAYS-ACT (idea 567's rule),,,,-,0.13000863466229462,1.1567155016017368,-0.18404883377059167,WF-B_OOS,,,,,,
RULES v2 U56 (live book),,,,-,0.09447597045404743,1.2746660728287855,-0.12054945176473153,WF-B_OOS,,,,,,
SPY,,,,-,0.15237187725667578,0.872122672456382,-0.33717256775620263,WF-B_OOS,,,,,,
POOLED,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
POOLED,2.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
MIN,1.0,,,,,,,WF-B_KEEP,0.12090618704341205,1.1331811874704873,-0.18404883377059167,False,-,True
MIN,2.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
MEAN,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
MEAN,2.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
MAX,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
MAX,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
RSS,1.0,,,,,,,WF-B_KEEP,0.10104592167342163,1.1543939652991322,-0.1505622576228277,False,CAGR,False
RSS,2.0,,,,,,,WF-B_KEEP,0.08613208348721235,1.199806892667932,-0.12054945176473186,False,CAGR,False
