panel,subset,pick,IS_cstar,full_cstar,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4b_10,keep4a_10,turn
B136,FULL,6W m=20,74,-1,0.1790102322406948,1.0845440244675535,-0.2591437352601311,False,False,3.4846259774824198
B136,noDD,Q m=20,97,-1,0.1505755040511536,0.9214736954543307,-0.27384923697709196,False,False,2.621495016181652
B136,noCAGR,6W m=20,74,-1,0.1790102322406948,1.0845440244675535,-0.2591437352601311,False,False,3.4846259774824198
B136,SHARPEONLY,Q m=20,97,-1,0.1505755040511536,0.9214736954543307,-0.27384923697709196,False,False,2.621495016181652
SMALL439,FULL,Q m=20,-1,-1,0.018747447545214957,0.19321322964262952,-0.44343135352197616,False,False,3.927552873580724
SMALL439,noDD,Q m=20,-1,-1,0.018747447545214957,0.19321322964262952,-0.44343135352197616,False,False,3.927552873580724
SMALL439,noCAGR,Q m=20,-1,-1,0.018747447545214957,0.19321322964262952,-0.44343135352197616,False,False,3.927552873580724
SMALL439,SHARPEONLY,Q m=20,-1,-1,0.018747447545214957,0.19321322964262952,-0.44343135352197616,False,False,3.927552873580724
U56,FULL,M m=20,53,95,0.14149025296489937,1.124087541242119,-0.187253635423008,True,False,2.7609729557140223
U56,noDD,Q m=20,87,-1,0.14597724654697553,1.029772645481175,-0.24505156379214799,False,False,1.6606513419276556
U56,noCAGR,M m=20,53,95,0.14149025296489937,1.124087541242119,-0.187253635423008,True,False,2.7609729557140223
U56,SHARPEONLY,Q m=20,87,-1,0.14597724654697553,1.029772645481175,-0.24505156379214799,False,False,1.6606513419276556
