form,w,param,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,p4b,fails
GATE,63,0.5,0.12706818690798016,1.0983563286536064,-0.1950528982979043,True,-
SIZE,63,0.1,0.12154850592313315,1.0932521772194979,-0.19176644364470552,False,H2
SIZE,63,0.25,0.12491645393542772,1.0998461262231567,-0.19462395937955934,True,-
SIZE,63,0.4,0.12814127440313205,1.0955253564329879,-0.19887079892754145,True,-
SIZE,63,0.5,0.13021067793047525,1.0875021731476744,-0.20173566966954848,True,-
SIZE,63,0.6,0.1322150277173284,1.076116353890107,-0.2046270759213935,False,DD
SIZE,63,0.75,0.1350983173971656,1.0541578589756302,-0.20901322110692389,False,DD
SIZE,63,0.9,0.13783199992983497,1.0281419998289674,-0.21345721652455696,False,DD
GATE,126,0.5,0.13002578419712196,1.118127611873609,-0.19018578492877203,False,H2
SIZE,126,0.1,0.1279086779490124,1.1210859019018753,-0.19280330244127641,True,-
SIZE,126,0.25,0.13018902927538045,1.1198836243776482,-0.19418405240568426,True,-
SIZE,126,0.4,0.132336546517958,1.1094362586380857,-0.19567245500084085,True,-
SIZE,126,0.5,0.13369373995535083,1.0981291196139034,-0.19889379991408063,True,-
SIZE,126,0.6,0.13499086357431045,1.0839786958171609,-0.2023432092893953,False,DD
SIZE,126,0.75,0.13682301332024838,1.058613470145852,-0.20757636076098274,False,DD
SIZE,126,0.9,0.13851767788511382,1.0297968725291156,-0.21706076717795864,False,DD
GATE,252,0.5,0.14285956767027752,1.2079947450814668,-0.15106525419372974,True,-
SIZE,252,0.1,0.13646075654444045,1.1839560406942413,-0.16590377795754108,True,-
SIZE,252,0.25,0.1373086940532331,1.1701018545426183,-0.17032938923798657,True,-
SIZE,252,0.4,0.13802590320640684,1.1477444098468712,-0.17659057434733216,True,-
SIZE,252,0.5,0.13843099407917103,1.128996539817728,-0.1815381402875369,True,-
SIZE,252,0.6,0.1387773510565018,1.1078330003199328,-0.188511664152764,True,-
SIZE,252,0.75,0.13918620735826903,1.0727558114084188,-0.1989822769136541,True,-
SIZE,252,0.9,0.1394614899826092,1.035162117281586,-0.21662637321620493,False,DD
GATE,504,0.5,0.1437056100518348,1.214301447285055,-0.16869621482271768,True,-
SIZE,504,0.1,0.1481905342219163,1.2654576953171728,-0.1289449528326917,True,-
SIZE,504,0.25,0.14705711165622226,1.2350444565582575,-0.14269468497200344,True,-
SIZE,504,0.4,0.1458026862640669,1.1972640022534147,-0.1569111946556382,True,-
SIZE,504,0.5,0.14489906652048856,1.1689262095204385,-0.1670158697826214,True,-
SIZE,504,0.6,0.14394149886744234,1.1387335609926643,-0.17704835572303979,True,-
SIZE,504,0.75,0.14240384611576196,1.0911328381869483,-0.19491071299971707,True,-
SIZE,504,0.9,0.14074442612944282,1.042162048258707,-0.21657637000334817,False,DD
GATE,756,0.5,0.14052528511400708,1.1619459144743294,-0.15111321518579834,True,-
SIZE,756,0.1,0.13713603766920746,1.1338234473679534,-0.17576275571481648,True,-
SIZE,756,0.25,0.13777035138330174,1.1232352327909296,-0.18260426460619084,True,-
SIZE,756,0.4,0.13831406750789865,1.107441701373163,-0.1894221914091182,True,-
SIZE,756,0.5,0.1386259094894149,1.0944277575453694,-0.19395420920698836,True,-
SIZE,756,0.6,0.13889702590174635,1.0797347402188886,-0.19847549929493846,True,-
SIZE,756,0.75,0.13922692346291976,1.055132926839646,-0.205237108590697,False,DD
SIZE,756,0.9,0.13946410395673792,1.0282272559653387,-0.21661391125414353,False,DD
GATE,1008,0.5,0.14272118483423135,1.1878600968794144,-0.15111321518579834,True,-
SIZE,1008,0.1,0.1358736605526032,1.1317065504730621,-0.17373934041356864,True,-
SIZE,1008,0.25,0.13672657231718044,1.1219403646973465,-0.18092834598109864,True,-
SIZE,1008,0.4,0.13748567004894197,1.106696581101358,-0.18808967649857855,True,-
SIZE,1008,0.5,0.13793928862780547,1.09392939943176,-0.1928483516861368,True,-
SIZE,1008,0.6,0.13835071605402316,1.0794106254249527,-0.19759447348475034,True,-
SIZE,1008,0.75,0.13888830144986164,1.0549755273328898,-0.20468990213414628,False,DD
SIZE,1008,0.9,0.1393297939694762,1.0281723482450684,-0.21690569432796902,False,DD
