uni,q,book,arm,frac_pos_full,frac_pos_IS,frac_pos_OOS,frac_priceable,rate_med,dMaxDD_med,dCAGR_med
universe.json(56),0.1,ALL,abs12-dg,1.0,1.0,1.0,1.0,0.5984895350042088,7.740633031859767,4.570008363013556
universe.json(56),0.1,ALL,abs12-rw,0.9,0.675,0.9,0.875,0.6013980614506961,2.532219306165068,1.5269023496582768
universe.json(56),0.1,ALL,band3-dg,1.0,1.0,1.0,1.0,0.4401444294885895,10.422425245989325,4.6098115251569265
universe.json(56),0.1,ALL,band3-rw,1.0,1.0,1.0,1.0,0.2324898736867587,4.541358776619542,1.0747241207847869
universe.json(56),0.1,ALL,ddctl-8/.5/high,1.0,1.0,1.0,1.0,0.7206049799794192,6.91271507542427,4.9777157236601255
universe.json(56),0.1,ALL,ddctl-8/.5/recover,1.0,1.0,1.0,1.0,0.5629111817085268,6.9042675018541,3.8607608441582615
universe.json(56),0.1,ALL,ebud-0.10,0.0,0.0,0.0,0.0,,0.0,0.0
universe.json(56),0.1,ALL,ebud-0.20,0.0,0.0,0.0,0.0,,0.0,0.0
universe.json(56),0.1,ALL,g200-dg,1.0,1.0,1.0,1.0,0.48193756057793713,10.40246722664941,5.078575769448612
universe.json(56),0.1,ALL,g200-rw,1.0,1.0,1.0,1.0,0.5010736755170833,3.661304078824973,1.7591991225823889
universe.json(56),0.1,ALL,stop15,0.45,0.45,0.45,0.25,4.207742132034685,-0.039056001776371904,1.11510293293402
universe.json(56),0.1,ALL,stop25,0.0,0.525,0.0,0.0,,-1.287104179021381,0.40140938431563183
universe.json(56),0.1,ALL,v1gate-dg,1.0,1.0,1.0,1.0,0.5051413200470503,11.525888607552037,6.004392954473181
universe.json(56),0.1,ALL,v1gate-rw,1.0,0.95,1.0,1.0,0.46326226083895106,6.410653919803849,2.894876761799403
universe.json(56),0.1,ALL,vol60-dg,1.0,0.975,1.0,1.0,0.3110151604260176,5.643939107546631,1.727590446212679
universe.json(56),0.1,ALL,vol60-rw,1.0,0.7,1.0,1.0,0.24927790440765457,4.307446414739502,1.0893598063091425
universe.json(56),0.1,TOP10,abs12-dg,0.425,0.7,0.5,0.0,,0.0,0.8650244981605382
universe.json(56),0.1,TOP10,abs12-rw,0.45,0.5,0.4,0.0,,0.0,0.7455942785486225
universe.json(56),0.1,TOP10,band3-dg,1.0,1.0,1.0,1.0,0.298098494123917,1.7360017259332006,0.49802942267695993
universe.json(56),0.1,TOP10,band3-rw,1.0,1.0,1.0,1.0,0.34741254634889385,1.4418125453762753,0.4330697503106329
universe.json(56),0.1,TOP10,ddctl-8/.5/high,1.0,1.0,1.0,1.0,0.6772842397226487,9.858059712745199,6.704689428399768
universe.json(56),0.1,TOP10,ddctl-8/.5/recover,1.0,0.975,1.0,1.0,1.0929901252487184,5.6952332377876225,6.152463473878744
universe.json(56),0.1,TOP10,ebud-0.10,0.975,0.8,0.95,0.925,1.960887576144214,0.9696292261337168,2.0952709000885976
universe.json(56),0.1,TOP10,ebud-0.20,0.45,0.45,0.3,0.075,0.2090135342919316,-1.1102230246251564e-14,0.20151812150031034
universe.json(56),0.1,TOP10,g200-dg,1.0,0.95,1.0,1.0,0.39530525719920506,1.7360017259331895,0.6615787487232017
universe.json(56),0.1,TOP10,g200-rw,1.0,1.0,1.0,1.0,0.41282199405916176,1.44181254537627,0.6429620191302998
universe.json(56),0.1,TOP10,stop15,0.0,0.825,0.0,0.0,,-2.0571146062735357,1.4265403358217799
universe.json(56),0.1,TOP10,stop25,0.0,1.0,0.0,0.0,,-1.9800463012911218,0.2177621310273103
universe.json(56),0.1,TOP10,v1gate-dg,1.0,0.9,1.0,1.0,0.4971641507113074,8.522290438478896,4.228956836661835
universe.json(56),0.1,TOP10,v1gate-rw,1.0,0.875,1.0,1.0,0.6782898643816659,5.440898704044728,3.6182601175895446
universe.json(56),0.1,TOP10,vol60-dg,1.0,0.575,1.0,1.0,0.4387933292426915,8.512993276676479,3.6635280042897955
universe.json(56),0.1,TOP10,vol60-rw,1.0,0.325,1.0,1.0,0.6272898069949553,5.160928269995845,3.0905756467029866
universe.json(56),0.1,TOP20,abs12-dg,0.975,0.35,0.975,0.575,9.29136442835781,0.2055962353095131,2.023481122819515
universe.json(56),0.1,TOP20,abs12-rw,0.225,0.175,0.225,0.05,5.971487760747127,-0.2136737615155426,1.5317763961099407
universe.json(56),0.1,TOP20,band3-dg,1.0,0.975,1.0,1.0,0.4265583753250799,2.780573942213177,1.201237840712155
universe.json(56),0.1,TOP20,band3-rw,1.0,0.775,1.0,1.0,0.3771874982212262,2.8773955130503737,1.035481357149537
universe.json(56),0.1,TOP20,ddctl-8/.5/high,1.0,1.0,1.0,1.0,0.9554946226271201,5.750879695974087,5.402909004951484
universe.json(56),0.1,TOP20,ddctl-8/.5/recover,1.0,1.0,1.0,1.0,0.7054520770492432,5.713341089158996,3.9230892882267003
universe.json(56),0.1,TOP20,ebud-0.10,0.925,0.925,0.925,0.9,0.3593120991886686,0.6520850232890563,0.2863149502896345
universe.json(56),0.1,TOP20,ebud-0.20,0.4,0.4,0.025,0.0,,-5.551115123125782e-15,0.004717109902030401
universe.json(56),0.1,TOP20,g200-dg,1.0,0.875,1.0,1.0,0.5097600102435573,2.8364013419602374,1.4020301933125534
universe.json(56),0.1,TOP20,g200-rw,1.0,0.775,1.0,1.0,0.4737475780639365,2.8817386946666077,1.359369315480785
universe.json(56),0.1,TOP20,stop15,0.1,0.1,0.1,0.075,6.305456504464313,-0.5480347178387301,0.9721003933030881
universe.json(56),0.1,TOP20,stop25,0.0,0.45,0.0,0.0,,-1.5097178239319997,0.20108745579303638
universe.json(56),0.1,TOP20,v1gate-dg,1.0,0.7,1.0,1.0,0.6147958767600776,5.769818421218664,3.560808632100987
universe.json(56),0.1,TOP20,v1gate-rw,1.0,0.25,1.0,1.0,0.8126828355765393,3.792552743202815,3.085626785029316
universe.json(56),0.1,TOP20,vol60-dg,1.0,0.325,1.0,1.0,0.43951714817093146,5.713063688401681,2.450454610828323
universe.json(56),0.1,TOP20,vol60-rw,1.0,0.1,1.0,1.0,0.48443762247479816,3.9376719325296294,1.9417271291107707
universe.json(56),0.1,TOP3,abs12-dg,0.425,0.55,0.025,0.0,,0.0,0.2477682733582731
universe.json(56),0.1,TOP3,abs12-rw,0.5,0.45,0.05,0.0,,5.551115123125782e-15,-0.12852980005355613
