source,defn,panel,n_unres,eta2_lad,eta2_stat,concord_within_ladder,concord_within_stat,lad_wins,cells_differ
1110 COMMITTED,INF_FLOOR,U56,9.0,0.8095238095238095,0.047619047619047616,0.875,0.37499999999999994,True,2
THIS RUN,INF_FLOOR,U56,9.0,0.8095238095238095,0.047619047619047616,0.875,0.37499999999999994,True,2
1110 COMMITTED,INF_FLOOR,B136,9.0,0.5555555555555556,0.047619047619047616,0.7083333333333333,0.37499999999999994,True,0
THIS RUN,INF_FLOOR,B136,9.0,0.5555555555555556,0.047619047619047616,0.7083333333333333,0.37499999999999994,True,0
1110 COMMITTED,NO_TAPE_500,U56,4.0,0.16666666666666666,0.16666666666666666,0.5833333333333333,0.5833333333333334,False,1
THIS RUN,NO_TAPE_500,U56,5.0,0.34545454545454546,0.2,0.625,0.5416666666666666,True,1
1110 COMMITTED,NO_TAPE_500,B136,4.0,0.5,0.16666666666666666,0.75,0.5833333333333333,True,1
THIS RUN,NO_TAPE_500,B136,5.0,0.34545454545454546,0.05454545454545454,0.625,0.4583333333333333,True,1
