arm,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
SPY,0.1419382505874296,0.8633605953916615,-0.3371723528339827,0.8925501359171699,0.8524362653375671,0.15450717694493266,0.8820107671822842,-0.33717235283398284
RULES v2 baseline (clean panel),0.04106218983656684,0.6257498366178957,-0.146846603622946,0.6584335701332974,0.6009079608440427,0.03848481853840191,0.5680478293625534,-0.1468466036229472
EWall (clean panel),0.1121540023129115,0.7359469367233128,-0.36166373582084044,0.9023820827476655,0.6263765560002224,0.10089643214031607,0.6366624355474834,-0.36166373582084055
GATED (clean panel),0.019744060254154983,0.4000813770552195,-0.11919796501094693,0.5575950920064741,0.22925769717379457,0.010488438734623351,0.23420672839122583,-0.11919796501094648
EWall (TREND h=0.08 L=0.50),0.0713324351237365,0.5048165799523959,-0.3913049895074447,0.6989447201337158,0.37226143901013115,0.05225539687874995,0.3776280993769496,-0.39130498950744413
GATED (TREND h=0.08 L=0.50),0.015469778840811391,0.31845413898744274,-0.1296434714613694,0.5119798325755084,0.10309255235505732,0.0051556198573151635,0.1285691710741696,-0.1295371834566498
RULES v2 baseline (TREND h=0.08 L=0.50),0.03515743567071502,0.5440116261115552,-0.14902800241237413,0.5994178712621768,0.49631315430131756,0.030805197071111363,0.4682208699890554,-0.14902800241237496
EWall (UNCOND h=0.08 L=0.50),0.08046030291734663,0.553903141657404,-0.390243499323299,0.716658368659204,0.44723947927087165,0.06544419365674543,0.4453236543696577,-0.3902434993232989
GATED (UNCOND h=0.08 L=0.50),0.006007312835745848,0.14170425656169663,-0.15004982092412472,0.30306709077962074,-0.03982976494430232,-0.0029627768327088653,-0.0375414211324421,-0.14252374271428409
RULES v2 baseline (UNCOND h=0.08 L=0.50),0.025520620307388813,0.4058330776938419,-0.16269841846230723,0.41026382506293707,0.4038250984909661,0.022921881209174228,0.3570455701421104,-0.16087752954251494
