panel,cadence,dial,is_pick,full_argmax,same,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4b_oos,keep4b,keep4a,oos_rank,n_rungs
B136,M,BAND,0.12,0.12,True,0.13858290223262304,1.1391837428589526,-0.2440990917011252,False,False,False,2,7
B136,M,HYST,0,0,True,0.15892392460209437,1.0171499118739928,-0.2610525610883292,False,False,False,4,6
B136,M,MINHOLD,21,21,True,0.1642049183033789,1.0503839191600277,-0.25444047163151695,False,False,False,1,7
B136,M,TOPN,20,5,False,0.15892392460209437,1.0171499118739928,-0.2610525610883292,False,False,False,5,6
B136,W,BAND,0.12,0.12,True,0.13554311623315574,1.148986284608757,-0.21738773120338772,False,False,False,1,7
B136,W,HYST,80,40,False,0.11955246976819356,0.8878692949180165,-0.2063901095490549,False,False,False,5,6
B136,W,MINHOLD,126,42,False,0.12241726736665881,0.8932759348593539,-0.20700786955247974,False,False,False,4,7
B136,W,TOPN,10,ALL,False,0.12817148147168034,0.7854861469505673,-0.21445763823418762,False,False,False,6,6
SMALL,M,BAND,0.16,0.16,True,0.10056623721503177,0.7155745566093262,-0.35469663654982153,False,False,False,1,7
SMALL,M,HYST,80,0,False,0.05378743992684609,0.38354171660801695,-0.3316576979016027,False,False,False,5,6
SMALL,M,MINHOLD,126,126,True,0.061372688501329264,0.4268933231830013,-0.36474202414961476,False,False,False,6,7
SMALL,M,TOPN,ALL,10,False,0.04531802605983026,0.39307273208090104,-0.3933220057828649,False,False,False,4,6
SMALL,W,BAND,0.16,0.16,True,0.09950548066474951,0.7174312773389612,-0.34254952816507034,False,False,False,1,7
SMALL,W,HYST,80,5,False,0.07285928237039574,0.5025878144275474,-0.27918042572258883,False,False,False,5,6
SMALL,W,MINHOLD,126,126,True,0.09693827655828735,0.6423607860677596,-0.28670971331765815,False,False,False,2,7
SMALL,W,TOPN,ALL,10,False,0.0340740884381765,0.31907980790786494,-0.3815919672420838,False,False,False,6,6
U56,M,BAND,0.12,0.12,True,0.1530774031450881,1.250641858514564,-0.21072137708797978,False,False,False,2,7
U56,M,HYST,40,0,False,0.13182504288482688,1.1401189170717265,-0.14520201837982527,True,True,False,4,6
U56,M,MINHOLD,126,21,False,0.15777043412171987,1.260000208610721,-0.19048722109630678,True,True,False,6,7
U56,M,TOPN,5,20,False,0.16184529047432172,0.8473338352713933,-0.27242453500135344,False,False,False,6,6
U56,W,BAND,0.12,0.12,True,0.15026019085945164,1.258148567486716,-0.19419354488227647,True,True,False,1,7
U56,W,HYST,40,40,True,0.13024939323507523,1.1964416693381699,-0.12794131626579652,True,True,False,3,6
U56,W,MINHOLD,42,42,True,0.14420422222451412,1.1826599255508543,-0.17331223000235974,True,True,False,2,7
U56,W,TOPN,20,40,False,0.1425758567842612,1.1592041107125453,-0.18308342134137834,True,True,False,3,6
