split,panelset,dialset,Delta,n_dis,n_cells,cad_dis,cad_cells,ordering,pooled_dis,pooled_cells
CAL,B12,B,0.5,7,12,1,12,B-like (n>cadence),12,60
CAL,B12,C,-0.4166666666666667,1,12,6,12,cloud-like (cadence>n),17,72
CAL,CLOUD3,B,0.6666666666666666,2,3,0,3,B-like (n>cadence),2,15
CAL,CLOUD3,C,-0.3333333333333333,0,3,1,3,cloud-like (cadence>n),4,18
MID,B12,B,0.5833333333333333,8,12,1,12,B-like (n>cadence),12,60
MID,B12,C,-0.33333333333333337,2,12,6,12,cloud-like (cadence>n),21,72
MID,CLOUD3,B,0.6666666666666666,2,3,0,3,B-like (n>cadence),2,15
MID,CLOUD3,C,-0.3333333333333333,1,3,2,3,cloud-like (cadence>n),7,18
