panel,dial,chooser,n_rungs,mono,direction,mono_score,rho,pick_i,pick,endpoint,ties,spread
U56,D_GROSS,C_ISSHARPE,33,True,up,1.0,1.0,32,1.0,True,1,0.0021270317068746714
U56,D_GROSS,C_ISCAGR,33,True,up,1.0,1.0,32,1.0,True,1,0.14892700731082487
U56,D_GROSS,C_ISDD,33,True,down,1.0,-1.0,0,0.2,True,1,0.14600874910655426
U56,D_GROSS,C_ISMAR,33,True,up,1.0,1.0,32,1.0,True,1,0.04137194308488279
U56,D_GROSS,C_IS4B,33,False,none,0.53125,0.37165775401069523,17,0.625,False,1,0.7542259652838496
U56,D_N,C_ISSHARPE,11,False,none,0.6,0.018181818181818184,0,3,True,1,0.16170970072570334
U56,D_N,C_ISCAGR,11,False,none,0.8,-0.9454545454545454,0,3,True,1,0.123674719416075
U56,D_N,C_ISDD,11,False,none,0.7,0.9090909090909091,9,40,False,1,0.24029041041648724
U56,D_N,C_ISMAR,11,False,none,0.5,0.6272727272727273,9,40,False,1,0.34784141591052387
U56,D_N,C_IS4B,11,False,none,0.7,0.9090909090909091,9,40,False,1,1.8152706769803522
U56,D_HOLD,C_ISSHARPE,9,False,none,0.625,0.7666666666666667,7,189,False,1,0.2617238041485076
U56,D_HOLD,C_ISCAGR,9,False,none,0.625,0.9,7,189,False,1,0.04327145055638759
U56,D_HOLD,C_ISDD,9,False,none,0.625,-0.8666666666666667,1,10,False,1,0.04689791841162494
U56,D_HOLD,C_ISMAR,9,False,none,0.625,0.11666666666666665,7,189,False,1,0.28863904844225663
U56,D_HOLD,C_IS4B,9,False,none,0.625,-0.8666666666666667,1,10,False,1,0.32568585426346414
U56,D_CADENCE,C_ISSHARPE,6,False,none,0.6,-0.2571428571428572,2,2W,False,1,0.09851802887829453
U56,D_CADENCE,C_ISCAGR,6,False,none,0.6,-0.7142857142857143,2,2W,False,1,0.014807138699133526
U56,D_CADENCE,C_ISDD,6,False,none,0.8,-0.8285714285714287,0,D,True,1,0.0424718340352116
U56,D_CADENCE,C_ISMAR,6,False,none,0.8,-0.8285714285714287,2,2W,False,1,0.27612352767546944
U56,D_CADENCE,C_IS4B,6,False,none,0.8,-0.8285714285714287,0,D,True,1,0.3208528995729151
U56,D_MAXVOL,C_ISSHARPE,7,False,none,0.8333333333333334,-0.14285714285714288,0,0.3,True,1,0.16471897883951625
U56,D_MAXVOL,C_ISCAGR,7,False,none,0.5,0.5,6,2.0,True,1,0.011927541240504436
U56,D_MAXVOL,C_ISDD,7,False,none,0.8333333333333334,-0.4642857142857144,0,0.3,True,1,0.03386908420684254
U56,D_MAXVOL,C_ISMAR,7,False,none,0.8333333333333334,-0.3214285714285715,0,0.3,True,1,0.3037217075171744
U56,D_MAXVOL,C_IS4B,7,False,none,0.8333333333333334,-0.4642857142857144,0,0.3,True,1,0.2558635415799395
B136,D_GROSS,C_ISSHARPE,33,True,up,1.0,1.0,32,1.0,True,1,0.0057296508854565165
B136,D_GROSS,C_ISCAGR,33,True,up,1.0,1.0,32,1.0,True,1,0.17261930821620597
B136,D_GROSS,C_ISDD,33,True,down,1.0,-1.0,0,0.2,True,1,0.15339981580455175
B136,D_GROSS,C_ISMAR,33,True,up,1.0,1.0,32,1.0,True,1,0.04994278364710225
B136,D_GROSS,C_IS4B,33,False,none,0.53125,0.09792780748663102,15,0.575,False,1,0.7427550333727538
B136,D_N,C_ISSHARPE,11,False,none,0.5,-0.6818181818181819,2,8,False,1,0.1870058979110616
B136,D_N,C_ISCAGR,11,False,none,0.9,-0.9727272727272729,0,3,True,1,0.13037117293001277
B136,D_N,C_ISDD,11,False,none,0.9,0.9727272727272729,8,30,False,1,0.14515191251088722
B136,D_N,C_ISMAR,11,False,none,0.6,0.790909090909091,7,25,False,1,0.28474755675421004
B136,D_N,C_IS4B,11,False,none,0.9,0.9727272727272729,8,30,False,1,1.0967262806358384
B136,D_HOLD,C_ISSHARPE,9,False,none,0.625,-0.25,4,63,False,1,0.1386830340018692
B136,D_HOLD,C_ISCAGR,9,False,none,0.5,-0.08333333333333334,4,63,False,1,0.03021262653413692
B136,D_HOLD,C_ISDD,9,False,none,0.75,-0.9333333333333332,1,10,False,1,0.03573496414015309
B136,D_HOLD,C_ISMAR,9,False,none,0.625,-0.5333333333333333,2,21,False,1,0.3647468577902019
B136,D_HOLD,C_IS4B,9,False,none,0.75,-0.9333333333333332,1,10,False,1,0.27000315484748144
B136,D_CADENCE,C_ISSHARPE,6,False,none,0.6,-0.3714285714285715,4,2M,False,1,0.19071108802721293
B136,D_CADENCE,C_ISCAGR,6,False,none,0.6,-0.3714285714285715,4,2M,False,1,0.036794122180735744
B136,D_CADENCE,C_ISDD,6,False,none,0.8,-0.942857142857143,0,D,True,1,0.0412505722271449
B136,D_CADENCE,C_ISMAR,6,False,none,0.8,-0.8285714285714287,0,D,True,1,0.30860479843756106
B136,D_CADENCE,C_IS4B,6,False,none,0.8,-0.942857142857143,0,D,True,1,0.3116775099286641
B136,D_MAXVOL,C_ISSHARPE,7,False,none,0.5,-0.8468812149338255,0,0.3,True,1,0.16127191742936886
B136,D_MAXVOL,C_ISCAGR,7,False,none,0.5,-0.23424374030084535,1,0.4,False,1,0.010132060048983371
B136,D_MAXVOL,C_ISDD,7,False,none,0.5,-0.8468812149338255,0,0.3,True,1,0.02916709414583385
B136,D_MAXVOL,C_ISMAR,7,False,none,0.5,-0.8468812149338255,0,0.3,True,1,0.2587420399416156
B136,D_MAXVOL,C_IS4B,7,False,none,0.5,-0.8468812149338255,0,0.3,True,1,0.22037821015356163
