family,books,POINT_4b,POINT_4a,FAMILY_4b_m1.00,FAMILY_4b_pct_m1.00,FAMILY_4a_m1.00,FAMILY_4b_m1.30,FAMILY_4b_pct_m1.30,FAMILY_4a_m1.30
PURE,72,4,25,13,0.18055555555555555,45,16,0.2222222222222222,45
ABS,72,1,26,10,0.1388888888888889,48,17,0.2361111111111111,48
REL-M,72,1,26,10,0.1388888888888889,47,16,0.2222222222222222,47
REL-V,360,10,125,41,0.11388888888888889,234,66,0.18333333333333332,235
