panel,char,flavour,level,seed,n_from_B,n_from_S,cvol,mrho,beta,tpers,plevel,breadth,reach_lo,reach_hi,feasible,bandwidth,n_pool
cvol~POOL~L0.247206~0,cvol,POOL,0.247206,0,25,11,0.29984966534935575,0.32192956523962124,0.9317296791327899,0.9650169698992932,1.658372320684676,0.6445252477083664,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.247206~1,cvol,POOL,0.247206,1,26,10,0.2857685813023986,0.32627929672919626,0.9162685440113147,0.9635472760907344,1.722495455167778,0.6574638985520076,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.247206~2,cvol,POOL,0.247206,2,21,15,0.2996869575812998,0.325287035703627,0.9184357645593283,0.9653539475791243,1.6333959469068031,0.6339620280418059,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.247206~3,cvol,POOL,0.247206,3,14,22,0.3372795860939332,0.267419248234043,0.9019233412909854,0.9643675173495728,1.580149301411646,0.611396926237565,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.247206~4,cvol,POOL,0.247206,4,21,15,0.3168939864504116,0.30410066221630544,0.9461067477932074,0.9640478331654714,1.6449069399597596,0.6264458875268436,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.247206~5,cvol,POOL,0.247206,5,21,15,0.293941284541594,0.3003534364113826,0.8744595453066725,0.9622189266362126,1.6465248039719385,0.6419133954646873,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.378049~0,cvol,POOL,0.378049,0,10,26,0.3914832163632993,0.23621296624955326,0.9717756099299985,0.9622294921551305,1.404174573077089,0.5657537675310675,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.378049~1,cvol,POOL,0.378049,1,11,25,0.3919156779494672,0.24372580203377944,0.9714685285125735,0.9616062440939357,1.464738858681251,0.5857036797636291,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.378049~2,cvol,POOL,0.378049,2,9,27,0.40815106139094126,0.21083751866310482,0.9608025483342052,0.9650337563442678,1.4336977181355102,0.5749650735767943,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.378049~3,cvol,POOL,0.378049,3,8,28,0.39012933720891585,0.2526664846844343,0.9935837130829844,0.9663948550805416,1.5168693369152182,0.5643898372143369,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.378049~4,cvol,POOL,0.378049,4,13,23,0.4121640869813353,0.2470062152925163,1.0765246484784503,0.9629725354260597,1.3993520543293305,0.5793051631784399,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.378049~5,cvol,POOL,0.378049,5,7,29,0.40197426996956925,0.2821117880963243,1.0785667420172493,0.965569801504837,1.4577888853241692,0.5502199939138548,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.472186~0,cvol,POOL,0.472186,0,4,32,0.45291723317003957,0.22690637745582717,1.0682000564758798,0.9635927708336448,1.2894722509322063,0.5203486196292401,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.472186~1,cvol,POOL,0.472186,1,5,31,0.47317072948224875,0.1911031135625174,1.008869756878075,0.9634397197401174,1.2150242466125318,0.506223682571442,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.472186~2,cvol,POOL,0.472186,2,5,31,0.4666687536982518,0.2216498856286057,1.1349082352590256,0.9670200620022921,1.3539559459931274,0.5168301086077777,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.472186~3,cvol,POOL,0.472186,3,1,35,0.47931588087664245,0.196068656097284,1.0423734717453896,0.9657183967362573,1.2675486319338019,0.5167943410743959,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.472186~4,cvol,POOL,0.472186,4,4,32,0.4352390982252261,0.23426053090414234,1.0700352454424156,0.9622417824025741,1.2540989639824969,0.5389731053136766,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.472186~5,cvol,POOL,0.472186,5,4,32,0.47609741123143234,0.19719855048576784,1.0273237414098662,0.9621366491323182,1.2342494022574815,0.5126714310071978,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.571754~0,cvol,POOL,0.571754,0,3,33,0.5160614378975743,0.18379462230411678,1.0994706525397167,0.9654683476417597,1.2414010045712842,0.49200183660984187,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.571754~1,cvol,POOL,0.571754,1,2,34,0.559812188073026,0.16951863709078915,1.1084420699122108,0.9634867929533262,1.2047809849510658,0.4570151552723718,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.571754~2,cvol,POOL,0.571754,2,0,36,0.5498318020313016,0.1875792283794263,1.1435062393847824,0.9651680570057081,1.2676116868158909,0.44973902949875555,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.571754~3,cvol,POOL,0.571754,3,2,34,0.5523119101637592,0.19101166105231213,1.1730632238044467,0.9639858899688277,1.1173338030753246,0.48923251218617625,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.571754~4,cvol,POOL,0.571754,4,1,35,0.5374286975486188,0.2023274805877271,1.1652073344305496,0.9636253626096628,1.132931713853039,0.4598106974595384,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.571754~5,cvol,POOL,0.571754,5,0,36,0.5398681509913179,0.17711212503394386,1.0629763289817107,0.9684831131751701,1.1970810549570787,0.479703249474325,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.763602~0,cvol,POOL,0.763602,0,0,36,0.7012478490757976,0.15810789465270828,1.2182211079603569,0.9672101275170514,1.0497803574872417,0.41114608561211496,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.763602~1,cvol,POOL,0.763602,1,0,36,0.7091533348182453,0.14937935847377676,1.173912663987381,0.9676985810901524,1.0478789530641253,0.3913081295658531,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.763602~2,cvol,POOL,0.763602,2,0,36,0.697422716549239,0.15794274887313312,1.1758871615547428,0.9642818382845432,1.1719170034268136,0.42618966134380504,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.763602~3,cvol,POOL,0.763602,3,1,35,0.7117941425778598,0.1598160453917852,1.2007582436373998,0.9705918508759785,1.136977605919289,0.4064381460949008,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.763602~4,cvol,POOL,0.763602,4,0,36,0.714384871258708,0.1361275401948527,1.2148770813191527,0.9646891912856249,1.0848043354187884,0.41263434774627084,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.763602~5,cvol,POOL,0.763602,5,0,36,0.7435440072943408,0.13589993370158343,1.1092020567188432,0.9692578695708709,1.0406732646383474,0.3977378375290134,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~BONLY~L0.247206~0,cvol,BONLY,0.247206,0,36,0,0.2528684004604275,0.39232549940920625,0.8973789958501123,0.9665609525399209,1.8190055281767532,0.687324484713612,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.247206~1,cvol,BONLY,0.247206,1,36,0,0.2534551331266668,0.35996357190148603,0.8566147828417963,0.9662307994642839,1.7914186019822758,0.6683634266772994,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
cvol~BONLY~L0.247206~2,cvol,BONLY,0.247206,2,36,0,0.24238353662614687,0.37168121220442835,0.8685504876416034,0.9662889814316349,1.785759039081692,0.6993140238133085,0.16513077712349494,0.401166002636668,True,0.10533369599366507,134
