panel,anchor,monotone_oos,n_decisive_steps,n_steps,argmax_H_oos,argmax_interior,top_gap,top_gap_SE,top_gap_over_SE,top_decisive,argmax_H_is,spread_oos,spread_is,spread_oos_1260,interp126_252_between,interp126_252_whole,interp126_252_half1,interp126_252_half2,interp126_252_same_sign,interp63_21_between,interp63_21_whole,interp63_21_half1,interp63_21_half2,interp63_21_same_sign,S_oos_by_H,S_is_by_H
U56,A,False,0,6,252,True,0.02759828132076847,0.09175938013348393,0.30076795724448857,False,378,0.1619809565240149,0.4005158888858882,0.09006740351317766,False,0.02759828132076847,-0.11632073594893622,0.14391901726970469,False,True,0.011893333579477972,0.005369956092086792,0.00652337748739118,True,"{21: 1.1184, 42: 1.1119, 63: 1.1065, 126: 1.169, 189: 1.0527, 252: 1.1966, 378: 1.0346}","{21: 1.1221, 42: 1.0183, 63: 1.1097, 126: 1.1122, 189: 1.2461, 252: 1.1318, 378: 1.4189}"
U56,B,False,0,6,378,False,0.09811420980347085,0.15441826674507117,0.6353795562635567,False,378,0.3068496176651022,0.3946332469670073,0.05425840360265877,False,-0.005535225057072379,-0.20873540786163136,0.20320018280455898,False,True,0.0505857989773284,0.04080897299842556,0.009776825978902837,True,"{21: 1.0729, 42: 1.0631, 63: 1.0223, 126: 1.0765, 189: 0.8678, 252: 1.071, 378: 1.1746}","{21: 1.1151, 42: 1.1983, 63: 1.0958, 126: 1.1294, 189: 1.2253, 252: 1.1517, 378: 1.4904}"
B135,A,False,0,6,252,True,0.029648062075898762,0.13080676500756747,0.22665541858009833,False,378,0.10898961527178719,0.10877957226633206,0.051560185917174706,True,0.03755904003527277,0.00791097795937401,0.029648062075898762,True,False,0.0005752286692086717,-0.02561560994495915,0.026190838614167822,False,"{21: 0.9968, 42: 0.9706, 63: 0.9962, 126: 1.0102, 189: 1.0182, 252: 1.0478, 378: 0.9388}","{21: 1.2115, 42: 1.1562, 63: 1.2161, 126: 1.1445, 189: 1.1118, 252: 1.1158, 378: 1.2206}"
B135,B,False,2,6,126,True,0.023926714497862767,0.16051460614191412,0.14906253750333903,False,42,0.34250491784247383,0.46404468001412913,0.34250491784247383,False,-0.2135463087261975,-0.3070331256399178,0.0934868169137203,False,True,0.1890000061719117,0.11528409581889065,0.07371591035302105,True,"{21: 0.9224, 42: 0.8487, 63: 0.7334, 126: 1.0759, 189: 0.7689, 252: 0.8624, 378: 1.052}","{21: 1.2587, 42: 1.4615, 63: 1.2868, 126: 1.1327, 189: 1.0828, 252: 0.9975, 378: 1.2469}"
SMALL663,A,False,0,6,252,True,0.023011759042073754,0.1574627553137059,0.14614096518397934,False,252,0.2751003978086693,0.568027479039825,0.23233773239011085,True,0.21431266260132936,0.1913009035592556,0.023011759042073754,True,False,-0.026242576684971763,-0.0690052421035302,0.04276266541855844,False,"{21: 0.4354, 42: 0.3926, 63: 0.4616, 126: 0.4534, 189: 0.6447, 252: 0.6677, 378: 0.6327}","{21: 0.7181, 42: 0.8565, 63: 0.796, 126: 0.6117, 189: 0.6375, 252: 0.9836, 378: 0.4156}"
SMALL663,B,False,0,6,42,True,0.0006890094880882547,0.26387550959123646,0.002611115708144282,False,21,0.3346974601434182,0.5015168530950894,0.33400845065532997,True,0.33400845065532997,0.24384337441966725,0.09016507623566272,True,False,0.1519911737773833,0.33436763888798743,-0.18237646511060412,False,"{21: 0.5181, 42: 0.7005, 63: 0.3661, 126: 0.3658, 189: 0.6096, 252: 0.6998, 378: 0.3767}","{21: 0.9607, 42: 0.9091, 63: 0.7324, 126: 0.7184, 189: 0.6162, 252: 0.6031, 378: 0.4592}"
