panel,N,pool,base_K,base_rate,best_stat,top_k,n_top,lift,hyper_p,n_sig,n_stats
U56,20,56,42,0.0875,IS_CAGRSLACK,25,48,0.43333333333333335,9.085997633494865e-18,4,4
U56,40,56,0,0.0,IS_SHARPE,0,48,0.0,1.0,0,4
B136,20,136,12,0.025,IS_CAGRSLACK,10,48,0.18333333333333335,2.2758948180380554e-09,3,4
B136,40,136,0,0.0,IS_SHARPE,0,48,0.0,1.0,0,4
SMALL665,20,665,0,0.0,IS_SHARPE,0,48,0.0,1.0,0,4
SMALL665,40,665,0,0.0,IS_SHARPE,0,48,0.0,1.0,0,4
