H,N,n,rho_K,rho_etf,rho_gp,rho_rbar,rho_ovl
5,5,21,-0.29541957835039856,-0.09435713616175756,-0.45454545454545453,-0.2038961038961039,-0.08813615330166331
5,10,21,-0.25849213105659874,0.24225023610323573,-0.2311688311688312,-0.2532467532467532,0.2966373517839564
5,20,21,-0.14770978917519928,0.11108712484292024,-0.2701298701298701,-0.44285714285714284,0.15654033198355127
5,40,21,-0.14770978917519928,0.0997107325397296,-0.2922077922077922,-0.5116883116883117,0.12168051015528145
21,5,21,-0.25849213105659874,0.08298074385856692,-0.007792207792207793,-0.014285714285714285,0.12760010254121407
21,10,21,-0.11078234188139946,0.4657628848835692,0.1987012987012987,0.05844155844155843,0.4886952380831033
21,20,21,-0.14770978917519928,0.46040928850559715,0.06753246753246753,0.08571428571428572,0.48803750559577747
21,40,21,-0.3692744729379982,0.5935799984076521,0.125974025974026,-0.04285714285714286,0.6465510350413063
126,5,21,-0.3692744729379982,-0.026767981889860296,-0.37922077922077924,0.10259740259740259,-0.08616295583968579
126,10,21,0.07385489458759964,0.3580217577768815,0.04805194805194805,0.07142857142857142,0.29137549188534967
126,20,21,-0.03692744729379982,0.4082117238203695,-0.12207792207792208,-0.16233766233766234,0.41371373452795696
126,40,21,-0.22156468376279892,0.48450047220647147,-0.1948051948051948,-0.005194805194805195,0.4321302441730806
