k,q,S2,S2sd,breadth,Ebar
20,0.0,1.0,0.0,0.678389490573606,13.567789811472123
20,0.25,1.0,,0.5723325310870437,11.446650621740874
20,0.5,,,0.5271058965102287,10.542117930204574
20,0.75,,,0.4168572001604493,8.337144003208985
20,1.0,,,0.355736060970718,7.11472121941436
40,0.0,0.887224108980002,0.010954857743611627,0.673089651022864,26.92358604091456
40,0.25,0.9067485267868035,0.01128653437050108,0.5850832330525472,23.403329322101886
40,0.5,0.9321349685418925,0.01222976354801175,0.4953920978740473,19.81568391496189
40,0.75,0.9460128027981608,0.008779476506745385,0.4365724027276374,17.462896109105497
40,1.0,0.9731979083831832,0.0029629662971889068,0.3289259927797834,13.157039711191336
80,0.0,0.7312426627907116,0.004838245818082566,0.682423285198556,54.59386281588448
80,0.25,0.7273295136690164,0.012195415564963159,0.5801870236662655,46.414961893301246
80,0.5,0.731153763182407,0.025818365655405726,0.49391546329723224,39.51323706377858
80,0.75,0.7701431130331161,0.017780809004436127,0.40732049739269954,32.585639791415964
80,1.0,0.8701160755512599,0.01060486516059354,0.3327441837144003,26.619534697152023
120,0.0,0.6081340106353034,0.007515704627159412,0.6841439363551277,82.09727236261533
120,0.25,0.6038638428446562,0.009910106303004372,0.5912906137184116,70.95487364620938
120,0.5,0.6142923303019677,0.015506160779829019,0.5010362347907474,60.12434817488969
120,0.75,0.6433040837856613,0.015638258959150872,0.4118080625752106,49.41696750902528
120,1.0,0.7857399956297928,0.011326902969328582,0.3161134509961225,37.933614119534695
