panel,mode,level,gross,cost,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,turn_x_yr,pass4a,pass4b
U56,FRESH,0.0,0.5,10.0,0.057318688266432716,1.2021756620970414,-0.0811756817275272,1.2301991849376146,1.1804279092305687,1.1036528463822053,0.05062237603806197,-0.05290197155849474,1.2793935223452508,0.06287235086848719,-0.08117568172752743,1.1957579077547758,False,False
U56,FRESH,0.0,0.75,10.0,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,1.1042576843073322,0.0760941827405992,-0.07887454899605384,1.278836537597142,0.09481988847882761,-0.12054946142590717,1.7749433117431328,False,False
U56,FRESH,0.0,1.0,10.0,0.11549306649149793,1.201962646517694,-0.15910992176170924,1.2313933323690813,1.1790707777932452,1.1047294762116384,0.10162941556089145,-0.10452278472965848,1.2781300700732343,0.12705574482766524,-0.15910992176170924,2.3538002399963984,False,True
U56,DRIFT,0.0,0.5,10.0,0.057318688266432716,1.2021756620970414,-0.0811756817275272,1.2301991849376146,1.1804279092305687,1.1036528463822053,0.05062237603806197,-0.05290197155849474,1.2793935223452508,0.06287235086848719,-0.08117568172752743,1.1957579077547758,False,False
U56,DRIFT,0.0,0.75,10.0,0.08631725018912006,1.202140097248246,-0.12054946142590728,1.2308642154162701,1.1798211368254472,1.1042576843073322,0.0760941827405992,-0.07887454899605384,1.278836537597142,0.09481988847882761,-0.12054946142590717,1.7749433117431328,False,False
U56,DRIFT,0.0,1.0,10.0,0.11549306649149793,1.201962646517694,-0.15910992176170924,1.2313933323690813,1.1790707777932452,1.1047294762116384,0.10162941556089145,-0.10452278472965848,1.2781300700732343,0.12705574482766524,-0.15910992176170924,2.3538002399963984,False,True
U56,DRIFT,1.0,0.5,10.0,0.05709706863682418,1.1891058838191693,-0.08223059734346294,1.2253503848900704,1.160082022620235,1.1010283323947778,0.05086838519874837,-0.05269443491995918,1.2581914011238173,0.06226080749949103,-0.08223059734346316,1.2101755085037245,False,False
U56,DRIFT,1.0,0.75,10.0,0.0859724109193849,1.189166218492293,-0.12210949606731436,1.2261314292769696,1.1595593473440047,1.1017632905130124,0.07647234431680983,-0.07856731615342838,1.2577083607492376,0.09386890294489802,-0.12210949606731414,1.7957914498895609,False,False
U56,DRIFT,1.0,1.0,10.0,0.11501638675847059,1.189084230801231,-0.16115931953108575,1.2267778718150886,1.1588916457100416,1.1023667033637607,0.10214587483325088,-0.10411871949250007,1.257074100305008,0.12574199011334608,-0.16115931953108542,2.380575796045405,False,True
U56,DRIFT,2.0,0.5,10.0,0.05728948401238432,1.1716904809237547,-0.08432581619907864,1.224596014130436,1.1281879574483455,1.1035595280570087,0.05188382422570803,-0.05576494172506796,1.2252360204158181,0.06176771225558886,-0.08432581619907842,1.2241094311781275,False,False
U56,DRIFT,2.0,0.75,10.0,0.08625791305797836,1.172046099517327,-0.12480792409826236,1.2255846379659185,1.128038847568292,1.1045323057506757,0.07802797770883174,-0.08301095290132043,1.225105717758752,0.09309130120820197,-0.12480792409826247,1.8151319513220592,False,False
U56,DRIFT,2.0,1.0,10.0,0.11539207812314389,1.172260281151067,-0.16418761790228975,1.226441529244311,1.1277440543910888,1.1053768149272218,0.10426318084784958,-0.10983243136716492,1.224823587192789,0.12465293804126376,-0.1641876179022892,2.40431776438711,False,True
U56,DRIFT,5.0,0.5,10.0,0.05795281282836484,1.1619786862098014,-0.09803481007848414,1.1893862678111902,1.1416745905563812,1.0707604474875625,0.051151267309357484,-0.06041304450822005,1.233212555406843,0.06359424729120766,-0.09803481007848391,1.2240592007305298,False,False
