corpus,dial,mode,mode_share,n_books,distinct,incumbent,mode_is_incumbent
A,GROSS,1.0,0.9433962264150944,53,4,0.75,False
A,N,20,0.22641509433962265,53,10,20,True
A,BAND,0.08,0.8113207547169812,53,5,0.0,False
A,CADENCE,M,0.8301886792452831,53,4,W,False
A,SLEEVE,0.3,1.0,53,1,0.0,False
B,GROSS,1.0,0.8434782608695652,115,7,0.75,False
B,N,15,0.23478260869565218,115,10,20,False
B,BAND,0.08,0.6869565217391305,115,5,0.0,False
B,CADENCE,M,0.8869565217391304,115,3,W,False
B,SLEEVE,0.3,0.8782608695652174,115,3,0.0,False
