threshold,IS_accuracy,OOS_accuracy
0.05,0.5428571428571428,0.5142857142857142
0.1,0.6,0.6285714285714286
0.15,0.5142857142857142,0.6571428571428571
0.2,0.5428571428571428,0.7428571428571429
0.25,0.5428571428571428,0.7428571428571429
0.3,0.5428571428571428,0.7428571428571429
0.35,0.6285714285714286,0.7714285714285715
0.4,0.6285714285714286,0.7714285714285715
0.45,0.6285714285714286,0.7714285714285715
0.5,0.6,0.7428571428571429
0.55,0.6571428571428571,0.7428571428571429
0.6,0.6571428571428571,0.7428571428571429
0.65,0.6571428571428571,0.7428571428571429
0.7,0.6571428571428571,0.7428571428571429
0.75,0.6,0.6857142857142857
0.8,0.5714285714285714,0.6
0.85,0.5714285714285714,0.6
0.9,0.5714285714285714,0.6
0.95,0.5714285714285714,0.6
1.0,0.5714285714285714,0.6
