reading,panel,inst,d,book,conv,bps,hstar,edge0,edge_max
A,SMALL439,DV,1,EWALL,rw,0,,-0.1789056114023389,-0.11522660794449052
A,SMALL439,DV,1,EWALL,rw,5,,-0.18020050793785847,-0.11652045423676788
A,SMALL439,DV,1,EWALL,rw,10,,-0.1814954264299216,-0.1178143302546159
A,SMALL439,DV,1,EWALL,rw,25,,-0.1853802469157943,-0.1216960699465593
A,SMALL439,DV,1,EWALL,dg,0,,-0.1789056114023389,-0.11522660794449052
A,SMALL439,DV,1,EWALL,dg,5,,-0.18020050793785847,-0.11652045423676788
A,SMALL439,DV,1,EWALL,dg,10,,-0.1814954264299216,-0.1178143302546159
A,SMALL439,DV,1,EWALL,dg,25,,-0.1853802469157943,-0.1216960699465593
A,SMALL439,DV,1,MA200,rw,0,,-0.17191052603420398,-0.11952709266354089
A,SMALL439,DV,1,MA200,rw,5,,-0.17187121619778595,-0.11949277292430827
A,SMALL439,DV,1,MA200,rw,10,,-0.17183047284938113,-0.11945838937283809
A,SMALL439,DV,1,MA200,rw,25,,-0.17170006269711818,-0.11935526170455438
A,SMALL439,DV,1,MA200,dg,0,,-0.22219301894959415,-0.16534136458831794
A,SMALL439,DV,1,MA200,dg,5,,-0.22249710989349597,-0.1656414112535296
A,SMALL439,DV,1,MA200,dg,10,,-0.22279862691145785,-0.16593951861517653
A,SMALL439,DV,1,MA200,dg,25,,-0.22368738104395752,-0.16682185477235456
A,SMALL439,DV,2,EWALL,rw,0,,-0.1789056114023389,-0.08060838001117504
A,SMALL439,DV,2,EWALL,rw,5,,-0.18020050793785847,-0.08190128641200789
A,SMALL439,DV,2,EWALL,rw,10,,-0.1814954264299216,-0.08319421014298056
A,SMALL439,DV,2,EWALL,rw,25,,-0.1853802469157943,-0.08707301860826758
A,SMALL439,DV,2,EWALL,dg,0,,-0.1789056114023389,-0.08060838001117504
A,SMALL439,DV,2,EWALL,dg,5,,-0.18020050793785847,-0.08190128641200789
A,SMALL439,DV,2,EWALL,dg,10,,-0.1814954264299216,-0.08319421014298056
A,SMALL439,DV,2,EWALL,dg,25,,-0.1853802469157943,-0.08707301860826758
A,SMALL439,DV,2,MA200,rw,0,,-0.17191052603420398,-0.08559757608165125
A,SMALL439,DV,2,MA200,rw,5,,-0.17187121619778595,-0.08556939575624711
A,SMALL439,DV,2,MA200,rw,10,,-0.17183047284938113,-0.08554206378955817
A,SMALL439,DV,2,MA200,rw,25,,-0.17170006269711818,-0.08546554630390363
A,SMALL439,DV,2,MA200,dg,0,,-0.22219301894959415,-0.12964844674449363
A,SMALL439,DV,2,MA200,dg,5,,-0.22249710989349597,-0.1299450100541238
A,SMALL439,DV,2,MA200,dg,10,,-0.22279862691145785,-0.13024001057683454
A,SMALL439,DV,2,MA200,dg,25,,-0.22368738104395752,-0.13111528830058153
A,SMALL439,DV,3,EWALL,rw,0,,-0.1789056114023389,-0.10260800963026828
A,SMALL439,DV,3,EWALL,rw,5,,-0.18020050793785847,-0.10390207080906413
A,SMALL439,DV,3,EWALL,rw,10,,-0.1814954264299216,-0.10519613823842083
A,SMALL439,DV,3,EWALL,rw,25,,-0.1853802469157943,-0.09669484407539775
A,SMALL439,DV,3,EWALL,dg,0,,-0.1789056114023389,-0.10260800963026828
A,SMALL439,DV,3,EWALL,dg,5,,-0.18020050793785847,-0.10390207080906413
A,SMALL439,DV,3,EWALL,dg,10,,-0.1814954264299216,-0.10519613823842083
A,SMALL439,DV,3,EWALL,dg,25,,-0.1853802469157943,-0.09669484407539775
A,SMALL439,DV,3,MA200,rw,0,,-0.17191052603420398,-0.05803372268202603
A,SMALL439,DV,3,MA200,rw,5,,-0.17187121619778595,-0.058012087951024346
A,SMALL439,DV,3,MA200,rw,10,,-0.17183047284938113,-0.0579920627510751
A,SMALL439,DV,3,MA200,rw,25,,-0.17170006269711818,-0.05794201424777826
A,SMALL439,DV,3,MA200,dg,0,,-0.22219301894959415,-0.10256309850675556
A,SMALL439,DV,3,MA200,dg,5,,-0.22249710989349597,-0.1028577479341222
A,SMALL439,DV,3,MA200,dg,10,,-0.22279862691145785,-0.10315109704484232
A,SMALL439,DV,3,MA200,dg,25,,-0.22368738104395752,-0.10402299686271202
A,SMALL439,PXL,1,EWALL,rw,0,,-0.31278896690272906,-0.16136277617657596
A,SMALL439,PXL,1,EWALL,rw,5,,-0.3135458659253542,-0.1621176868333557
A,SMALL439,PXL,1,EWALL,rw,10,,-0.3143026818909001,-0.16287258434955515
A,SMALL439,PXL,1,EWALL,rw,25,,-0.3165725915638112,-0.1651371582319595
A,SMALL439,PXL,1,EWALL,dg,0,,-0.31278896690272906,-0.16136277617657596
A,SMALL439,PXL,1,EWALL,dg,5,,-0.3135458659253542,-0.1621176868333557
A,SMALL439,PXL,1,EWALL,dg,10,,-0.3143026818909001,-0.16287258434955515
A,SMALL439,PXL,1,EWALL,dg,25,,-0.3165725915638112,-0.1651371582319595
A,SMALL439,PXL,1,MA200,rw,0,,-0.2735632026448836,-0.1478215724022029
A,SMALL439,PXL,1,MA200,rw,5,,-0.27465001535919764,-0.14891323342737534
A,SMALL439,PXL,1,MA200,rw,10,,-0.27573157199755005,-0.15000287807706253
A,SMALL439,PXL,1,MA200,rw,25,,-0.27894150059398637,-0.15325648884044885
A,SMALL439,PXL,1,MA200,dg,0,,-0.3159657967205252,-0.1813826273923409
A,SMALL439,PXL,1,MA200,dg,5,,-0.31672438743863685,-0.1821344022615396
A,SMALL439,PXL,1,MA200,dg,10,,-0.317479969466798,-0.182884734856654
A,SMALL439,PXL,1,MA200,dg,25,,-0.319727759874078,-0.1851261802037543
A,SMALL439,PXL,2,EWALL,rw,0,,-0.31278896690272906,-0.04692016497154222
A,SMALL439,PXL,2,EWALL,rw,5,,-0.3135458659253542,-0.04767091330661044
A,SMALL439,PXL,2,EWALL,rw,10,,-0.3143026818909001,-0.04842169694574733
A,SMALL439,PXL,2,EWALL,rw,25,,-0.3165725915638112,-0.05067422005188649
A,SMALL439,PXL,2,EWALL,dg,0,,-0.31278896690272906,-0.04692016497154222
A,SMALL439,PXL,2,EWALL,dg,5,,-0.3135458659253542,-0.04767091330661044
A,SMALL439,PXL,2,EWALL,dg,10,,-0.3143026818909001,-0.04842169694574733
A,SMALL439,PXL,2,EWALL,dg,25,,-0.3165725915638112,-0.05067422005188649
A,SMALL439,PXL,2,MA200,rw,0,,-0.2735632026448836,-0.040783119053275196
A,SMALL439,PXL,2,MA200,rw,5,,-0.27465001535919764,-0.04187501249749054
A,SMALL439,PXL,2,MA200,rw,10,,-0.27573157199755005,-0.04296762305415175
A,SMALL439,PXL,2,MA200,rw,25,,-0.27894150059398637,-0.04624652385992825
A,SMALL439,PXL,2,MA200,dg,0,,-0.3159657967205252,-0.0732347548655862
A,SMALL439,PXL,2,MA200,dg,5,,-0.31672438743863685,-0.07397988984161272
A,SMALL439,PXL,2,MA200,dg,10,,-0.317479969466798,-0.07472482907612862
A,SMALL439,PXL,2,MA200,dg,25,,-0.319727759874078,-0.07695757840732992
A,SMALL439,PXL,3,EWALL,rw,0,0.2683453520325084,-0.31278896690272906,0.05335932152319864
A,SMALL439,PXL,3,EWALL,rw,5,0.26909031609074796,-0.3135458659253542,0.052105080680458354
A,SMALL439,PXL,3,EWALL,rw,10,0.26983526758121323,-0.3143026818909001,0.050850763980333474
A,SMALL439,PXL,3,EWALL,rw,25,0.272070012683884,-0.3165725915638112,0.047087433451533905
A,SMALL439,PXL,3,EWALL,dg,0,0.2683453520325084,-0.31278896690272906,0.05335932152319864
A,SMALL439,PXL,3,EWALL,dg,5,0.26909031609074796,-0.3135458659253542,0.052105080680458354
A,SMALL439,PXL,3,EWALL,dg,10,0.26983526758121323,-0.3143026818909001,0.050850763980333474
A,SMALL439,PXL,3,EWALL,dg,25,0.272070012683884,-0.3165725915638112,0.047087433451533905
A,SMALL439,PXL,3,MA200,rw,0,0.2776208326548953,-0.2735632026448836,0.03505090867959351
A,SMALL439,PXL,3,MA200,rw,5,0.27854854085069125,-0.27465001535919764,0.0335972251041278
A,SMALL439,PXL,3,MA200,rw,10,0.2794776122509226,-0.27573157199755005,0.03214063612630101
A,SMALL439,PXL,3,MA200,rw,25,0.2822703034365436,-0.27894150059398637,0.027758802068203
A,SMALL439,PXL,3,MA200,dg,0,0.2635460813101227,-0.3159657967205252,0.06037107177027484
A,SMALL439,PXL,3,MA200,dg,5,0.26400855947526825,-0.31672438743863685,0.059609009821246894
A,SMALL439,PXL,3,MA200,dg,10,0.2644706727910736,-0.317479969466798,0.058846766796052316
A,SMALL439,PXL,3,MA200,dg,25,0.2658544059832314,-0.319727759874078,0.0565599090955153
A,SMALL439,VOLSH,1,EWALL,rw,0,,-0.0800724843952556,-0.06193610830922075
A,SMALL439,VOLSH,1,EWALL,rw,5,,-0.08166418097908568,-0.06352708944764324
A,SMALL439,VOLSH,1,EWALL,rw,10,,-0.08325595500540994,-0.0651181148995717
A,SMALL439,VOLSH,1,EWALL,rw,25,,-0.08803165522983936,-0.06989137061595035
A,SMALL439,VOLSH,1,EWALL,dg,0,,-0.0800724843952556,-0.06193610830922075
A,SMALL439,VOLSH,1,EWALL,dg,5,,-0.08166418097908568,-0.06352708944764324
A,SMALL439,VOLSH,1,EWALL,dg,10,,-0.08325595500540994,-0.0651181148995717
A,SMALL439,VOLSH,1,EWALL,dg,25,,-0.08803165522983936,-0.06989137061595035
A,SMALL439,VOLSH,1,MA200,rw,0,,-0.0865622828567485,-0.07088644071187422
A,SMALL439,VOLSH,1,MA200,rw,5,,-0.08699048590376707,-0.07131916944614769
A,SMALL439,VOLSH,1,MA200,rw,10,,-0.08741857557142213,-0.07175220731930015
A,SMALL439,VOLSH,1,MA200,rw,25,,-0.0887019522846923,-0.07305295218600999
A,SMALL439,VOLSH,1,MA200,dg,0,,-0.11416200482704886,-0.09744832314546437
A,SMALL439,VOLSH,1,MA200,dg,5,,-0.11484932511697737,-0.09813456730216025
A,SMALL439,VOLSH,1,MA200,dg,10,,-0.11553515525805574,-0.09881943751460737
A,SMALL439,VOLSH,1,MA200,dg,25,,-0.11758297488992703,-0.10086507530705502
A,SMALL439,VOLSH,2,EWALL,rw,0,,-0.0800724843952556,-0.049163861561160316
A,SMALL439,VOLSH,2,EWALL,rw,5,,-0.08166418097908568,-0.05075367801109609
A,SMALL439,VOLSH,2,EWALL,rw,10,,-0.08325595500540994,-0.052343501385882396
A,SMALL439,VOLSH,2,EWALL,rw,25,,-0.08803165522983936,-0.05711292655990735
A,SMALL439,VOLSH,2,EWALL,dg,0,,-0.0800724843952556,-0.049163861561160316
A,SMALL439,VOLSH,2,EWALL,dg,5,,-0.08166418097908568,-0.05075367801109609
A,SMALL439,VOLSH,2,EWALL,dg,10,,-0.08325595500540994,-0.052343501385882396
A,SMALL439,VOLSH,2,EWALL,dg,25,,-0.08803165522983936,-0.05711292655990735
A,SMALL439,VOLSH,2,MA200,rw,0,,-0.0865622828567485,-0.06003325637269907
