universe,sleeve,book,conv,n_assets,f,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,Turn_yr,Gross,p4a,p4a_v1,p4b,sleeve_eff,conv_eff
u56,SCASH,top20,natural,0,0.0,0.1265973583235207,1.092135905431323,-0.1830834869787813,1.0882791557222313,1.1015451872229007,0.9928968404730495,0.1063259561145935,-0.11653190552192016,0.14360571273280298,1.167991233806965,-0.18308348697878107,9.630697203129404,0.7158706915972064,False,False,True,-,-
u56,S4,top20,matched,4,0.25,0.10828471059809952,1.141893659065849,-0.14607054225355875,1.127351261546979,1.1588329221687035,1.0442160330160237,0.09334078951376834,-0.09100557475356408,0.12077084313056674,1.2174377783867614,-0.14607054225355898,9.243287862937708,0.7158706915972065,False,False,True,S4,matched
u56,S5f,top20,matched,5,0.25,0.10954231229585787,1.1293600698353115,-0.15171738409526536,1.119539183017104,1.1421552607590728,1.0307073755384648,0.09427707807309527,-0.09515924791195718,0.12230014860483185,1.205661480122324,-0.15171738409526525,8.987163254097336,0.7158706915972066,False,False,True,S5f,matched
u56,S6f,top20,natural,6,0.25,0.10801345140614504,1.123291911053385,-0.1535138071373251,1.101091745480479,1.148051920700486,1.002188931690762,0.08950557675642967,-0.09715708312647231,0.12352356856653102,1.215607376257763,-0.1535138071373251,8.305182322443546,0.7001109866948058,False,False,True,S6f,natural
u56,S6f,top20,matched,6,0.25,0.11174778741744107,1.1265335766237083,-0.1552896791242937,1.12269781011281,1.134211733941256,1.028571479876258,0.0960679740635968,-0.09812971905391832,0.1248562966347091,1.202233291949101,-0.1552896791242938,8.838909302328956,0.7158706915972066,False,False,True,S6f,matched
u56,S7f,top20,natural,7,0.25,0.10821674494816258,1.1076999146361561,-0.15704628964505107,1.0889256375899254,1.1288899412255455,0.9929086676810506,0.09066557258319308,-0.1006273829444343,0.12291330773136377,1.19566904215698,-0.15704628964505152,8.317132157113763,0.7017389135109594,False,False,True,S7f,natural
u56,S7f,top20,matched,7,0.25,0.11172591081566963,1.1120233024017,-0.15909560684421442,1.110514614478654,1.117347699610817,1.018458274456813,0.0966446258278788,-0.1009648806248733,0.12432776885946861,1.1845199877958277,-0.15909560684421442,8.822678409021822,0.7158706915972066,False,False,True,S7f,matched
u56,S8f,top20,natural,8,0.25,0.10758529276992346,1.0922515010078504,-0.15911500579314808,1.073704428625015,1.11302320605698,0.9723027505306101,0.08962116986948687,-0.10274817004316428,0.12263296787673261,1.1841864280363046,-0.1591150057931483,8.31551876103814,0.7025495999841931,False,False,True,S8f,natural
u56,S8f,top20,matched,8,0.25,0.1109489630905014,1.0975336107907336,-0.16150891231084963,1.0974287506260236,1.1013717799342817,1.001555878909389,0.09585336508046205,-0.1026167229269973,0.1235630420037197,1.1719980757645252,-0.1615089123108494,8.79748765265012,0.7158706915972066,False,False,True,S8f,matched
u56,S5r,top20,matched,5,0.25,0.10843678658323319,1.120255936770669,-0.1492495457586045,1.0951329602642765,1.1462033932583982,1.001731679627706,0.09154995644919017,-0.09356062742130666,0.1225691671134792,1.2118438602437467,-0.1492495457586046,9.177328241197737,0.7158706915972065,False,False,True,S5r,matched
