char,outcome,cells,sign_kept,sign_flipped,within_sig,t_min,t_max
breadth,Sharpe,12,9,3,7,-0.6567540569147483,8.113990545694653
breadth,CAGR,12,9,3,5,-1.155239685843464,7.657050044737265
breadth,MaxDD,12,12,0,9,0.011435369119172844,6.369257468984064
disp,Sharpe,12,5,7,8,-4.041960040601036,3.901431883425906
disp,CAGR,12,3,9,9,-3.4062626184868297,5.35044689193375
disp,MaxDD,12,10,2,6,-4.647251693818327,0.3685341591753428
corr,Sharpe,12,3,9,7,-3.351892701735684,2.950906922727204
corr,CAGR,12,5,7,7,-2.9112443228676934,3.144307965208471
corr,MaxDD,12,5,7,0,-1.9128978207883076,1.7486081853199857
evol,Sharpe,12,11,1,7,-8.464391373779844,0.6883371493097951
evol,CAGR,12,8,4,7,-6.936986021810937,2.6278964019819475
evol,MaxDD,12,12,0,10,-8.74265144042224,-1.6192221589430709
