family,kind,IS_median,OOS_median,rho
BREADTH-LO,RAND,0.17690283556523678,0.2514920968055878,0.8989579109875109
BREADTH-LO,BLOCK,0.013508579806009613,0.10758109973334096,0.23497757908454883
BREADTH-LO,YEARBLOCK,0.0,0.04204284961601787,0.01831829731208972
BREADTH-LO,EPISODEFIX,0.00933355599980698,-0.00418958577331309,0.11864111864204274
BREADTH-LO,BLOCKPOST,0.014486953898155575,0.1121364275244672,0.2132681719377162
BREADTH-HI,RAND,0.2864298609887692,0.20667795925919535,0.9091436270508518
BREADTH-HI,BLOCK,0.029178209716717668,-0.0009172619051721342,0.10882560622812361
BREADTH-HI,YEARBLOCK,0.06883390506855812,0.03984219237481676,0.43721790275939554
BREADTH-HI,EPISODEFIX,0.02715282890369583,0.023659664477391124,-0.04043475646386327
BREADTH-HI,BLOCKPOST,0.023577670689699487,0.002735359047309191,0.14167927378249792
VOL20-HI,RAND,0.16537415899178343,0.20170730249501506,0.6302800297926837
VOL20-HI,BLOCK,-0.008803842204870044,0.04321525654082166,-0.2571871936363839
VOL20-HI,YEARBLOCK,-0.031711372022603046,0.0055842366388442755,-0.294562622481997
VOL20-HI,EPISODEFIX,-0.012673942325820475,-0.03281609111613726,-0.2001622704410475
VOL20-HI,BLOCKPOST,-0.005498531702294029,0.04737224383873878,-0.29905122399167094
VOL20-LO,RAND,0.21524014020630777,0.20863632196134674,0.8681983344913424
VOL20-LO,BLOCK,-0.024083126313176384,-0.009575543217402033,0.28014514704928
VOL20-LO,YEARBLOCK,0.027487720435391938,0.0059561002656055295,0.15849213536261755
VOL20-LO,EPISODEFIX,-0.023044395216420488,0.022995205108876385,0.2043280064919949
VOL20-LO,BLOCKPOST,-0.025367556198994848,-0.011660664505289353,0.38262790045528516
DISP-HI,RAND,0.19724783710992003,0.20732365280506904,0.6836834449963594
DISP-HI,BLOCK,0.0046188803401330525,0.04945837235784628,-0.25328856690880663
DISP-HI,YEARBLOCK,-0.01114806240107935,0.017753959243364537,-0.212291933929496
DISP-HI,EPISODEFIX,0.004021635193820927,-0.01111380946244428,-0.27353124867900647
DISP-HI,BLOCKPOST,0.0062883500559747785,0.05239502550568362,-0.26273154970180523
DISP-LO,RAND,0.14238531045652197,0.18906395600045375,0.707527415639492
DISP-LO,BLOCK,-0.06436357404861223,-0.00966476254563986,0.11181901480524908
DISP-LO,YEARBLOCK,-0.033321317749568286,-0.0007755641491409837,0.10615474334174603
DISP-LO,EPISODEFIX,-0.06615682859543312,0.017814466556230396,-0.2451484186479337
DISP-LO,BLOCKPOST,-0.06316226485149282,-0.0104395306342666,0.17549566654580506
CORR-HI,RAND,0.18818572416333978,0.20679685219944552,0.7618100543758153
CORR-HI,BLOCK,0.02713177625343982,0.07158712780356297,0.28493049266882076
CORR-HI,YEARBLOCK,0.009297688575002683,0.03542119775963726,0.19302804167879747
CORR-HI,EPISODEFIX,0.02321789172593594,-0.03959039487996996,0.1161655673023511
CORR-HI,BLOCKPOST,0.026443989790071232,0.07294825659826637,0.25879684950110354
CORR-LO,RAND,0.27068917216964594,0.23125148250943367,0.9407051768657788
CORR-LO,BLOCK,0.04138957967081361,0.026920190836630498,0.3916306016824174
CORR-LO,YEARBLOCK,0.05770207121156504,0.057168060462337564,0.467612661771474
CORR-LO,EPISODEFIX,0.04556632048223644,0.05827177428729971,0.5333834045702358
CORR-LO,BLOCKPOST,0.040901048629983394,0.023967575618997247,0.4100975704435621
