theta,stat,depth_bin,convention,n_cells,n_OOS_gt_IS,share,signtest_p,med_abs_log10,n_pairs,B1_pass,B2_pass
0.08,reach,ALL,EPISODE,48,19,0.3958333333333333,0.19341265286193732,0.18077190601187598,38,True,True
0.08,reach,SHALLOW,EPISODE,48,17,0.3541666666666667,0.05946337525377032,0.09428867554955646,36,True,True
0.08,reach,DEEP,EPISODE,48,18,0.375,0.11140289106101875,0.36587812647554696,44,True,False
0.08,price,ALL,EPISODE,48,24,0.5,1.0,0.12497517727540874,15,True,True
0.08,price,SHALLOW,EPISODE,47,28,0.5957446808510638,0.24296021728332562,0.24196378379308606,17,True,False
0.08,price,DEEP,EPISODE,48,8,0.16666666666666666,3.305266709219268e-06,0.18843747171485045,23,False,True
0.1,reach,ALL,EPISODE,48,21,0.4375,0.4708790136217118,0.11727608022304212,44,True,True
0.1,reach,SHALLOW,EPISODE,48,27,0.5625,0.4708790136217118,0.10083712041217938,42,True,True
0.1,reach,DEEP,EPISODE,48,18,0.375,0.11140289106101875,0.36587812647554696,44,True,False
0.1,price,ALL,EPISODE,48,21,0.4375,0.4708790136217118,0.2257012143713708,22,True,True
0.1,price,SHALLOW,EPISODE,47,27,0.574468085106383,0.38169339766321286,0.1995746399739439,25,True,True
0.1,price,DEEP,EPISODE,48,11,0.22916666666666666,0.00022224496262168714,0.20368918775194172,25,False,True
0.15,reach,ALL,EPISODE,48,25,0.5208333333333334,0.8854334972865132,0.19472787173986594,47,True,True
0.15,reach,SHALLOW,EPISODE,48,24,0.5,1.0,0.20596446263944057,46,True,True
0.15,reach,DEEP,EPISODE,48,18,0.375,0.11140289106101875,0.36587812647554696,44,True,False
0.15,price,ALL,EPISODE,48,19,0.3958333333333333,0.19341265286193732,0.23471969022143074,24,True,False
0.15,price,SHALLOW,EPISODE,47,25,0.5319148936170213,0.7708669945730264,0.0956277760335382,26,True,True
0.15,price,DEEP,EPISODE,48,11,0.22916666666666666,0.00022224496262168714,0.158728196759354,27,False,True
,reach,ALL,WHOLE_WINDOW,48,47,0.9791666666666666,3.481659405224491e-13,0.36613791743528884,43,False,False
,price,ALL,WHOLE_WINDOW,41,6,0.14634146341463414,4.873598300036974e-06,0.24650959478389672,29,False,False
