panel,book,lam,cost,base_to,ann_to,drag_bps,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,IS_Sharpe,IS_m_min,OOS_CAGR,OOS_MaxDD,m_H1,m_H2,m_OOS,m_DD,m_CAGR,m_min,pass4b,pass4a
u56,EWall,1.0,0.0,0.8288095753693416,0.8288095753693416,0.0,0.13329662702207123,1.1287962426192406,-0.22511399325077008,1.2008399256563154,1.0715938713951347,1.138690049774078,1.1170678419463032,0.006835685380104067,0.1385260190864599,-0.22511399325077008,0.2421460038653872,0.24593517918115937,0.26291166964510715,-0.02281058155038032,0.027216922032225796,-0.02281058155038032,False,False
u56,EWall,1.0,5.0,0.8288095753693416,0.8288095753693416,4.144047876846708,0.1328270825809792,1.1252381271502077,-0.22518643287069406,1.197238390023955,1.068054420868083,1.1351212562698194,1.1135194975217078,0.006763203904873755,0.13803804063608216,-0.22518643287069395,0.23854446823302677,0.24239572865410774,0.2593428761408486,-0.022883021170304302,0.026747377591133756,-0.022883021170304302,False,False
u56,EWall,1.0,10.0,0.8288095753693416,0.8288095753693416,8.288095753693415,0.1323577283971884,1.1216798503721155,-0.22525886731411915,1.1936367528161018,1.0645147667529837,1.1315522372463844,1.1099710805536909,0.0066907272173396815,0.13755026674281523,-0.22525886731411904,0.23494283102517366,0.23885607453900837,0.2557738571174136,-0.022955455613729386,0.026278023407342962,-0.022955455613729386,False,False
u56,EWall,1.0,15.0,0.8288095753693416,0.8288095753693416,12.432143630540125,0.1318885643953316,1.118121414716349,-0.22533129658130857,1.1900350165450517,1.0609749114230214,1.1279829951558515,1.1064225934386656,0.006618255317265592,0.13706269732281973,-0.2253312965813088,0.23134109475412357,0.235316219209046,0.25220461502688074,-0.02302788488091881,0.025808859405486148,-0.02302788488091881,False,False
u56,EWall,1.0,25.0,0.8288095753693416,0.8288095753693416,20.72023938423354,0.1309508066360825,1.1110040764979634,-0.2254761395880328,1.1828312568617119,1.0538946066128925,1.1208438515837233,1.099325418352142,0.006473325878551456,0.13608817156745534,-0.22547613958803292,0.2241373350707837,0.2282359143989171,0.24506547145475255,-0.023172727887643046,0.024871101646237057,-0.023172727887643046,False,False
u56,EWall,1.0,50.0,0.8288095753693416,0.8288095753693416,41.44047876846708,0.1286097351515212,1.0932081208123061,-0.22583815653911044,1.164820299874522,1.0361904895121328,1.1029922606967983,1.081581420768011,0.006111086045779063,0.13365542959907795,-0.2258381565391101,0.2061263780835939,0.2105317972981574,0.22721388056782754,-0.023534744838720673,0.02253003016167575,-0.023534744838720673,False,False
u56,EWall,0.7,0.0,0.8288095753693416,0.8286612766944508,0.0,0.13334373316440806,1.1291320710764807,-0.2251139932507702,1.2015780105568095,1.0715779763711637,1.138674570791934,1.1178574601598228,0.006835685380104067,0.1385244306444069,-0.22511399325077008,0.2428840887658813,0.24591928415718833,0.2628961906629631,-0.022810581550380432,0.027264028174562624,-0.022810581550380432,False,False
u56,EWall,0.7,5.0,0.8288095753693416,0.8286612766944508,4.143306383472254,0.13287425263227948,1.125574610922023,-0.22518643287069395,1.197977417565256,1.068038935416157,1.1351061634827968,1.114310115830657,0.006763203904873755,0.1380365074486729,-0.22518643287069406,0.23928349577432784,0.24238024320218166,0.259327783353826,-0.02288302117030419,0.02679454764243404,-0.02288302117030419,False,False
u56,EWall,0.7,10.0,0.8288095753693416,0.8286612766944508,8.286612766944508,0.13240496230324705,1.1220169901428174,-0.22525886731411926,1.1943767242613068,1.064499691163825,1.1315375309494347,1.1107627001591283,0.0066907272173396815,0.13754878876472842,-0.22525886731411893,0.23568280247037865,0.23884099894984956,0.25575915082046385,-0.022955455613729497,0.026325257313401615,-0.022955455613729497,False,False
u56,EWall,0.7,15.0,0.8288095753693416,0.8286612766944508,12.429919150416762,0.13193586210197283,1.118459211165021,-0.22533129658130924,1.190775933146623,1.0609602459860479,1.1279686756426386,1.107215215530951,0.006618255317265592,0.1370612745087627,-0.22533129658130935,0.23208201135569484,0.2353015537720725,0.2521902955136678,-0.023027884880919475,0.025856157112127395,-0.023027884880919475,False,False
