panel,chooser,pick,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
U56,DEVICE,MAXVOL m=0.80,1.0838295270393241,0.1405162833396021,1.1113077425364861,-0.1849911251059373
U56,GROSS-ONLY,LADDER f=0.80,1.0014407357367767,0.10723683622953595,1.113086938432118,-0.1454394325217523
U56,BASE,-,1.0014078012562833,0.13426543601500995,1.1133413290228635,-0.17990546913754235
U56,RULES v2 (live),-,1.1042710247053533,0.09455896847608769,1.2767122316543114,-0.12054941914043871
U56,SPY,-,0.8986378759173647,0.15286966214114894,0.8750760816641813,-0.33717256724185307
B136,DEVICE,MAXVOL m=0.80,1.2453010542509453,0.1507392226233475,1.012367715728869,-0.1936915477689919
B136,GROSS-ONLY,LADDER f=1.60,1.1773335492317296,0.21219024281310817,0.9522336947840614,-0.29996514751483105
B136,BASE,-,1.1758860922614367,0.1341260280803802,0.9498172545905195,-0.19393547915174236
B136,RULES v2 (live),-,1.092172960863223,0.07847283605551292,1.1016867720596069,-0.12241069123223403
B136,SPY,-,0.8986624857599308,0.15257181383948715,0.8736721309012504,-0.3371595330739301
SMALL,DEVICE,MAXVOL m=0.25,0.9560431801807743,-0.010180829762986288,-0.039101942854478274,-0.3397671387891795
SMALL,GROSS-ONLY,LADDER f=1.60,0.2734000156555558,0.09667679805597729,0.4684698878793059,-0.42507024693792295
SMALL,BASE,-,0.2705009132848428,0.06898755734477402,0.4668586883837447,-0.28546711325339935
SMALL,RULES v2 (live),-,0.8632490555637004,0.04414263605247615,0.6472128112471179,-0.12480015794418675
SMALL,SPY,-,0.8315585793659415,0.15286966214114894,0.8750760816641813,-0.33717256724185307
