universe,grid,book,cost_bps,pick_full,pick_ex2011,OOS_S_full,OOS_S_ex,dOOS_Sharpe,dOOS_CAGR,dOOS_MaxDD,d4b,d4b_oos
u56,sleeve,top20,10,0.5,0.25,1.260970230116197,1.2077130693106914,-0.053257160805505466,0.034787467044239406,-0.05061015333533958,0,0
u56,sleeve,top20,25,0.25,0.0,1.059692574452488,1.0233281985933953,-0.0363643758590928,0.027405397085557226,-0.04846248990314517,-1,-1
u56,sleeve,ewall,10,0.5,0.25,1.2777955332188586,1.2137263667324019,-0.06406916648645677,0.02430362537513009,-0.04233646247119671,1,0
u56,sleeve,ewall,25,0.25,0.0,1.0731263291302477,1.0208773324929017,-0.05224899663734606,0.019193448489141174,-0.04825655710344301,-1,-1
u56,band,top20,10,0.08,0.0,1.1997240976744032,1.155519781653023,-0.04420431602138031,-0.008064374007933583,0.0006569077423497216,0,0
u56,breadth,top20,10,0.25,0.5,1.1878985267789675,1.2120467792086242,0.02414825242965679,0.0010622977746512774,-1.1102230246251565e-16,0,0
u56,breadth,top20,25,0.25,0.5,1.0583823415098852,1.083152484973595,0.02477014346370976,0.0014090712818219941,1.1102230246251565e-16,0,0
u56,breadth,ewall,10,0.5,0.75,1.2337271418228417,1.2603242472977916,0.026597105474949867,0.0008457459365502906,1.1102230246251565e-16,0,0
u56,stop,top20,10,0.25,none,1.1870313936971242,1.155519781653023,-0.031511612044101245,-0.003128442369576767,-3.3306690738754696e-16,0,0
u56,stop,top20,25,0.25,none,1.052518111445374,1.0225138518819232,-0.030004259563450875,-0.0030442526139722315,3.3306690738754696e-16,0,0
u56,gross,top20,10,0.75,1.0,1.155519781653023,1.1559909955145602,0.0004712138615372563,0.05091527821444464,-0.05730664233796967,-1,-1
broad,sleeve,top20,10,0.5,0.25,1.0059580479122343,0.9370254950421589,-0.06893255287007538,0.026189251684531456,-0.05464379595472424,-1,-1
broad,sleeve,top20,25,0.5,0.0,0.8110158207416338,0.7317124079356395,-0.07930341280599429,0.039418750575140216,-0.10580662120528572,0,0
broad,sleeve,ewall,10,0.5,0.25,1.2000486330951212,1.1027381387052961,-0.09731049438982509,0.02025199313655368,-0.04605523652203658,1,1
broad,sleeve,ewall,25,0.5,0.25,1.0246048330591213,0.9623683470056162,-0.06223648605350507,0.019166552082727994,-0.04498464858064499,1,0
broad,breadth,ewall,10,0.0,0.25,1.0190032951881365,1.0324719254449801,0.013468630256843639,-0.0007427602312437553,0.0022066907479941777,-1,0
