band,gross,d_ann,via_dE,via_du,d_TIM,d_CST,share_E,share_u
0.0,0.5,-0.03128168931416058,-0.029592934077861798,-0.0020263081674131603,-1.2277799443283265e-05,-0.0003264275912462375,0.9259960750595522,0.06340545364473958
0.0,0.6,-0.02049528465929655,-0.017784624168873484,-0.0020263081674131603,-0.00034999257672621445,-0.0007407743337224239,0.8508697766116471,0.09694466193841426
0.0,0.75,-0.0043108660132557125,-7.648189711302285e-05,-0.0020263081674131603,-0.0008488206902051744,-0.0013610030243678874,0.017734464765587533,0.4698561640816316
0.0,0.85,0.006481259345874471,0.011726134389527137,-0.0020263081674131603,-0.0011761461121641992,-0.0017744549063255124,0.70203578985905,0.12131370898138809
0.0,1.0,0.022671734242243002,0.029425960911562975,-0.0020263081674131455,-0.001659182594629432,-0.0023962932596115136,0.8287195080089511,0.05706665323929255
0.01,0.5,-0.030055696435065143,-0.029497884027490182,-0.0004363218523270501,-0.0002885208060415009,2.18802879619871e-05,0.9753105422405757,0.014426434858443485
0.01,0.6,-0.01902401109429154,-0.017670669770913697,-0.00043632185232707923,-0.0006813896041816211,-0.00032258176681112345,0.9246352356103449,0.022830971545428323
0.01,0.75,-0.0024716140329818365,6.576772083563408e-05,-0.00043632185232706465,-0.001262873636746009,-0.0008378626421338769,0.02526781451168638,0.16763390143242132
0.01,0.85,0.008565844397379355,0.011887208098013755,-0.0004363218523270501,-0.0016452475021571933,-0.0011813010721244783,0.7846301310382132,0.028799972991422017
0.01,1.0,0.025124294360115096,0.029615214211945615,-0.0004363218523270501,-0.0022107635847351485,-0.0016981071063923193,0.8720512220377462,0.012847957195261493
0.03,0.5,-0.028411286746749115,-0.029540945169105846,0.0,0.000550603513407082,0.0005790549089496281,0.9631680407270772,0.0
0.03,0.6,-0.017049120190960276,-0.017722723242262393,0.0,0.0003268627451022061,0.000346740306199898,0.9633838278060035,0.0
0.03,0.75,0.0,0.0,0.0,0.0,0.0,,
0.03,0.85,0.0113692785259525,0.011812150696627353,0.0,-0.00021196708535253838,-0.00023090508532232603,0.9638619874095464,0.0
0.03,1.0,0.028426470433238107,0.029526008274929127,0.0,-0.0005208114329544908,-0.000578726408736603,0.9640973637660495,0.0
0.05,0.5,-0.030347850955005536,-0.031583508024530756,0.002863868379734572,-0.0014247619458614444,0.000816626615659945,0.8608495830803585,0.07805845692557949
0.05,0.6,-0.019369945435542324,-0.020173472198346372,0.002863868379734572,-0.002041368679010762,0.0006325846536848726,0.7846152071674193,0.11138561869631212
0.05,0.75,-0.002895285988103055,-0.003062823470029513,0.002863868379734572,-0.0029561296389817417,0.00035872102207902415,0.3314190749479268,0.30989073267585476
0.05,0.85,0.008092360859874206,0.00834141422035595,0.002863868379734586,-0.003559085092362824,0.00017675451134031264,0.5582856566314676,0.1916769263159782
0.05,1.0,0.0245791301381018,0.025443607781034765,0.002863868379734572,-0.00445297556583514,-9.714152551854255e-05,0.7743600569220263,0.08716001679610329
0.08,0.5,-0.028964988899338816,-0.03228665132170856,0.005446308770693594,-0.0011504560722130795,0.0010089085789187283,0.8093449436521449,0.13652522899348882
0.08,0.6,-0.017706158785810888,-0.02101736569904985,0.005446308770693609,-0.0017079512260784078,0.0008637702956106407,0.7238532481269226,0.1875748060161003
0.08,0.75,-0.0008068248796609528,-0.00411790624755904,0.005446308770693609,-0.0025309332042522115,0.0006486343285833731,0.3231306114217555,0.4273698761619666
0.08,0.85,0.010466276683951989,0.007145499954139957,0.005446308770693594,-0.003070463438983184,0.0005060431208233458,0.44194461997708506,0.3368507277853243
0.08,1.0,0.027385231515030264,0.02403639552371624,0.005446308770693609,-0.0038655477522102676,0.0002917203033060108,0.7145188846675441,0.16189991816998534
0.12,0.5,-0.02789148872056802,-0.03217086434775345,0.010075815839579757,-0.003284733040598722,0.0011439213013197753,0.6892476437976418,0.21587024369938226
0.12,0.6,-0.016413965354396265,-0.02087824452121689,0.010075815839579757,-0.004265457347987852,0.0010263500981812861,0.576017234086046,0.27798522836424877
0.12,0.75,0.0008157416178260629,-0.0039436790652392605,0.010075815839579757,-0.0057211485007083755,0.0008528801126848098,0.1915009377463554,0.48927109684115266
0.12,0.85,0.012310595324179108,0.007343198887168127,0.010075815839579743,-0.006681113810410625,0.0007382745848147567,0.2956389286021362,0.4056547351333624
0.12,1.0,0.029564061614364825,0.024269399900656557,0.010075815839579757,-0.008104896596819948,0.0005659704588806679,0.5641936299915462,0.2342336908587935
0.2,0.5,-0.028625063923871798,-0.03798717372353039,0.01723374427620868,-0.001767265995110262,0.0012786801323692223,0.6519515730345476,0.29577264083718174
0.2,0.6,-0.01728567327595576,-0.027856960479695603,0.01723374427620868,-0.002437325394639915,0.0011890456166285465,0.571811013715782,0.3537516159338401
0.2,0.75,-0.00025742557680071,-0.012665503931022436,0.017233744276208694,-0.0034226721215235194,0.0010586273751915791,0.3683915695609665,0.5012643901025052
0.2,0.85,0.011107115658878203,-0.0025403751497386834,0.01723374427620868,-0.00406622238103946,0.0009737069673585865,0.10237648732137215,0.6945156122215006
0.2,1.0,0.02817167926314544,0.012643669068498979,0.01723374427620868,-0.00501118793437418,0.000848076421444398,0.35380090937532216,0.4822424854550737
