panel,bps,arm,gross_mean,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,OOS_CAGR,turnover,f4a,f4b
u56,0,V2,0.532752804375372,0.08852950361247114,1.2306462622986376,-0.12029812615148339,1.2511233124662855,1.2157854547481275,1.3095985770043688,0.097307362439361,1.7745075061261604,"H1,H2",CAGR
u56,0,CG g*=0.55,0.5503121465312613,0.09770758776977972,1.1308274893785464,-0.1689095183909165,1.1962023513008744,1.0792713748838378,1.1432163295547995,0.10172596273638734,0.6274033741558686,"H1,H2,DD",CAGR
u56,0,RGT mean(60),0.49686043897049537,0.0901875774652541,1.1351810103105144,-0.15007400039846724,1.2296601211686347,1.0531488966895126,1.126805351202362,0.09029107477940158,1.7737011629354522,0/60 pass,0/60 pass
u56,0,RGP mean(60),0.5149723503465043,0.08252165281697037,1.1832497162310356,-0.13497842552179767,1.2147733051162273,1.1654150735258735,1.2545264653912658,0.0923309708846103,1.7950489749228362,0/60 pass,0/60 pass
u56,0,SPY,1.0,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.9566200326036914,0.834015937642442,0.8820107671822842,0.15450717694493266,0.0,"H1,H2,DD",-
u56,10,V2,0.532752804375372,0.08660009294734339,1.2056219490390438,-0.12054942313126804,1.225930875264405,1.1908384783945227,1.285072363206482,0.09534722887472857,1.7745075061261604,"H1,H2",CAGR
u56,10,CG g*=0.55,0.5503121465312613,0.09701910633667299,1.1234760917921307,-0.1690372324741718,1.1887491270270678,1.0719697431746136,1.1358612547771085,0.10101302613635532,0.6274033741558686,"H1,H2,DD",CAGR
u56,10,RGT mean(60),0.49686043897049537,0.08825579405738875,1.1126083683933177,-0.15032186077759585,1.2060235132387591,1.0314556720481138,1.1044895886479518,0.08836015878835485,1.7737011629354522,0/60 pass,0/60 pass
u56,10,RGP mean(60),0.5149723503465043,0.08058038749857895,1.157153794989481,-0.13536431953645942,1.1881348118432424,1.1395684178968528,1.2289914785316836,0.09031482001433927,1.7950489749228362,0/60 pass,0/60 pass
u56,10,SPY,1.0,0.15228044986566602,0.8890296069344827,-0.3371723528339826,0.9566200326036914,0.834015937642442,0.8820107671822842,0.15450717694493266,0.0,"H1,H2,DD",-
broad,0,V2,0.5321081075221801,0.08247733207508934,1.1336371255164472,-0.12211398589281552,1.254697356650477,1.0144128526124752,1.1481353293632495,0.08210528304142972,2.0110891272076903,"H1,H2",CAGR
broad,0,CG g*=0.55,0.5503000637745523,0.1042456754042258,1.1288881599830727,-0.1909298586340642,1.2363776095569181,1.0323253194914468,1.1107175731122454,0.10276811383680973,0.6579380346262691,"H1,DD",CAGR
broad,0,RGT mean(20),0.4972660218587256,0.09462863646363187,1.1275525623562845,-0.17145947448761958,1.2543611873687315,1.012048140109491,1.0930228061442637,0.09119594683919802,2.013996385891625,0/20 pass,0/20 pass
broad,0,RGP mean(20),0.5140404454705372,0.08318970308454818,1.1703741301765715,-0.13583606306059215,1.304258047273395,1.0477322053014717,1.1725264026652915,0.08387012678522862,2.022904520692859,0/20 pass,0/20 pass
broad,0,SPY,1.0,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.8820239235972316,0.1545044425578177,0.0,"H1,H2,DD",-
broad,10,V2,0.5321081075221801,0.0803031894255104,1.1057901818007876,-0.12240793860208032,1.229067725847855,0.9843850631086558,1.1185082795688426,0.07983337481604336,2.0110891272076903,"H1,H2",CAGR
broad,10,CG g*=0.55,0.5503000637745523,0.10351932109628459,1.121664586645935,-0.19105400715929366,1.2293520681563688,1.0249036536214677,1.103226771598257,0.10201142336649371,0.6579380346262691,DD,CAGR
broad,10,RGT mean(20),0.4972660218587256,0.09242639797122928,1.1032835116396045,-0.17168964356918556,1.2294338525681592,0.9883238807114475,1.0685646217006812,0.0889885258423772,2.013996385891625,0/20 pass,0/20 pass
broad,10,RGP mean(20),0.5140404454705372,0.08100105483062167,1.1415744395641898,-0.13613074173932782,1.2775379391732327,1.0169577696630783,1.1420622591085885,0.08153661995702985,2.022904520692859,0/20 pass,0/20 pass
broad,10,SPY,1.0,0.15228333786002324,0.8890499106949826,-0.3371595330739301,0.9566383979356751,0.8340326918358352,0.8820239235972316,0.1545044425578177,0.0,"H1,H2,DD",-
