qmax,sel,panel,book,cost,n_arms,p_nonempty,mean_k,immunity,null,move_rate,exc_H1,exc_H2,exc_DD,exc_CAGR,n_bad
0.25,K_Sharpe,broad,EWall,10.0,17,1.0,8.61875,1.0,0.506985294117647,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Calmar,broad,EWall,10.0,17,1.0,8.61875,1.0,0.506985294117647,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Sortino,broad,EWall,10.0,17,1.0,8.61875,1.0,0.506985294117647,0.0,0.0,0.0,0.0,0.0,0
0.25,K_MinHalf,broad,EWall,10.0,17,1.0,8.61875,1.0,0.506985294117647,0.0,0.0,0.0,0.0,0.0,0
0.25,K_H2Sharpe,broad,EWall,10.0,17,1.0,8.61875,0.0,0.506985294117647,1.0,0.0,0.0,1.0,0.0,4000
0.25,K_CAGR,broad,EWall,10.0,17,1.0,8.61875,0.0,0.506985294117647,1.0,0.0,0.0,1.0,0.0,4000
0.25,K_MaxDD,broad,EWall,10.0,17,1.0,8.61875,0.76,0.506985294117647,0.24,0.0,0.0,0.0,1.0,960
0.25,K_NegVol,broad,EWall,10.0,17,1.0,8.61875,0.0,0.506985294117647,1.0,0.0,0.7545,0.0,1.0,4000
0.25,K_RANDOM,broad,EWall,10.0,17,1.0,8.61875,0.518,0.506985294117647,0.482,0.29304979253112035,0.29304979253112035,0.3900414937759336,0.28475103734439833,1928
0.25,K_Sharpe,broad,EWall,25.0,17,1.0,8.366,1.0,0.49211764705882355,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Calmar,broad,EWall,25.0,17,1.0,8.366,1.0,0.49211764705882355,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Sortino,broad,EWall,25.0,17,1.0,8.366,1.0,0.49211764705882355,0.0,0.0,0.0,0.0,0.0,0
0.25,K_MinHalf,broad,EWall,25.0,17,1.0,8.366,0.0,0.49211764705882355,1.0,0.0,0.0,1.0,0.0,4000
0.25,K_H2Sharpe,broad,EWall,25.0,17,1.0,8.366,0.0,0.49211764705882355,1.0,0.0,0.0,1.0,0.0,4000
0.25,K_CAGR,broad,EWall,25.0,17,1.0,8.366,0.0,0.49211764705882355,1.0,0.0,0.0,1.0,0.0,4000
0.25,K_MaxDD,broad,EWall,25.0,17,1.0,8.366,0.74925,0.49211764705882355,0.25075,0.0,0.0,0.0,1.0,1003
0.25,K_NegVol,broad,EWall,25.0,17,1.0,8.366,0.0,0.49211764705882355,1.0,0.0,0.7635,0.0,1.0,4000
0.25,K_RANDOM,broad,EWall,25.0,17,1.0,8.366,0.49325,0.49211764705882355,0.50675,0.2994573260976813,0.2812037493833251,0.3793783917118895,0.28860384805130734,2027
0.25,K_Sharpe,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Calmar,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Sortino,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_MinHalf,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_H2Sharpe,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_CAGR,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_MaxDD,broad,TOP20,10.0,17,1.0,10.70375,1.0,0.6296323529411765,0.0,0.0,0.0,0.0,0.0,0
0.25,K_NegVol,broad,TOP20,10.0,17,1.0,10.70375,0.0,0.6296323529411765,1.0,1.0,1.0,0.0,1.0,4000
0.25,K_RANDOM,broad,TOP20,10.0,17,1.0,10.70375,0.63225,0.6296323529411765,0.36775,0.38545207341944254,0.3820530251529572,0.40312712440516657,0.37661454792658056,1471
0.25,K_Sharpe,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Calmar,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
0.25,K_Sortino,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
0.25,K_MinHalf,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
0.25,K_H2Sharpe,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
0.25,K_CAGR,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
0.25,K_MaxDD,broad,TOP20,25.0,17,1.0,10.9915,1.0,0.6465588235294117,0.0,0.0,0.0,0.0,0.0,0
