parent,panel,book,conv,sleeve,f,cost,f_hat,MaxDD_base,MaxDD_sleeve,MaxDD_cashf,MaxDD_cashgm,dD_sleeve,dD_cashf,dD_cashgm,Sharpe_base,Sharpe_sleeve,Sharpe_cashf,Sharpe_cashgm,CAGR_base,CAGR_sleeve,CAGR_cashf,claim,ret_cashf,ret_cashgm,dd_cap_sleeve,dd_cap_cashf,dd_cap_base,fail4a_sleeve,fail4b_sleeve,fail4a_cashf,fail4b_cashf
A/idea190,u56,R10,g0.75,S3,0.1,10.0,-0.006982325987344717,-0.24091744947430582,-0.2149365191422692,-0.21885429493164976,-0.24244192560612288,0.025980930332036634,0.02206315454265606,-0.001524476131817054,1.077254150709839,1.0967638586618944,1.0767795688093755,1.0772862147261009,0.16852866858508975,0.15892557373347227,0.15163902356860737,True,0.8492057159111954,-0.0586767337556519,False,False,False,DD,DD,DD,DD
A/idea190,u56,R10,g0.75,S3,0.1,25.0,-0.006982325987344717,-0.24207777084199966,-0.2161045729376615,-0.2199265943931915,-0.2436083996572055,0.025973197904338163,0.022151176448808152,-0.0015306288152058256,0.9538449846259414,0.9642526897056025,0.9532419484456197,0.9538845854427211,0.146259248860241,0.1370242324377664,0.13184903014917815,True,0.8528474826393387,-0.058931088148763265,False,False,False,DD,DD,DD,DD
A/idea190,u56,R10,g0.75,S3,0.2,10.0,-0.006982325987344717,-0.24091744947430582,-0.1897721254239546,-0.19635550635647803,-0.24244192560612288,0.051145324050351215,0.044561943117827796,-0.001524476131817054,1.077254150709839,1.115466525915793,1.0762792499466145,1.0772862147261009,0.16852866858508975,0.14737023127536486,0.13473403142524432,True,0.8712808833503087,-0.029806754774224283,True,True,False,DD,-,DD,-
A/idea190,u56,R10,g0.75,S3,0.2,25.0,-0.006982325987344717,-0.24207777084199966,-0.19097098485082753,-0.19733607185214397,-0.2436083996572055,0.05110678599117213,0.044741698989855694,-0.0015306288152058256,0.9538449846259414,0.9752653686660844,0.9525796360864348,0.9538845854427211,0.146259248860241,0.12649835084595518,0.11736358109035017,True,0.8754551498813503,-0.029949619908992454,True,True,False,DD,-,DD,-
A/idea190,u56,R10,g0.75,S3,0.5,10.0,-0.006982325987344717,-0.24091744947430582,-0.1269980652460252,-0.12618549851065197,-0.24244192560612288,0.11391938422828063,0.11473195096365385,-0.001524476131817054,1.077254150709839,1.1664865037556016,1.0746238163813326,1.0772862147261009,0.16852866858508975,0.10955665011099214,0.08401794694951903,True,1.007132822397854,-0.013382060850699375,True,True,False,-,-,-,CAGR
A/idea190,u56,R10,g0.75,S3,0.5,25.0,-0.006982325987344717,-0.24207777084199966,-0.12822217695049953,-0.12685412078354696,-0.2436083996572055,0.11385559389150013,0.1152236500584527,-0.0015306288152058256,0.9538449846259414,0.9911236239638554,0.9502374318028344,0.9538845854427211,0.146259248860241,0.09166019561427197,0.07356126785190109,True,1.0120157132398455,-0.013443597832043757,True,True,False,-,CAGR,-,CAGR
A/idea190,u56,R10,g0.75,S4,0.1,10.0,-0.006982325987344717,-0.24091744947430582,-0.21833470708792335,-0.21885429493164976,-0.24244192560612288,0.02258274238638247,0.02206315454265606,-0.001524476131817054,1.077254150709839,1.0951959531681887,1.0767795688093755,1.0772862147261009,0.16852866858508975,0.1597307517225286,0.15163902356860737,True,0.9769918181398675,-0.06750624462405072,False,False,False,DD,DD,DD,DD
A/idea190,u56,R10,g0.75,S4,0.1,25.0,-0.006982325987344717,-0.24207777084199966,-0.21951275229952405,-0.2199265943931915,-0.2436083996572055,0.022565018542475612,0.022151176448808152,-0.0015306288152058256,0.9538449846259414,0.9632226871556536,0.9532419484456197,0.9538845854427211,0.146259248860241,0.13775676865805342,0.13184903014917815,True,0.9816600153512633,-0.06783193252532112,False,False,False,DD,DD,DD,DD
A/idea190,u56,R10,g0.75,S4,0.2,10.0,-0.006982325987344717,-0.24091744947430582,-0.19582947511046533,-0.19635550635647803,-0.24244192560612288,0.04508797436384049,0.044561943117827796,-0.001524476131817054,1.077254150709839,1.112562382535501,1.0762792499466145,1.0772862147261009,0.16852866858508975,0.14887032199782935,0.13473403142524432,True,0.9883332251352024,-0.03381114705919565,True,True,False,DD,-,DD,-
A/idea190,u56,R10,g0.75,S4,0.2,25.0,-0.006982325987344717,-0.24207777084199966,-0.19704947804170947,-0.19733607185214397,-0.2436083996572055,0.04502829280029019,0.044741698989855694,-0.0015306288152058256,0.9538449846259414,0.9736332936462099,0.9525796360864348,0.9538845854427211,0.146259248860241,0.1278890671163606,0.11736358109035017,True,0.993635250359022,-0.033992601540424404,True,True,False,DD,-,DD,-
