parent,arm,gross,cadence,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a,fail4b,keep4b
U56,EWall,0.5,W,0.08787581658627475,1.1225615674521916,-0.1540613386852545,1.200418710414303,1.060119520773849,0.09115666594415162,1.1313976894738589,-0.1540613386852543,False,CAGR,False
U56,MA-RS,0.5,W,0.07685481740688616,1.091251187402833,-0.12691709586450628,1.1802212252583062,1.0260146368344323,0.08228467467475653,1.1078597586252963,-0.12691709586450572,False,CAGR,False
U56,EWall,0.5,M,0.08782974761305495,1.1333494603457737,-0.15165159915670912,1.1972007334333448,1.081816993081574,0.09167333325333371,1.1531879584359663,-0.15165159915670878,False,CAGR,False
U56,MA-RS,0.5,M,0.08341814757924526,1.1577272546018436,-0.12420551301004246,1.2179637083483172,1.1142895226857659,0.09001372888513792,1.1924125888202133,-0.1242055130100429,False,CAGR,False
U56,EWall,0.75,W,0.1323141888137611,1.123261780586864,-0.22456687664384056,1.202146476571811,1.0601222935838512,0.1372558422732344,1.1312617928450484,-0.22456687664384078,False,DD,False
U56,MA-RS,0.75,W,0.11551466393347187,1.0913835754263106,-0.186230414928777,1.1807114195285642,1.025985714122393,0.12374760726120404,1.1077813550589952,-0.1862304149287769,False,-,True
U56,EWall,0.75,M,0.13249977399054647,1.1334226281398196,-0.22208494960118297,1.2010033203765265,1.0791636583194626,0.13821296047123188,1.1501277358865563,-0.22208494960118308,False,DD,False
U56,MA-RS,0.75,M,0.1260094314002118,1.1593950929595145,-0.1820781888734183,1.2207120270382843,1.115130782316963,0.13601612494262416,1.193048216778216,-0.18207818887341853,False,-,True
U56,EWall,1.0,W,0.17689355868855672,1.123687552028514,-0.2909289185181174,1.2036386334333384,1.0598419703984816,0.18348513794422594,1.1308279501643184,-0.2909289185181174,False,DD,False
U56,MA-RS,1.0,W,0.15420136108489446,1.091447495232596,-0.24285458426962814,1.1811382664162622,1.0259004639112905,0.16527401226258087,1.107632100461794,-0.24285458426962847,False,DD,False
U56,EWall,1.0,M,0.17755324461156796,1.1332224216975748,-0.2891321388860082,1.2045601528076244,1.0763032038741907,0.18506992342606332,1.146788362185825,-0.2891321388860084,False,DD,False
U56,MA-RS,1.0,M,0.16911595836308457,1.1609819736474987,-0.23730396705009604,1.22339163965592,1.1159055721052413,0.18258832940629421,1.1935727459296295,-0.2373039670500957,False,DD,False
