panel,arm,n,family,dial,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,pass4b
B136,control (overlay OFF),20,CONTROL,off,1.043837850225855,0.1248679201013094,0.8919165372280256,-0.2005204833110832,False,False
B136,"IS-Sharpe pick, UNSCREENED",3,CADENCE,Q,1.4097329428091905,0.2143296254491826,0.907824813736298,-0.2741221125257107,False,False
B136,"IS-Sharpe pick, NUMERAIRE-SCREENED",20,CONTROL,off,1.043837850225855,0.1248679201013094,0.8919165372280256,-0.2005204833110832,False,False
B136,OOS-best (oracle),3,CADENCE,M,1.0847097829914385,0.304647497807744,1.1928824843508357,-0.2851514144318019,False,False
SMALL439,control (overlay OFF),20,CONTROL,off,0.4202543916037111,0.0723285447316959,0.487330838507868,-0.27432604586461,False,False
SMALL439,"IS-Sharpe pick, UNSCREENED",20,CADENCE,M,0.5727534001483899,0.0578463673752989,0.4009663492056501,-0.3590518891955008,False,False
SMALL439,"IS-Sharpe pick, NUMERAIRE-SCREENED",20,VOLTGT,0.2,0.420515573930647,0.0671758218730509,0.4743449517946536,-0.276861745964896,False,False
SMALL439,OOS-best (oracle),20,GROSS,0.75,0.4199816255883776,0.0568041763851125,0.487330838507868,-0.2061105044095259,False,False
U56,control (overlay OFF),3,CONTROL,off,1.015825592240117,0.2380523600993438,1.0553980365043352,-0.2581034625219108,False,False
U56,"IS-Sharpe pick, UNSCREENED",3,CADENCE,M,1.307540494995577,0.2563261748504635,1.0996230141896872,-0.2900116153560904,False,False
U56,"IS-Sharpe pick, NUMERAIRE-SCREENED",3,CONTROL,off,1.015825592240117,0.2380523600993438,1.0553980365043352,-0.2581034625219108,False,False
U56,OOS-best (oracle),20,CADENCE,M,1.0976476429760662,0.1671093236262513,1.2841125197579404,-0.1950684146967382,False,True
