statistic,ordering_set,n,reading,target,spearman,pearson,perm_p,null95,headline
SHARPE,MEMO12,12,a,OOS_Sharpe,0.6083916083916086,0.7007287907278009,0.0388,0.5804195804195804,True
SHARPE,MEMO12,12,a,OOS_CAGR,0.3356643356643357,0.1200480407416934,0.28845,0.5804195804195804,True
SHARPE,MEMO12,12,a,OOS_MaxDD,-0.013986013986013986,0.23009439975553939,0.9724,0.5804195804195804,True
SHARPE,MEMO12,12,a,share_3y,0.5384615384615385,0.6384172583930195,0.073,0.5804195804195804,True
SHARPE,MEMO12,12,a,cost_surv,0.6479033899876788,0.5665103032509162,0.0246,0.5804195804195804,True
SHARPE,MEMO12,12,a,gross_band,0.12219708137608107,0.0442709305338343,0.712,0.5804195804195804,True
SHARPE,MEMO12,12,b,OOS_Sharpe,-0.2797202797202798,-0.3227656148934609,0.37995,0.5804195804195804,True
SHARPE,MEMO12,12,b,OOS_CAGR,-0.06993006993006995,-0.10301098828307251,0.83185,0.5804195804195804,True
SHARPE,MEMO12,12,b,OOS_MaxDD,-0.4825174825174825,-0.379985209472817,0.1132,0.5804195804195804,True
SHARPE,MEMO12,12,b,share_3y,-0.1398601398601399,-0.10229742205136813,0.6693,0.5804195804195804,True
SHARPE,MEMO12,12,b,cost_surv,0.05822841956548623,0.07950741154544676,0.86125,0.5804195804195804,True
SHARPE,MEMO12,12,b,gross_band,-0.038089779814931966,-0.0760207920451281,0.90565,0.5804195804195804,True
SHARPE,MEMO8,8,a,OOS_Sharpe,0.523809523809524,0.7512582489674057,0.1957,0.7142857142857143,False
SHARPE,MEMO8,8,a,OOS_CAGR,0.09523809523809526,-0.02095357899487818,0.8398,0.7142857142857143,False
SHARPE,MEMO8,8,a,OOS_MaxDD,-0.023809523809523815,0.23068266629163725,0.97685,0.7142857142857143,False
SHARPE,MEMO8,8,a,share_3y,0.5476190476190477,0.6539322805368433,0.17145,0.7142857142857143,False
SHARPE,MEMO8,8,a,cost_surv,0.6107893935757621,0.4649578183299176,0.11715,0.7142857142857143,False
SHARPE,MEMO8,8,a,gross_band,0.026082026547865053,-0.18379250094599356,0.96255,0.7142857142857143,False
SHARPE,MEMO8,8,b,OOS_Sharpe,0.04761904761904763,0.05053825084390771,0.9363,0.7142857142857143,False
SHARPE,MEMO8,8,b,OOS_CAGR,-0.4523809523809524,-0.48203956698040284,0.26515,0.7142857142857143,False
SHARPE,MEMO8,8,b,OOS_MaxDD,0.09523809523809526,-0.0032033049609593816,0.8418,0.7142857142857143,False
SHARPE,MEMO8,8,b,share_3y,0.04761904761904763,0.07548545359935181,0.93405,0.7142857142857143,False
SHARPE,MEMO8,8,b,cost_surv,0.23323859266661226,0.17540088311751156,0.5842,0.7142857142857143,False
SHARPE,MEMO8,8,b,gross_band,-0.4042714114919083,-0.45536775385877076,0.31455,0.7142857142857143,False
SHARPE,MEMO14,14,a,OOS_Sharpe,0.6747252747252748,0.9135062312352215,0.0098,0.5340659340659341,False
SHARPE,MEMO14,14,a,OOS_CAGR,0.3758241758241759,0.4649957397701341,0.18495,0.5340659340659341,False
SHARPE,MEMO14,14,a,OOS_MaxDD,-0.02857142857142857,-0.0924067234597725,0.9298,0.5340659340659341,False
SHARPE,MEMO14,14,a,share_3y,0.6175824175824175,0.5958921903762211,0.02125,0.5340659340659341,False
SHARPE,MEMO14,14,a,cost_surv,0.6479033899876788,0.5665103032509162,0.0246,0.5340659340659341,False
SHARPE,MEMO14,14,a,gross_band,0.12219708137608107,0.0442709305338343,0.712,0.5340659340659341,False
SHARPE,MEMO14,14,b,OOS_Sharpe,-0.03736263736263736,0.6003645679811057,0.90545,0.5340659340659341,False
SHARPE,MEMO14,14,b,OOS_CAGR,0.0989010989010989,0.3675854380562268,0.7408,0.5340659340659341,False
SHARPE,MEMO14,14,b,OOS_MaxDD,-0.44175824175824174,-0.3553952002608854,0.11815,0.5340659340659341,False
SHARPE,MEMO14,14,b,share_3y,0.07692307692307693,0.3408416873933733,0.7916,0.5340659340659341,False
SHARPE,MEMO14,14,b,cost_surv,0.05822841956548623,0.07950741154544676,0.86125,0.5340659340659341,False
SHARPE,MEMO14,14,b,gross_band,-0.038089779814931966,-0.0760207920451281,0.90565,0.5340659340659341,False
SHARPE,U56ONLY,10,a,OOS_Sharpe,0.5393939393939393,0.7432899739616169,0.1141,0.6484848484848484,False
