panel,bars,narrow_days,conc,conc_pub,d_conc,conc_pub_16ptmean,gate,gate_pub,d_gate
U56,4699,623,6.4869722735714435,6.486998,-2.572642855636076e-05,5.173935,-0.033089825892228086,-0.03309,1.741077719150108e-07
B136,4699,588,-0.16201027547289898,-0.16201,-2.7547289899176874e-07,-1.463992,-0.06532771206637134,-0.065328,2.8793362866208483e-07
SMALL439,4194,671,-3.847078682250085,-3.847079,3.177499148243612e-07,-3.055172,-0.17474797526400554,-0.174748,2.4735994447189213e-08
