panel,gross,mean_gross,CAGR,Sharpe,MaxDD
U56,0.2,0.19999999999999998,0.041620752125342886,1.151509376334443,-0.0537949277733617
U56,0.21,0.21,0.04371407633439528,1.151558455253777,-0.05642928788967294
U56,0.22,0.22,0.04580848877408039,1.1516072788410108,-0.059058409974356185
U56,0.23,0.23,0.04790397526395318,1.1516557768813651,-0.06168230113517714
U56,0.24,0.24,0.05000052613929462,1.1517039989478641,-0.06430095699450078
U56,0.25,0.25,0.052098129656039216,1.1517519511333931,-0.06691438174995668
U56,0.26,0.26,0.054196769256412924,1.1517995279534752,-0.06952259070383571
U56,0.27,0.27,0.056296433177154936,1.151846741476048,-0.07212558026673965
U56,0.28,0.28,0.058397115121076926,1.1518937101186033,-0.0747233579273412
U56,0.29,0.29,0.06049879399178271,1.1519402578264009,-0.0773159440666823
U56,0.3,0.30000000000000004,0.0626014615125925,1.1519864627631782,-0.07990334880587358
U56,0.31,0.31,0.06470510931762807,1.152032392697735,-0.08248557422776748
U56,0.32,0.31999999999999995,0.06680972282895348,1.1520780052678012,-0.08506262155424715
U56,0.33,0.33,0.06891528533243085,1.1521232328768445,-0.08763447928977552
U56,0.34,0.3399999999999999,0.07102178542595472,1.15216809310886,-0.09020115102815784
U56,0.35,0.35000000000000003,0.07312920763579434,1.1522125496500073,-0.09276264109083165
U56,0.36,0.35999999999999993,0.0752375406812611,1.152256626576532,-0.09531896170636012
U56,0.37,0.37000000000000005,0.07734676930214168,1.1523002903738284,-0.09787012038478404
U56,0.38,0.37999999999999995,0.07945688317802801,1.1523435813487968,-0.10041611625697233
U56,0.39,0.39000000000000007,0.08156786967758012,1.1523865056929095,-0.10295697967843498
U56,0.4,0.39999999999999997,0.08367972584287675,1.1524291871969763,-0.10549270147939893
U56,0.41,0.4100000000000001,0.08579242319750979,1.1524714302243988,-0.10802328429274499
U56,0.42,0.42,0.0879059565690039,1.152513327197297,-0.1105487198246512
U56,0.43,0.43000000000000005,0.09002031111064634,1.1525548598167046,-0.11306901248951773
U56,0.44,0.44,0.0921354731181756,1.152596030005579,-0.11558416671768523
U56,0.45,0.45000000000000007,0.0942514317724541,1.1526368549902246,-0.11809418695535323
U56,0.46,0.46,0.09636816882882426,1.1526772825326488,-0.12059907766448663
U56,0.47,0.46999999999999986,0.09848567689836818,1.1527173761857041,-0.12309884854163844
U56,0.48,0.48,0.10060393572526372,1.1527570600725778,-0.12559354350286855
U56,0.49,0.4900000000000001,0.10272293557596202,1.1527963781452997,-0.12808315140702675
U56,0.5,0.5,0.10484265276869476,1.152835225648363,-0.1305676939013397
U56,0.51,0.5099999999999999,0.10696306977143544,1.152873572282388,-0.13304718578848862
U56,0.52,0.52,0.10908418430459421,1.1529115337636466,-0.1355216067332633
U56,0.53,0.5300000000000001,0.11120598001806692,1.1529490750608824,-0.13799096287903811
U56,0.54,0.54,0.11332844175314527,1.1529861922574534,-0.14045525281650495
U56,0.55,0.5499999999999999,0.11545155164790177,1.1530228580923119,-0.14291449259932787
U56,0.56,0.56,0.11757529960812185,1.1530590993833978,-0.14536866392011194
U56,0.57,0.57,0.1196996699808548,1.1530949060341655,-0.14781776972348448
U56,0.58,0.58,0.12182465362108141,1.1531303256980365,-0.15026181002066652
U56,0.59,0.59,0.12395023177082032,1.1531653195877327,-0.152700789395109
U56,0.6,0.6000000000000001,0.12607638603601723,1.1531998522566123,-0.1551347294980241
U56,0.61,0.6100000000000001,0.12820309612810776,1.153233874265913,-0.15756366312743886
U56,0.62,0.62,0.1303303622550862,1.1532675155339809,-0.15999816640754216
U56,0.63,0.63,0.13245815788940485,1.153300681298603,-0.16243159155735853
U56,0.64,0.6399999999999999,0.134586470432009,1.153333393067217,-0.16486042429922154
U56,0.65,0.6499999999999999,0.1367152922101149,1.153365698813105,-0.1672846684313617
U56,0.66,0.66,0.1388446044423528,1.153397562210341,-0.16970432775406852
U56,0.67,0.67,0.14097438847998212,1.1534289582322943,-0.17211940606969356
U56,0.68,0.6799999999999998,0.14310463514417848,1.153459918917901,-0.1745299071826414
U56,0.69,0.69,0.14523532424209207,1.1534904116811728,-0.1769358348993738
U56,0.7,0.7000000000000001,0.14736643346645972,1.1535203934210208,-0.179337193028403
U56,0.71,0.71,0.14949795036542768,1.1535498836443538,-0.1817339853802934
U56,0.72,0.7199999999999999,0.15162986130420486,1.1535788951718664,-0.18412621594786083
U56,0.73,0.73,0.15376213811548367,1.1536073481952613,-0.186513903887076
U56,0.74,0.7400000000000001,0.15589477932718432,1.1536353385005478,-0.18889703784285272
U56,0.75,0.75,0.1580277627432507,1.1536628182453899,-0.19127562163086154
B136,0.2,0.19999999999999998,0.04255815839646804,1.0603251592696514,-0.05837982759191951
B136,0.21,0.21,0.04469423731612587,1.060426847144359,-0.06123921511451169
B136,0.22,0.22,0.04683098337857472,1.0605281964036604,-0.0640929630758208
B136,0.23,0.23,0.0489683783938728,1.060629160476803,-0.06694107454789922
