universe,book,dSh_per10bps_1d,dSh_per10bps_1w,lag_dCAGR_yr,lag_t,lag_dSharpe,lag_dMaxDD
u56,band0-T-rw,-0.07283863423180542,-0.07253997870693296,0.001810149856595186,0.40247676049758824,-0.000853407558394359,0.007089235002544658
u56,band0-T-dg,-0.045230652376195835,-0.04375557861746793,0.0009361462222694275,0.2586027798939758,-0.044143305859599025,-0.007795501852420728
u56,band0-F-rw,-0.08328501721995973,-0.08063893703723507,0.002387178892635654,0.42640262417361063,-0.004945180196297194,-0.0005019882578203294
u56,band0-F-dg,-0.050343610315754184,-0.04809914573553853,0.002335494861221985,0.6163820927188663,-0.02563157770929947,-0.008656666607524732
u56,band3-T-rw,-0.041892491529105236,-0.04212786348365949,0.0003941887917531858,0.11132259297115688,-0.01426075873306587,-0.008290092090414758
u56,band3-T-dg,-0.025044995381088397,-0.025023046037024432,0.0014839644498930412,0.5129468385784424,-0.020844674504769678,-0.006133264974806929
u56,band3-F-rw,-0.04961818646859484,-0.04910071542927108,-0.001872398580271448,-0.3367173524877786,-0.04652927988930711,-0.014247139624324778
u56,band3-F-dg,-0.02896668526818602,-0.028595603053997887,0.001995775028657083,0.6252665694856722,-0.014941343628242176,-0.0020613571809555697
u56,band6-T-rw,-0.02944020412985937,-0.028598080805318338,0.0023737149317293407,0.7842250505912962,0.0026725786915062777,-0.008105407743872473
u56,band6-T-dg,-0.017972082379886123,-0.017557123605067115,0.001580551001148685,0.5824210354932987,-0.02169444732138226,-0.01489270134987275
u56,band6-F-rw,-0.0368932616890022,-0.035667461629998565,0.0013755796621304289,0.20817423801563595,-0.015444079480952055,-0.023184352598811242
u56,band6-F-dg,-0.02175403495685324,-0.021162411810775272,0.002068885812573245,0.6693106716046808,-0.013688846269169996,-0.009451507664972048
u56,NOGATE,-0.007112483756562815,-0.007119608912850017,0.00020664600919685522,0.9419405934449003,0.0015712019113141018,1.1102230246251565e-16
B136,band0-T-rw,-0.07179052888384557,-0.07227408923065015,-0.0009245299668968047,-0.25902698521212475,-0.022980791935596656,-0.006610099789156942
B136,band0-T-dg,-0.04695781173310276,-0.045535424953836445,0.0013213479878075934,0.3735649946174638,-0.036194659338167234,-0.007694506962560799
B136,band0-F-rw,-0.07945887122111184,-0.07793365229691002,-0.0027317050803583294,-0.51484159157572,-0.0538250215326328,-0.022463942417504712
B136,band0-F-dg,-0.05024410072610297,-0.048206226573531075,0.0024010021697326717,0.6619200085662695,-0.02401845145780168,-0.008876684952572989
B136,band3-T-rw,-0.04438046180381239,-0.044152568103413836,-0.00011380041965487499,-0.03572889320063546,-0.018672639706963645,-0.028473598703536718
B136,band3-T-dg,-0.027867668863486128,-0.02754068270550014,0.0007046795070905769,0.24640920368497596,-0.03367125060230047,-0.010549342940584072
B136,band3-F-rw,-0.05001878578413005,-0.04921521303588844,-0.0055741394790066925,-0.946339384174858,-0.08129770962057736,-0.03976718425428871
B136,band3-F-dg,-0.030478637134767617,-0.029899840021716473,0.001361942506987115,0.44706242200950524,-0.026354460602920904,-0.00888237310937312
B136,band6-T-rw,-0.030299750066086206,-0.029502424638040203,0.0024109418942510593,0.9196926285014049,0.0006677718467991145,-0.02400750867234014
B136,band6-T-dg,-0.01946539760970134,-0.01900038573552798,0.0009152495173149171,0.3163166732500097,-0.03317506484928545,-0.02086517293186596
B136,band6-F-rw,-0.0356697927131589,-0.0346003407726973,0.0011692581557233477,0.21182782412423756,-0.020210422454695953,-0.03223400260399112
B136,band6-F-dg,-0.022026260766250694,-0.021410430827104587,0.0018139705689100224,0.5857288970389101,-0.02124102167339581,-0.017316273759395262
B136,NOGATE,-0.006962400579071715,-0.006961648510856788,-6.010734990828018e-05,-0.5092605849382049,-0.0005367292327977946,0.0
