leg,gen,est,n_pairs,n_books,delta_REAL,noinfo,share,lo,hi,p,within_term,within_avg
IS,ANALYTIC,RAW,96,12,-0.12090530077427039,-0.0279928528886242,0.2315270935960593,,,,-0.0929124478856462,-0.1238095238095238
IS,ANALYTIC,LOO,96,12,-0.12090530077427039,-0.014719646047817586,0.12174524982406763,,,,-0.0929124478856462,-0.1238095238095238
IS,ANALYTIC,SHRUNK,96,12,-0.12090530077427039,-0.021324180436654253,0.1763709308036576,,,,-0.0929124478856462,-0.1238095238095238
IS,BERNOULLI,RAW,96,12,-0.12090530077427039,-0.029421381774865984,0.24334236453201966,-0.136986301369863,0.07802263251935676,0.1265,-0.0929124478856462,-0.1238095238095238
IS,BERNOULLI,LOO,96,12,-0.12090530077427039,-0.016736152471709346,0.13842364532019702,-0.1346039309112567,0.09410363311494938,0.0825,-0.0929124478856462,-0.1238095238095238
IS,BERNOULLI,SHRUNK,96,12,-0.12090530077427039,-0.022575044669446095,0.18671674876847288,-0.1506849315068493,0.11018463371054199,0.1625,-0.0929124478856462,-0.1238095238095238
IS,HYPERGEOM,RAW,96,12,-0.12090530077427039,-0.027849910661107796,0.23034482758620686,-0.12090530077427039,0.10780226325193568,0.161,-0.0929124478856462,-0.1238095238095238
IS,HYPERGEOM,LOO,96,12,-0.12090530077427039,-0.027849910661107796,0.23034482758620686,-0.12090530077427039,0.10780226325193568,0.161,-0.0929124478856462,-0.1238095238095238
IS,HYPERGEOM,SHRUNK,96,12,-0.12090530077427039,-0.027849910661107796,0.23034482758620686,-0.12090530077427039,0.10780226325193568,0.161,-0.0929124478856462,-0.1238095238095238
OOS,ANALYTIC,RAW,48,12,-0.16666666666666663,-0.02083333333333337,0.12500000000000025,,,,-0.14583333333333331,-0.2333333333333333
OOS,ANALYTIC,LOO,48,12,-0.16666666666666663,0.02777777777777779,-0.16666666666666677,,,,-0.14583333333333331,-0.2333333333333333
OOS,ANALYTIC,SHRUNK,48,12,-0.16666666666666663,-0.012645914396887115,0.0758754863813227,,,,-0.14583333333333331,-0.2333333333333333
OOS,BERNOULLI,RAW,48,12,-0.16666666666666663,-0.018666666666666668,0.11200000000000003,-0.20833333333333337,0.16666666666666669,0.1485,-0.14583333333333331,-0.2333333333333333
OOS,BERNOULLI,LOO,48,12,-0.16666666666666663,0.029958333333333337,-0.17975000000000005,-0.16666666666666663,0.20833333333333331,0.039,-0.14583333333333331,-0.2333333333333333
OOS,BERNOULLI,SHRUNK,48,12,-0.16666666666666663,-0.011291666666666669,0.06775000000000003,-0.25000000000000006,0.25,0.2655,-0.14583333333333331,-0.2333333333333333
OOS,HYPERGEOM,RAW,48,12,-0.16666666666666663,-0.021958333333333337,0.13175000000000006,-0.16666666666666663,0.16666666666666663,0.1855,-0.14583333333333331,-0.2333333333333333
OOS,HYPERGEOM,LOO,48,12,-0.16666666666666663,-0.021958333333333337,0.13175000000000006,-0.16666666666666663,0.16666666666666663,0.1855,-0.14583333333333331,-0.2333333333333333
OOS,HYPERGEOM,SHRUNK,48,12,-0.16666666666666663,-0.021958333333333337,0.13175000000000006,-0.16666666666666663,0.16666666666666663,0.1855,-0.14583333333333331,-0.2333333333333333
