w,G,cost_bps,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_CAGR,IS_Sharpe,IS_MaxDD,realised_gross,realised_gross_oos,turnover_yr,k4a,k4b_full,k4b_oos,k4b_both
0.0,0.5,10.0,0.028684430358481894,0.6585765793333807,-0.09620969665539336,0.8041863041046718,0.5474542112924472,0.024604250814897588,0.5448398256595112,-0.09620969665539403,0.03535008987572463,0.8740162447488814,-0.056563725129841314,0.27423389301040985,0.25681495028078416,1.7225031183132387,False,False,False,False
0.0,0.5,25.0,0.026030078238018284,0.6003868395493253,-0.09986087451489456,0.7423533643306875,0.49156830056574785,0.021871703969259526,0.4875412467287775,-0.09986087451489412,0.0328242565261565,0.8137535021599817,-0.058192203156466116,0.27423389301040985,0.25681495028078416,1.7225031183132387,False,False,False,False
0.0,0.5,50.0,0.021621035057574067,0.5033590626747411,-0.10591393281236339,0.6392919725810805,0.39835924042200216,0.017333285675719123,0.39198836238568674,-0.10591393281236117,0.028627924952196127,0.7132970120952038,-0.06090034007613154,0.27423389301040985,0.25681495028078416,1.7225031183132387,False,False,False,False
0.1,0.5,10.0,0.0312451355258081,0.7287786819297615,-0.0894647982488882,0.8461398748964938,0.6380865500932322,0.028411361642746602,0.6399572653219386,-0.08946479824888909,0.035867155985872534,0.8944061786899369,-0.056186248092235935,0.28265593698673913,0.26694714106873735,1.6698686106903031,False,False,False,False
0.1,0.5,25.0,0.028665382886202906,0.6711505684050713,-0.09305854763083421,0.7857177336278265,0.5822264881845036,0.02575466715917174,0.5829683698347347,-0.09305854763083277,0.03341340981248808,0.835288025574398,-0.057796519759704346,0.28265593698673913,0.26694714106873735,1.6698686106903031,False,False,False,False
0.1,0.5,50.0,0.02437981191883165,0.5750541169191459,-0.09901713172483706,0.6850094936246023,0.48904990001137955,0.02134174792643151,0.4879195414589471,-0.09901713172483684,0.0293364608774076,0.7367481364216909,-0.060474455023141305,0.28265593698673913,0.26694714106873735,1.6698686106903031,False,False,False,False
0.2,0.5,10.0,0.033802133732581785,0.7976845305245253,-0.08268441834151541,0.8855047455952599,0.7294901720720205,0.03221930234442416,0.735468842289435,-0.08268441834151707,0.03637967736941583,0.9125202994535263,-0.055810687646343116,0.2910772720581095,0.2770782822997483,1.616853024125359,False,False,False,False
0.2,0.5,25.0,0.0312979868000951,0.7409648259526522,-0.08621902874461385,0.8267555275448218,0.6740314579516807,0.029639874623334173,0.6791970639346633,-0.08621902874461262,0.03399839294557916,0.8547467907210268,-0.05740262918148242,0.2910772720581095,0.2770782822997483,1.616853024125359,False,False,False,False
0.2,0.5,50.0,0.027137580625357982,0.6463782081175103,-0.09208028600677687,0.7288366618253032,0.5815141066026083,0.025354825725300678,0.5853324041009881,-0.09208028600677498,0.030041468477842503,0.7584556896454228,-0.060050157617426714,0.2910772720581095,0.2770782822997483,1.616853024125359,False,False,False,False
0.3,0.5,10.0,0.036355345416339224,0.8638584427911007,-0.07586852879703443,0.9217241452882938,0.8195437511123052,0.036027947649691194,0.8291275174353164,-0.07586852879703554,0.03688764199648986,0.9280971955287219,-0.055437050941734345,0.29949790287122197,0.287208380808229,1.5634753773058578,False,False,False,False
0.3,0.5,25.0,0.0339277847617554,0.8084106567631534,-0.07934227294390073,0.8648996473944499,0.7649048543764089,0.03352716562431968,0.7740135946039579,-0.07934227294390217,0.0345791888256457,0.8718647385756316,-0.05701054507387293,0.29949790287122197,0.287208380808229,1.5634753773058578,False,False,False,False
0.3,0.5,50.0,0.02989419427021711,0.7159403361865347,-0.0851033216188799,0.770188975097054,0.6737456648624999,0.029372300780366123,0.6820693302613531,-0.08510332161888068,0.030742922554935825,0.7781482382001748,-0.0596274722739365,0.29949790287122197,0.287208380808229,1.5634753773058578,False,False,False,False
0.4,0.5,10.0,0.03890469039054345,0.9258899508137528,-0.06901710867477817,0.9543387891958346,0.9059402609266843,0.039837177140130686,0.9185620690043306,-0.06901710867477773,0.037391027675552024,0.9409354795116444,-0.055065341501155274,0.30791783407309237,0.2973374434289254,1.509754993146447,False,False,False,False
0.4,0.5,25.0,0.03655467011186553,0.8720768572687004,-0.07242825027568289,0.8996709887151269,0.8525618290596809,0.03741639218387882,0.8650554036137329,-0.07242825027568345,0.03515575493534584,0.8864310699132907,-0.05662027205052733,0.30791783407309237,0.2973374434289254,1.509754993146447,False,False,False,False
